,ID,Name,Rank,Continent,Flag,Site
0,43855,Egypt,30,CAF,http://img.fifa.com/images/flags/3/egy.png,http://www.fifa.com//worldcup/teams/team=43855/index.html
1,43872,Morocco,48,CAF,http://img.fifa.com/images/flags/3/mar.png,http://www.fifa.com//worldcup/teams/team=43872/index.html
2,43876,Nigeria,41,CAF,http://img.fifa.com/images/flags/3/nga.png,http://www.fifa.com//worldcup/teams/team=43876/index.html
3,43879,Senegal,32,CAF,http://img.fifa.com/images/flags/3/sen.png,http://www.fifa.com//worldcup/teams/team=43879/index.html
4,43888,Tunisia,28,CAF,http://img.fifa.com/images/flags/3/tun.png,http://www.fifa.com//worldcup/teams/team=43888/index.html
5,43976,Australia,43,AFC,http://img.fifa.com/images/flags/3/aus.png,http://www.fifa.com//worldcup/teams/team=43976/index.html
6,43817,Iran,34,AFC,http://img.fifa.com/images/flags/3/irn.png,http://www.fifa.com//worldcup/teams/team=43817/index.html
7,43819,Japan,44,AFC,http://img.fifa.com/images/flags/3/jpn.png,http://www.fifa.com//worldcup/teams/team=43819/index.html
8,43822,Korea Republic,62,AFC,http://img.fifa.com/images/flags/3/kor.png,http://www.fifa.com//worldcup/teams/team=43822/index.html
9,43835,Saudi Arabia,63,AFC,http://img.fifa.com/images/flags/3/ksa.png,http://www.fifa.com//worldcup/teams/team=43835/index.html
10,43935,Belgium,5,UEFA,http://img.fifa.com/images/flags/3/bel.png,http://www.fifa.com//worldcup/teams/team=43935/index.html
11,43938,Croatia,18,UEFA,http://img.fifa.com/images/flags/3/cro.png,http://www.fifa.com//worldcup/teams/team=43938/index.html
12,43941,Denmark,19,UEFA,http://img.fifa.com/images/flags/3/den.png,http://www.fifa.com//worldcup/teams/team=43941/index.html
13,43942,England,12,UEFA,http://img.fifa.com/images/flags/3/eng.png,http://www.fifa.com//worldcup/teams/team=43942/index.html
14,43946,France,7,UEFA,http://img.fifa.com/images/flags/3/fra.png,http://www.fifa.com//worldcup/teams/team=43946/index.html
15,43948,Germany,1,UEFA,http://img.fifa.com/images/flags/3/ger.png,http://www.fifa.com//worldcup/teams/team=43948/index.html
16,43951,Iceland,21,UEFA,http://img.fifa.com/images/flags/3/isl.png,http://www.fifa.com//worldcup/teams/team=43951/index.html
17,43962,Poland,6,UEFA,http://img.fifa.com/images/flags/3/pol.png,http://www.fifa.com//worldcup/teams/team=43962/index.html
18,43963,Portugal,3,UEFA,http://img.fifa.com/images/flags/3/por.png,http://www.fifa.com//worldcup/teams/team=43963/index.html
19,43965,Russia,32,UEFA,http://img.fifa.com/images/flags/3/rus.png,http://www.fifa.com//worldcup/teams/team=43965/index.html
20,19024,Serbia,38,UEFA,http://img.fifa.com/images/flags/3/srb.png,http://www.fifa.com//worldcup/teams/team=1902465/index.html
21,43969,Spain,8,UEFA,http://img.fifa.com/images/flags/3/esp.png,http://www.fifa.com//worldcup/teams/team=43969/index.html
22,43970,Sweden,25,UEFA,http://img.fifa.com/images/flags/3/swe.png,http://www.fifa.com//worldcup/teams/team=43970/index.html
23,43971,Switzerland,11,UEFA,http://img.fifa.com/images/flags/3/sui.png,http://www.fifa.com//worldcup/teams/team=43971/index.html
24,43901,Costa Rica,22,CONCACAF,http://img.fifa.com/images/flags/3/crc.png,http://www.fifa.com//worldcup/teams/team=43901/index.html
25,43911,Mexico,16,CONCACAF,http://img.fifa.com/images/flags/3/mex.png,http://www.fifa.com//worldcup/teams/team=43911/index.html
26,43914,Panama,49,CONCACAF,http://img.fifa.com/images/flags/3/pan.png,http://www.fifa.com//worldcup/teams/team=43914/index.html
27,43922,Argentina,4,CONMEBOL,http://img.fifa.com/images/flags/3/arg.png,http://www.fifa.com//worldcup/teams/team=43922/index.html
28,43924,Brazil,2,CONMEBOL,http://img.fifa.com/images/flags/3/bra.png,http://www.fifa.com//worldcup/teams/team=43924/index.html
29,43926,Colombia,13,CONMEBOL,http://img.fifa.com/images/flags/3/col.png,http://www.fifa.com//worldcup/teams/team=43926/index.html
30,43929,Peru,10,CONMEBOL,http://img.fifa.com/images/flags/3/per.png,http://www.fifa.com//worldcup/teams/team=43929/index.html
31,43930,Uruguay,17,CONMEBOL,http://img.fifa.com/images/flags/3/uru.png,http://www.fifa.com//worldcup/teams/team=43930/index.html
