ID,Fullname,Name,Age,Photo,Nationality,Flag,Overall,Potential,Club,Club Logo,Value,Wage,Special,Acceleration,Aggression,Agility,Balance,Ball control,Composure,Crossing,Curve,Dribbling,Finishing,Free kick accuracy,GK diving,GK handling,GK kicking,GK positioning,GK reflexes,Heading accuracy,Interceptions,Jumping,Long passing,Long shots,Marking,Penalties,Positioning,Reactions,Short passing,Shot power,Sliding tackle,Sprint speed,Stamina,Standing tackle,Strength,Vision,Volleys,CAM,CB,CDM,CF,CM,ID,LAM,LB,LCB,LCM,LDM,LF,LM,LS,LW,LWB,Preferred Positions,RAM,RB,RCB,RCM,RDM,RF,RM,RS,RW,RWB,ST
146963,Javier PINOLA,J. Pinola,34,https://cdn.sofifa.org/48/18/players/146963.png,Argentina,https://cdn.sofifa.org/flags/52.png,77,77,River Plate,https://cdn.sofifa.org/24/18/teams/1876.png,€2.7M,€23K,1904,69,80,64,69,73,72,65,65,64,38,55,8,12,11,7,11,67,73,82,66,59,80,38,57,76,75,72,76,70,64,74,82,56,46,65,76,73,64,67,146963,65,72,76,67,73,64,65,63,64,72,CB ,65,72,76,67,73,64,65,63,64,72,63
143587,Fernando BELLUSCHI,F. Belluschi,33,https://cdn.sofifa.org/48/18/players/143587.png,Argentina,https://cdn.sofifa.org/flags/52.png,80,80,San Lorenzo de Almagro,https://cdn.sofifa.org/24/18/teams/1013.png,€9M,€30K,2102,70,73,78,74,80,85,81,85,79,69,82,11,9,12,13,7,58,69,67,78,80,45,75,74,80,80,83,59,70,65,65,70,86,75,79,65,71,77,78,143587,79,68,65,78,71,77,77,74,77,70,CM CAM ,79,68,65,78,71,77,77,74,77,70,74
170481,Ezequiel GARAY,E. Garay,30,https://cdn.sofifa.org/48/18/players/170481.png,Argentina,https://cdn.sofifa.org/flags/52.png,83,83,Valencia CF,https://cdn.sofifa.org/24/18/teams/461.png,€19M,€40K,1952,39,74,57,38,73,79,62,55,62,58,74,14,6,13,13,14,85,84,79,72,68,84,69,49,77,69,80,82,46,74,85,85,63,49,64,81,77,63,70,170481,64,74,81,70,77,63,63,66,61,72,CB ,64,74,81,70,77,63,63,66,61,72,66
158963,Lucas BIGLIA,L. Biglia,31,https://cdn.sofifa.org/48/18/players/158963.png,Argentina,https://cdn.sofifa.org/flags/52.png,83,83,Milan,https://cdn.sofifa.org/24/18/teams/47.png,€17.5M,€105K,2129,70,83,76,78,85,80,74,71,77,50,76,14,12,7,12,7,54,84,62,84,75,70,72,55,82,86,77,78,68,82,80,70,80,78,76,75,81,73,80,158963,76,78,75,80,81,73,75,68,73,79,CM CDM ,76,78,75,80,81,73,75,68,73,79,68
232700,Nahuel GUZMAN,M. GuzmMan n,32,https://cdn.sofifa.org/48/18/players/232700.png,Argentina,https://cdn.sofifa.org/flags/52.png,64,64,Club Atlético Patronato,https://cdn.sofifa.org/24/18/teams/110581.png,€350K,€3K,1748,61,68,69,72,65,70,62,56,64,53,35,10,12,14,10,12,54,62,68,58,59,56,45,58,64,63,60,62,69,77,69,66,60,35,62,63,64,61,63,232700,62,64,63,63,64,61,63,59,62,65,CDM RM CM ,62,64,63,63,64,61,63,59,62,65,59
165517,Fernando GAGO,F. Gago,31,https://cdn.sofifa.org/48/18/players/165517.png,Argentina,https://cdn.sofifa.org/flags/52.png,78,78,Boca Juniors,https://cdn.sofifa.org/24/18/teams/1877.png,€7M,€25K,1995,57,70,72,70,76,70,69,66,71,47,67,7,10,12,8,12,59,78,72,74,68,73,69,64,76,80,76,75,66,73,77,65,81,55,72,73,76,69,75,165517,72,73,73,75,76,69,70,65,69,74,CM CDM ,72,73,73,75,76,69,70,65,69,74,65
153079,Sergio AGUERO,S. AgMei ero,29,https://cdn.sofifa.org/48/18/players/153079.png,Argentina,https://cdn.sofifa.org/flags/52.png,89,89,Manchester City,https://cdn.sofifa.org/24/18/teams/10.png,€66.5M,€325K,2074,90,63,86,91,89,90,70,82,89,90,72,13,15,6,11,14,68,24,80,63,83,13,83,91,89,79,88,12,84,74,20,74,83,85,85,44,54,87,75,153079,85,52,44,75,54,87,84,86,86,57,ST ,85,52,44,75,54,87,84,86,86,57,86
143076,Alejandro GOMEZ,A. GMao mez,29,https://cdn.sofifa.org/48/18/players/143076.png,Argentina,https://cdn.sofifa.org/flags/52.png,84,84,Atalanta,https://cdn.sofifa.org/24/18/teams/39.png,€31M,€60K,2013,94,56,92,94,87,84,82,78,89,78,71,8,11,12,9,6,36,40,70,72,78,24,71,81,83,82,76,34,86,78,30,48,85,72,84,45,59,83,77,143076,84,59,45,77,59,83,84,76,85,65,ST LW CF ,84,59,45,77,59,83,84,76,85,65,76
172018,Jonatan MAIDANA,J. Maidana,31,https://cdn.sofifa.org/48/18/players/172018.png,Argentina,https://cdn.sofifa.org/flags/52.png,77,77,River Plate,https://cdn.sofifa.org/24/18/teams/1876.png,€6M,€23K,1745,51,82,58,49,61,73,59,45,39,32,46,12,9,14,14,14,76,74,76,78,32,82,46,50,76,63,45,70,68,64,78,85,55,42,55,76,72,53,62,172018,55,69,76,62,72,53,56,54,53,67,CB ,55,69,76,62,72,53,56,54,53,67,54
158023,Lionel MESSI,L. Messi,30,https://cdn.sofifa.org/48/18/players/158023.png,Argentina,https://cdn.sofifa.org/flags/52.png,93,93,FC Barcelona,https://cdn.sofifa.org/24/18/teams/241.png,€105M,€565K,2154,92,48,90,95,95,96,77,89,97,95,90,6,11,15,14,8,71,22,68,87,88,13,74,93,95,88,85,26,87,73,28,59,90,85,92,45,59,92,84,158023,92,57,45,84,59,92,90,88,91,62,RW ,92,57,45,84,59,92,90,88,91,62,88
