ID,Fullname,Name,Age,Photo,Nationality,Flag,Overall,Potential,Club,Club Logo,Value,Wage,Special,Acceleration,Aggression,Agility,Balance,Ball control,Composure,Crossing,Curve,Dribbling,Finishing,Free kick accuracy,GK diving,GK handling,GK kicking,GK positioning,GK reflexes,Heading accuracy,Interceptions,Jumping,Long passing,Long shots,Marking,Penalties,Positioning,Reactions,Short passing,Shot power,Sliding tackle,Sprint speed,Stamina,Standing tackle,Strength,Vision,Volleys,CAM,CB,CDM,CF,CM,ID,LAM,LB,LCB,LCM,LDM,LF,LM,LS,LW,LWB,Preferred Positions,RAM,RB,RCB,RCM,RDM,RF,RM,RS,RW,RWB,ST
176992,Mark MILLIGAN,M. Milligan,31,https://cdn.sofifa.org/48/18/players/176992.png,Australia,https://cdn.sofifa.org/flags/195.png,74,74,Melbourne Victory,https://cdn.sofifa.org/24/18/teams/111397.png,€3.8M,€10K,1987,68,80,64,73,66,78,61,61,62,48,62,7,11,14,15,8,73,71,75,73,67,71,80,53,69,70,73,74,66,82,75,80,73,62,65,73,73,64,69,176992,65,71,73,69,73,64,65,63,63,70,CB CDM ,65,71,73,69,73,64,65,63,63,70,63
181481,Danny VUKOVIC,D. Vukovic,32,https://cdn.sofifa.org/48/18/players/181481.png,Australia,https://cdn.sofifa.org/flags/195.png,70,70,KRC Genk,https://cdn.sofifa.org/24/18/teams/673.png,€1M,€9K,1136,53,41,41,58,18,34,11,15,11,11,13,70,68,63,65,70,16,17,66,12,13,15,37,6,74,22,18,11,47,34,15,76,38,11,,,,,,181481,,,,,,,,,,,GK ,,,,,,,,,,,
181483,Mile JEDINAK,M. JedinMan k,32,https://cdn.sofifa.org/48/18/players/181483.png,Australia,https://cdn.sofifa.org/flags/195.png,74,74,Aston Villa,https://cdn.sofifa.org/24/18/teams/2.png,€3.2M,€32K,1938,47,86,48,63,69,73,59,59,55,59,75,13,7,15,15,15,71,80,57,65,73,76,72,52,72,67,81,70,51,74,77,85,67,63,63,75,73,62,67,181483,63,69,75,67,73,62,61,65,60,68,CM CDM ,63,69,75,67,73,62,61,65,60,68,65
51412,Tim CAHILL,T. Cahill,37,https://cdn.sofifa.org/48/18/players/51412.png,Australia,https://cdn.sofifa.org/flags/195.png,70,70,Melbourne City,https://cdn.sofifa.org/24/18/teams/112224.png,€600K,€7K,1911,64,88,66,80,68,72,44,65,65,73,55,13,11,7,7,6,93,48,94,59,72,41,67,78,78,67,74,48,57,54,42,79,66,82,68,61,59,70,65,51412,68,55,61,65,59,70,65,74,66,55,CM ST CAM ,68,55,61,65,59,70,65,74,66,55,74
182440,Robbie KRUSE,R. Kruse,28,https://cdn.sofifa.org/48/18/players/182440.png,Australia,https://cdn.sofifa.org/flags/195.png,72,72,VfL Bochum,https://cdn.sofifa.org/24/18/teams/160.png,€3.1M,€14K,1815,81,60,75,72,73,69,71,69,76,67,39,14,11,12,14,15,52,39,73,56,66,36,65,72,67,68,66,38,80,60,39,54,70,65,71,49,54,71,65,182440,71,55,49,65,54,71,71,68,72,58,LW CF RM ,71,55,49,65,54,71,71,68,72,58,68
172208,James TROISI,J. Troisi,28,https://cdn.sofifa.org/48/18/players/172208.png,Australia,https://cdn.sofifa.org/flags/195.png,74,74,Melbourne Victory,https://cdn.sofifa.org/24/18/teams/111397.png,€5.5M,€11K,1889,79,46,78,70,77,72,70,78,73,63,69,12,10,14,6,13,56,43,71,68,75,22,69,70,70,74,75,38,76,71,40,69,74,70,73,49,57,72,69,172208,73,56,49,69,57,72,73,70,73,59,CAM ,73,56,49,69,57,72,73,70,73,59,70
192250,Matthew JURMAN,M. Jurman,27,https://cdn.sofifa.org/48/18/players/192250.png,Australia,https://cdn.sofifa.org/flags/195.png,69,69,Suwon Samsung Bluewings,https://cdn.sofifa.org/24/18/teams/983.png,€875K,€5K,1549,53,76,47,41,47,57,55,30,48,41,29,8,16,14,12,16,67,72,69,64,34,67,37,23,54,60,56,65,51,75,67,85,45,25,47,68,64,46,54,192250,47,62,68,54,64,46,50,48,47,61,CB ,47,62,68,54,64,46,50,48,47,61,48
204422,Ryan McGOWAN,D. McGowan,25,https://cdn.sofifa.org/48/18/players/204422.png,Australia,https://cdn.sofifa.org/flags/195.png,69,72,FC Paços de Ferreira,https://cdn.sofifa.org/24/18/teams/1892.png,€1.1M,€6K,1667,56,69,54,62,58,67,47,44,53,55,40,12,14,10,7,16,72,70,76,58,32,64,46,44,71,63,52,63,55,80,65,78,54,27,55,68,65,55,59,204422,55,64,68,59,65,55,57,57,54,63,CB ,55,64,68,59,65,55,57,57,54,63,57
194958,Aaron MOOY,A. Mooy,26,https://cdn.sofifa.org/48/18/players/194958.png,Australia,https://cdn.sofifa.org/flags/195.png,77,78,Huddersfield Town,https://cdn.sofifa.org/24/18/teams/1939.png,€10.5M,€52K,2048,67,75,71,73,77,78,73,71,74,69,71,11,8,12,11,12,50,70,72,79,72,61,70,73,69,79,71,66,70,78,72,76,80,65,75,68,73,73,76,194958,75,70,68,76,73,73,74,70,73,72,CAM CDM CM ,75,70,68,76,73,73,74,70,73,72,70
195033,Mathew LECKIE,M. Leckie,26,https://cdn.sofifa.org/48/18/players/195033.png,Australia,https://cdn.sofifa.org/flags/195.png,72,73,Hertha BSC Berlin,https://cdn.sofifa.org/24/18/teams/166.png,€3.7M,€19K,1782,91,73,77,78,69,65,68,72,74,59,36,8,10,8,6,10,56,30,78,52,65,15,69,67,68,66,74,12,94,77,30,64,63,63,68,43,49,70,62,195033,68,50,43,62,49,70,71,68,71,54,RM ST LM ,68,50,43,62,49,70,71,68,71,54,68
