ID,Fullname,Name,Age,Photo,Nationality,Flag,Overall,Potential,Club,Club Logo,Value,Wage,Special,Acceleration,Aggression,Agility,Balance,Ball control,Composure,Crossing,Curve,Dribbling,Finishing,Free kick accuracy,GK diving,GK handling,GK kicking,GK positioning,GK reflexes,Heading accuracy,Interceptions,Jumping,Long passing,Long shots,Marking,Penalties,Positioning,Reactions,Short passing,Shot power,Sliding tackle,Sprint speed,Stamina,Standing tackle,Strength,Vision,Volleys,CAM,CB,CDM,CF,CM,ID,LAM,LB,LCB,LCM,LDM,LF,LM,LS,LW,LWB,Preferred Positions,RAM,RB,RCB,RCM,RDM,RF,RM,RS,RW,RWB,ST
17605,Timmy SIMONS,T. Simons,40,https://cdn.sofifa.org/48/18/players/17605.png,Belgium,https://cdn.sofifa.org/flags/7.png,73,73,Club Brugge KV,https://cdn.sofifa.org/24/18/teams/231.png,€ 0,€14K,1786,32,72,31,59,68,75,53,46,57,54,64,14,8,16,15,6,75,83,60,66,61,69,90,55,64,73,71,70,34,76,74,76,67,27,61,72,72,60,68,17605,61,66,72,68,72,60,59,60,56,66,CB CM CDM ,61,66,72,68,72,60,59,60,56,66,60
139720,Vincent KOMPANY,V. Kompany,31,https://cdn.sofifa.org/48/18/players/139720.png,Belgium,https://cdn.sofifa.org/flags/7.png,85,85,Manchester City,https://cdn.sofifa.org/24/18/teams/10.png,€26M,€170K,1913,61,87,60,42,68,81,61,61,63,45,52,10,9,5,8,6,84,80,71,66,55,84,63,41,84,72,75,84,64,74,85,88,59,46,62,82,77,62,67,139720,62,76,82,67,77,62,63,63,61,74,CB ,62,76,82,67,77,62,63,63,61,74,63
163492,Nicolas LOMBAERTS,N. Lombaerts,32,https://cdn.sofifa.org/48/18/players/163492.png,Belgium,https://cdn.sofifa.org/flags/7.png,78,78,KV Oostende,https://cdn.sofifa.org/24/18/teams/682.png,€6M,€18K,1794,33,71,55,54,59,76,63,59,55,38,57,16,10,6,15,13,83,79,79,73,53,81,48,39,72,75,67,77,44,69,81,79,48,43,56,77,73,54,64,163492,56,70,77,64,73,54,56,56,53,69,CB ,56,70,77,64,73,54,56,56,53,69,56
163369,Sebastien POCOGNOLI,S. Pocognoli,29,https://cdn.sofifa.org/48/18/players/163369.png,Belgium,https://cdn.sofifa.org/flags/7.png,73,73,Standard de Liège,https://cdn.sofifa.org/24/18/teams/232.png,€3M,€16K,1995,77,79,74,69,68,68,76,73,70,50,69,10,9,8,15,13,63,67,81,64,64,74,58,67,73,66,73,70,76,77,74,71,58,59,66,71,70,66,67,163369,66,72,71,67,70,66,69,66,68,72,LB ,66,72,71,67,70,66,69,66,68,72,66
157304,Thomas VERMAELEN,T. Vermaelen,31,https://cdn.sofifa.org/48/18/players/157304.png,Belgium,https://cdn.sofifa.org/flags/7.png,78,78,FC Barcelona,https://cdn.sofifa.org/24/18/teams/241.png,€7M,€120K,1927,69,77,60,57,64,72,63,61,55,52,65,9,10,7,11,15,81,73,88,72,68,75,62,41,70,78,78,78,67,58,77,79,51,56,61,76,72,61,65,157304,61,71,76,65,72,61,62,64,61,70,LB CB ,61,71,76,65,72,61,62,64,61,70,64
183277,Eden HAZARD,E. Hazard,26,https://cdn.sofifa.org/48/18/players/183277.png,Belgium,https://cdn.sofifa.org/flags/7.png,90,91,Chelsea,https://cdn.sofifa.org/24/18/teams/5.png,€90.5M,€295K,2096,93,54,93,91,92,87,80,82,93,83,79,11,12,6,8,8,57,41,59,81,82,25,86,85,85,86,79,22,87,79,27,65,86,79,88,47,61,87,81,183277,88,59,47,81,61,87,87,82,88,64,LW ,88,59,47,81,61,87,87,82,88,64,82
184111,Christian BENTEKE,C. Benteke,26,https://cdn.sofifa.org/48/18/players/184111.png,Belgium,https://cdn.sofifa.org/flags/7.png,81,83,Crystal Palace,https://cdn.sofifa.org/24/18/teams/1799.png,€22M,€75K,1872,70,63,69,48,80,78,58,60,73,79,67,14,5,12,8,5,87,29,82,48,74,25,77,76,72,72,85,18,76,74,30,90,73,73,73,51,53,76,67,184111,73,51,51,67,53,76,72,79,73,54,ST ,73,51,51,67,53,76,72,79,73,54,79
177413,Axel WITSEL,A. Witsel,28,https://cdn.sofifa.org/48/18/players/177413.png,Belgium,https://cdn.sofifa.org/flags/7.png,82,82,,https://cdn.sofifa.org/flags/7.png,€ 0,€ 0,2143,67,78,82,60,85,86,69,69,83,71,68,5,7,7,10,7,77,80,72,78,74,69,81,75,81,83,78,71,74,85,73,79,78,67,79,76,79,78,80,177413,79,76,76,80,79,78,78,77,78,77,CAM CDM CM ,79,76,76,80,79,78,78,77,78,77,77
157678,Laurent CIMAN,L. Ciman,31,https://cdn.sofifa.org/48/18/players/157678.png,Belgium,https://cdn.sofifa.org/flags/7.png,75,75,Montreal Impact,https://cdn.sofifa.org/24/18/teams/111139.png,€4.5M,€8K,1991,69,81,69,74,72,73,62,68,63,46,62,12,16,14,6,12,76,74,78,80,64,74,47,56,76,75,79,78,68,81,70,70,65,54,67,74,75,66,71,157678,67,73,74,71,75,66,67,65,65,72,CB ,67,73,74,71,75,66,67,65,65,72,65
162240,Moussa DEMBELE,M. DembMao lMao ,29,https://cdn.sofifa.org/48/18/players/162240.png,Belgium,https://cdn.sofifa.org/flags/7.png,83,83,Tottenham Hotspur,https://cdn.sofifa.org/24/18/teams/18.png,€25M,€115K,2186,75,74,82,74,86,89,65,65,87,66,55,16,14,11,16,14,69,80,77,80,72,70,67,71,80,86,85,71,77,77,80,92,79,73,80,78,80,79,81,162240,80,76,78,81,80,79,79,77,78,77,CDM CM ,80,76,78,81,80,79,79,77,78,77,77
184087,Toby ALDERWEIRELD,T. Alderweireld,28,https://cdn.sofifa.org/48/18/players/184087.png,Belgium,https://cdn.sofifa.org/flags/7.png,86,87,Tottenham Hotspur,https://cdn.sofifa.org/24/18/teams/18.png,€40.5M,€165K,2047,62,81,60,50,70,81,64,63,62,45,69,16,6,14,16,14,82,84,81,81,66,89,60,56,86,77,86,85,69,76,90,82,67,38,67,84,81,67,74,184087,67,79,84,74,81,67,67,67,65,77,CB ,67,79,84,74,81,67,67,67,65,77,67
176944,Marouane FELLAINI,M. Fellaini,29,https://cdn.sofifa.org/48/18/players/176944.png,Belgium,https://cdn.sofifa.org/flags/7.png,79,79,Manchester United,https://cdn.sofifa.org/24/18/teams/11.png,€12M,€140K,2027,50,94,49,52,84,78,61,64,73,72,46,8,6,9,15,16,91,76,63,66,68,73,64,80,81,81,75,66,50,83,76,92,72,71,74,79,78,75,77,176944,74,72,79,77,78,75,72,77,71,72,CDM CM ,74,72,79,77,78,75,72,77,71,72,77
172175,Kevin MIRALLAS,K. Mirallas,29,https://cdn.sofifa.org/48/18/players/172175.png,Belgium,https://cdn.sofifa.org/flags/7.png,81,81,Everton,https://cdn.sofifa.org/24/18/teams/7.png,€17.5M,€125K,2059,82,58,82,73,85,74,81,77,84,77,76,8,10,14,13,15,64,35,73,77,76,40,78,80,76,80,77,51,84,76,52,62,67,76,79,56,63,79,74,172175,79,64,56,74,63,79,80,77,80,67,LW LM ,79,64,56,74,63,79,80,77,80,67,77
