ID,Fullname,Name,Age,Photo,Nationality,Flag,Overall,Potential,Club,Club Logo,Value,Wage,Special,Acceleration,Aggression,Agility,Balance,Ball control,Composure,Crossing,Curve,Dribbling,Finishing,Free kick accuracy,GK diving,GK handling,GK kicking,GK positioning,GK reflexes,Heading accuracy,Interceptions,Jumping,Long passing,Long shots,Marking,Penalties,Positioning,Reactions,Short passing,Shot power,Sliding tackle,Sprint speed,Stamina,Standing tackle,Strength,Vision,Volleys,CAM,CB,CDM,CF,CM,ID,LAM,LB,LCB,LCM,LDM,LF,LM,LS,LW,LWB,Preferred Positions,RAM,RB,RCB,RCM,RDM,RF,RM,RS,RW,RWB,ST
230184,DIEGO,Ronaldo Esler,29,https://cdn.sofifa.org/48/18/players/230184.png,Brazil,https://cdn.sofifa.org/flags/54.png,77,77,Santos Futebol Clube,https://cdn.sofifa.org/24/18/teams/1053.png,€6.5M,€22K,1973,88,68,86,90,71,76,76,54,76,45,49,13,13,16,8,9,60,71,59,59,68,68,49,69,80,73,78,76,86,82,77,33,68,55,71,67,70,71,71,230184,71,76,67,71,70,71,73,66,73,76,LM LB ,71,76,67,71,70,71,73,66,73,76,66
230453,JEFFERSON,David Seijalbo,33,https://cdn.sofifa.org/48/18/players/230453.png,Brazil,https://cdn.sofifa.org/flags/54.png,76,76,Santos Futebol Clube,https://cdn.sofifa.org/24/18/teams/1053.png,€3.1M,€21K,1882,58,83,77,76,70,80,48,47,50,45,44,7,12,10,16,9,60,70,81,76,62,74,62,36,79,77,65,68,70,88,77,80,52,53,61,74,75,59,68,230453,61,70,74,68,75,59,61,59,58,70,CDM ,61,70,74,68,75,59,61,59,58,70,59
146530,DANI ALVES,Dani Alves,34,https://cdn.sofifa.org/48/18/players/146530.png,Brazil,https://cdn.sofifa.org/flags/54.png,84,84,Paris Saint-Germain,https://cdn.sofifa.org/24/18/teams/73.png,€9M,€115K,2208,79,78,85,87,86,82,86,80,84,55,74,5,11,9,6,7,72,81,80,77,78,73,70,74,79,83,86,83,84,76,79,55,78,68,79,76,79,78,80,146530,79,81,76,80,79,78,80,74,79,81,RB ,79,81,76,80,79,78,80,74,79,81,74
201942,RICARDO OLIVEIRA,Roberto Firmino,25,https://cdn.sofifa.org/48/18/players/201942.png,Brazil,https://cdn.sofifa.org/flags/54.png,83,87,Liverpool,https://cdn.sofifa.org/24/18/teams/9.png,€34M,€135K,2101,77,66,82,81,85,78,72,80,87,83,67,8,11,9,6,10,72,37,81,75,80,30,72,84,82,83,79,42,77,86,59,76,83,79,83,58,65,83,79,201942,83,63,58,79,65,83,82,81,82,66,CAM CF ST ,83,63,58,79,65,83,82,81,82,66,81
146530,DIEGO ALVES,Dani Alves,34,https://cdn.sofifa.org/48/18/players/146530.png,Brazil,https://cdn.sofifa.org/flags/54.png,84,84,Paris Saint-Germain,https://cdn.sofifa.org/24/18/teams/73.png,€9M,€115K,2208,79,78,85,87,86,82,86,80,84,55,74,5,11,9,6,7,72,81,80,77,78,73,70,74,79,83,86,83,84,76,79,55,78,68,79,76,79,78,80,146530,79,81,76,80,79,78,80,74,79,81,RB ,79,81,76,80,79,78,80,74,79,81,74
190871,FABIO SANTOS,Neymar,25,https://cdn.sofifa.org/48/18/players/190871.png,Brazil,https://cdn.sofifa.org/flags/54.png,92,94,Paris Saint-Germain,https://cdn.sofifa.org/24/18/teams/73.png,€123M,€280K,2100,94,56,96,82,95,92,75,81,96,89,84,9,9,15,15,11,62,36,61,75,77,21,81,90,88,81,80,33,90,78,24,53,80,83,88,46,59,88,79,190871,88,59,46,79,59,88,87,84,89,64,LW ,88,59,46,79,59,88,87,84,89,64,84
168609,DIEGO SOUZA,Miranda,32,https://cdn.sofifa.org/48/18/players/168609.png,Brazil,https://cdn.sofifa.org/flags/54.png,86,86,Inter,https://cdn.sofifa.org/24/18/teams/44.png,€25.5M,€115K,1890,67,83,61,57,72,84,48,32,65,43,39,12,6,10,13,12,83,88,82,69,41,89,49,43,82,70,70,86,74,65,90,80,58,51,63,84,79,62,67,168609,63,77,84,67,79,62,63,63,61,75,CB ,63,77,84,67,79,62,63,63,61,75,63
176676,MARCELO,Marcelo,29,https://cdn.sofifa.org/48/18/players/176676.png,Brazil,https://cdn.sofifa.org/flags/54.png,87,87,Real Madrid CF,https://cdn.sofifa.org/24/18/teams/243.png,€38M,€250K,2209,77,84,77,82,88,85,90,80,84,67,67,12,5,5,5,9,71,83,77,76,66,80,59,75,87,82,83,87,79,81,85,77,75,54,79,82,82,79,80,176676,79,84,82,80,82,79,81,77,80,84,LB ,79,84,82,80,82,79,81,77,80,84,77
207863,RENATO AUGUSTO,Felipe,28,https://cdn.sofifa.org/48/18/players/207863.png,Brazil,https://cdn.sofifa.org/flags/54.png,82,82,FC Porto,https://cdn.sofifa.org/24/18/teams/236.png,€18M,€20K,1799,65,84,63,57,64,74,45,32,57,39,30,9,11,14,9,7,82,83,92,70,41,82,47,34,77,75,46,79,70,83,84,78,50,40,59,81,77,56,65,207863,59,75,81,65,77,56,60,57,57,73,CB ,59,75,81,65,77,56,60,57,57,73,57
180403,WILLIAN,Willian,28,https://cdn.sofifa.org/48/18/players/180403.png,Brazil,https://cdn.sofifa.org/flags/54.png,84,84,Chelsea,https://cdn.sofifa.org/24/18/teams/5.png,€31.5M,€200K,2061,91,44,89,81,86,79,77,82,87,77,85,14,12,13,7,13,29,55,46,77,81,43,70,80,83,82,71,51,86,87,58,62,83,59,83,55,68,82,80,180403,83,68,55,80,68,82,83,74,83,72,CAM RM RW ,83,68,55,80,68,82,83,74,83,72,74
165769,CASSIO,CMan ssio,36,https://cdn.sofifa.org/48/18/players/165769.png,Brazil,https://cdn.sofifa.org/flags/54.png,75,75,Rio Ave FC,https://cdn.sofifa.org/24/18/teams/744.png,€900K,€5K,1209,42,40,55,48,22,43,11,12,12,11,13,77,72,70,72,74,12,22,75,22,11,16,24,13,75,25,24,14,49,39,17,66,60,14,,,,,,165769,,,,,,,,,,,GK ,,,,,,,,,,,
184942,GIULIANO,Giuliano,27,https://cdn.sofifa.org/48/18/players/184942.png,Brazil,https://cdn.sofifa.org/flags/54.png,81,82,Fenerbahçe SK,https://cdn.sofifa.org/24/18/teams/326.png,€20.5M,€80K,2037,83,71,85,85,82,82,73,68,82,76,69,16,11,13,9,8,59,42,61,75,74,47,75,78,81,79,79,38,79,75,43,74,81,66,80,56,64,79,75,184942,80,61,56,75,64,79,79,77,79,64,CAM ,80,61,56,75,64,79,79,77,79,64,77
168609,MIRANDA,Miranda,32,https://cdn.sofifa.org/48/18/players/168609.png,Brazil,https://cdn.sofifa.org/flags/54.png,86,86,Inter,https://cdn.sofifa.org/24/18/teams/44.png,€25.5M,€115K,1890,67,83,61,57,72,84,48,32,65,43,39,12,6,10,13,12,83,88,82,69,41,89,49,43,82,70,70,86,74,65,90,80,58,51,63,84,79,62,67,168609,63,77,84,67,79,62,63,63,61,75,CB ,63,77,84,67,79,62,63,63,61,75,63
190871,THIAGO SILVA,Neymar,25,https://cdn.sofifa.org/48/18/players/190871.png,Brazil,https://cdn.sofifa.org/flags/54.png,92,94,Paris Saint-Germain,https://cdn.sofifa.org/24/18/teams/73.png,€123M,€280K,2100,94,56,96,82,95,92,75,81,96,89,84,9,9,15,15,11,62,36,61,75,77,21,81,90,88,81,80,33,90,78,24,53,80,83,88,46,59,88,79,190871,88,59,46,79,59,88,87,84,89,64,LW ,88,59,46,79,59,88,87,84,89,64,84
189242,PHILIPPE COUTINHO,Coutinho,25,https://cdn.sofifa.org/48/18/players/189242.png,Brazil,https://cdn.sofifa.org/flags/54.png,86,89,Liverpool,https://cdn.sofifa.org/24/18/teams/9.png,€56M,€205K,2049,88,55,92,92,88,85,77,84,88,74,82,12,7,9,14,6,47,30,59,78,86,24,64,83,81,85,80,40,77,80,44,61,87,75,85,49,61,83,79,189242,85,60,49,79,61,83,83,77,84,64,CAM LW ,85,60,49,79,61,83,83,77,84,64,77
212831,ALISSON,Alisson,24,https://cdn.sofifa.org/48/18/players/212831.png,Brazil,https://cdn.sofifa.org/flags/54.png,80,84,Roma,https://cdn.sofifa.org/24/18/teams/52.png,€14M,€45K,1194,44,27,30,37,21,62,17,19,16,13,18,75,76,70,78,86,19,11,52,20,14,20,23,13,82,27,21,16,35,32,19,78,65,20,,,,,,212831,,,,,,,,,,,GK ,,,,,,,,,,,
188152,OSCAR,Oscar,25,https://cdn.sofifa.org/48/18/players/188152.png,Brazil,https://cdn.sofifa.org/flags/54.png,83,86,,https://cdn.sofifa.org/flags/54.png,€ 0,€ 0,1961,75,31,86,80,84,83,70,77,81,75,77,12,10,15,12,12,54,34,66,78,77,37,68,81,81,83,76,47,74,76,50,36,83,63,81,49,61,80,77,188152,81,61,49,77,61,80,79,74,79,64,CAM ,81,61,49,77,61,80,79,74,79,64,74
188803,TAISON,Taison,29,https://cdn.sofifa.org/48/18/players/188803.png,Brazil,https://cdn.sofifa.org/flags/54.png,82,82,Shakhtar Donetsk,https://cdn.sofifa.org/24/18/teams/101059.png,€21.5M,€1K,2045,93,56,89,83,85,74,73,52,87,76,73,7,7,11,15,13,56,49,62,75,83,38,72,74,79,77,83,40,91,70,53,62,79,82,81,55,64,81,76,188803,81,63,55,76,64,81,81,77,82,66,CAM LM ,81,63,55,76,64,81,81,77,82,66,77
