ID,Fullname,Name,Age,Photo,Nationality,Flag,Overall,Potential,Club,Club Logo,Value,Wage,Special,Acceleration,Aggression,Agility,Balance,Ball control,Composure,Crossing,Curve,Dribbling,Finishing,Free kick accuracy,GK diving,GK handling,GK kicking,GK positioning,GK reflexes,Heading accuracy,Interceptions,Jumping,Long passing,Long shots,Marking,Penalties,Positioning,Reactions,Short passing,Shot power,Sliding tackle,Sprint speed,Stamina,Standing tackle,Strength,Vision,Volleys,CAM,CB,CDM,CF,CM,ID,LAM,LB,LCB,LCM,LDM,LF,LM,LS,LW,LWB,Preferred Positions,RAM,RB,RCB,RCM,RDM,RF,RM,RS,RW,RWB,ST
215333,Robinson ZAPATA,D. Zapata,26,https://cdn.sofifa.org/48/18/players/215333.png,Colombia,https://cdn.sofifa.org/flags/56.png,78,81,Sampdoria,https://cdn.sofifa.org/24/18/teams/1837.png,€13M,€67K,1741,69,58,64,58,76,73,44,46,72,81,64,9,9,8,6,8,78,20,79,38,64,20,64,78,74,64,86,22,76,69,24,90,47,76,67,46,47,72,59,215333,67,47,46,59,47,72,66,77,69,49,ST ,67,47,46,59,47,72,66,77,69,49,77
177974,Abel AGUILAR,A. Aguilar,32,https://cdn.sofifa.org/48/18/players/177974.png,Colombia,https://cdn.sofifa.org/flags/56.png,75,75,Asociacion Deportivo Cali,https://cdn.sofifa.org/24/18/teams/101102.png,€3.8M,€4K,1878,44,86,56,53,70,70,57,61,65,59,62,12,11,15,6,11,73,80,67,69,60,67,59,68,73,75,71,61,34,73,81,78,70,51,66,74,74,65,71,177974,66,67,74,71,74,65,64,65,63,67,CDM ,66,67,74,71,74,65,64,65,63,67,65
183315,David GONZALEZ,D. GonzMan lez,34,https://cdn.sofifa.org/48/18/players/183315.png,Colombia,https://cdn.sofifa.org/flags/56.png,70,70,Independiente Medellín,https://cdn.sofifa.org/24/18/teams/101103.png,€725K,€3K,1072,34,44,44,26,25,35,12,14,11,12,18,66,72,66,74,68,11,24,62,22,12,14,15,15,63,23,20,12,37,26,11,72,34,13,,,,,,183315,,,,,,,,,,,GK ,,,,,,,,,,,
176619,Adrian RAMOS,A. Ramos,31,https://cdn.sofifa.org/48/18/players/176619.png,Colombia,https://cdn.sofifa.org/flags/56.png,78,78,Granada CF,https://cdn.sofifa.org/24/18/teams/110832.png,€9.5M,€15K,1910,77,58,75,68,75,78,68,68,74,78,48,9,14,13,14,6,86,43,91,55,64,23,72,78,77,69,76,28,83,73,33,76,65,73,72,52,54,75,66,176619,72,56,52,66,54,75,73,77,74,58,RW ST ,72,56,52,66,54,75,73,77,74,58,77
214332,Macnelly TORRES,D. Torres,27,https://cdn.sofifa.org/48/18/players/214332.png,Colombia,https://cdn.sofifa.org/flags/56.png,77,79,Deportivo Alavés,https://cdn.sofifa.org/24/18/teams/463.png,€8.5M,€25K,1975,60,87,70,58,72,80,62,57,71,55,50,15,11,8,15,12,61,82,81,76,61,63,72,62,81,76,73,74,57,80,76,78,71,48,70,74,76,68,74,214332,70,72,74,74,76,68,69,66,67,72,CM CDM ,70,72,74,74,76,68,69,66,67,72,66
187075,Dayro MORENO,D. Moreno,31,https://cdn.sofifa.org/48/18/players/187075.png,Colombia,https://cdn.sofifa.org/flags/56.png,76,76,Atletico Nacional Medellin,https://cdn.sofifa.org/24/18/teams/101100.png,€7M,€28K,1897,74,52,74,69,76,78,69,75,73,78,74,16,15,10,12,6,69,41,51,62,77,22,80,77,81,69,81,24,71,76,27,67,70,79,73,46,54,75,68,187075,73,53,46,68,54,75,73,75,74,57,ST ,73,53,46,68,54,75,73,75,74,57,75
176550,David OSPINA,D. Ospina,28,https://cdn.sofifa.org/48/18/players/176550.png,Colombia,https://cdn.sofifa.org/flags/56.png,79,79,Arsenal,https://cdn.sofifa.org/24/18/teams/1.png,€9M,€91K,1159,34,20,44,50,32,29,11,10,12,10,13,83,71,78,77,84,15,25,75,32,12,10,26,16,70,36,35,12,34,29,13,38,40,12,,,,,,176550,,,,,,,,,,,GK ,,,,,,,,,,,
201377,Oscar MURILLO,J. Murillo,25,https://cdn.sofifa.org/48/18/players/201377.png,Colombia,https://cdn.sofifa.org/flags/56.png,79,83,Valencia CF,https://cdn.sofifa.org/24/18/teams/461.png,€13.5M,€64K,1822,73,88,78,69,64,73,56,38,58,37,26,14,13,8,11,14,77,78,86,62,13,80,46,45,73,61,68,84,76,71,81,76,54,44,57,78,72,57,60,201377,57,74,78,60,72,57,60,58,57,71,CB ,57,74,78,60,72,57,60,58,57,71,58
167397,FALCAO,Falcao,31,https://cdn.sofifa.org/48/18/players/167397.png,Colombia,https://cdn.sofifa.org/flags/56.png,84,84,AS Monaco,https://cdn.sofifa.org/24/18/teams/69.png,€28M,€68K,2010,73,75,85,75,82,87,55,83,74,87,71,10,13,6,9,5,90,41,92,58,80,16,84,85,82,78,79,19,66,68,42,75,68,84,77,54,57,79,71,167397,77,54,54,71,57,79,74,82,76,56,ST ,77,54,54,71,57,79,74,82,76,56,82
198710,James RODRIGUEZ,J. RodrLiu guez,25,https://cdn.sofifa.org/48/18/players/198710.png,Colombia,https://cdn.sofifa.org/flags/56.png,86,89,FC Bayern Munich,https://cdn.sofifa.org/24/18/teams/21.png,€56M,€250K,2118,77,65,82,75,85,87,88,87,83,82,86,15,15,15,5,14,62,55,54,80,91,25,81,80,84,84,86,30,75,68,42,70,86,91,83,53,64,83,79,198710,83,61,53,79,64,83,82,80,83,65,RM CM CAM ,83,61,53,79,64,83,82,80,83,65,80
214207,Edgar PARDO,F. Pardo,26,https://cdn.sofifa.org/48/18/players/214207.png,Colombia,https://cdn.sofifa.org/flags/56.png,75,75,Olympiakos CFP,https://cdn.sofifa.org/24/18/teams/280.png,€7M,€1K,1936,81,80,77,71,76,74,77,79,75,71,66,16,10,6,14,7,67,35,67,67,76,29,65,79,75,68,79,28,79,67,29,80,69,71,73,50,55,75,68,214207,73,54,50,68,55,75,74,75,75,57,LM RM ,73,54,50,68,55,75,74,75,75,57,75
214582,Cristian BONILLA,C. Bonilla,24,https://cdn.sofifa.org/48/18/players/214582.png,Colombia,https://cdn.sofifa.org/flags/56.png,69,76,La Equidad,https://cdn.sofifa.org/24/18/teams/112523.png,€1.1M,€2K,1162,57,24,58,37,17,21,20,12,12,11,19,72,67,59,64,74,17,22,81,17,18,18,21,13,65,24,17,14,54,35,14,65,45,19,,,,,,214582,,,,,,,,,,,GK ,,,,,,,,,,,
192342,Edwin CARDONA,E. Cardona,24,https://cdn.sofifa.org/48/18/players/192342.png,Colombia,https://cdn.sofifa.org/flags/56.png,74,78,Boca Juniors,https://cdn.sofifa.org/24/18/teams/1877.png,€7.5M,€42K,1910,62,79,71,57,77,69,73,80,76,70,81,15,10,7,11,15,60,47,47,70,85,37,64,74,61,74,86,36,60,65,32,81,72,75,73,52,59,72,69,192342,73,54,52,69,59,72,71,72,72,58,LW LM CAM ,73,54,52,69,59,72,71,72,72,58,72
200207,Jackson MARTINEZ,C. MartLiu nez Borja,29,https://cdn.sofifa.org/48/18/players/200207.png,Colombia,https://cdn.sofifa.org/flags/56.png,69,69,CD America de Cali,https://cdn.sofifa.org/24/18/teams/101099.png,€1.1M,€2K,1636,61,67,64,48,68,53,56,60,65,73,55,7,7,6,8,7,67,21,56,58,63,15,73,70,52,66,72,17,64,69,18,86,53,64,63,41,46,65,58,200207,63,42,41,58,46,65,63,68,64,46,ST ,63,42,41,58,46,65,63,68,64,46,68
187075,Giovanni MORENO,D. Moreno,31,https://cdn.sofifa.org/48/18/players/187075.png,Colombia,https://cdn.sofifa.org/flags/56.png,76,76,Atletico Nacional Medellin,https://cdn.sofifa.org/24/18/teams/101100.png,€7M,€28K,1897,74,52,74,69,76,78,69,75,73,78,74,16,15,10,12,6,69,41,51,62,77,22,80,77,81,69,81,24,71,76,27,67,70,79,73,46,54,75,68,187075,73,53,46,68,54,75,73,75,74,57,ST ,73,53,46,68,54,75,73,75,74,57,75
214601,Stefan MEDINA,S. Medina,25,https://cdn.sofifa.org/48/18/players/214601.png,Colombia,https://cdn.sofifa.org/flags/56.png,71,75,Monterrey,https://cdn.sofifa.org/24/18/teams/1032.png,€2.5M,€30K,1838,68,70,73,64,67,68,60,57,62,49,40,10,15,15,14,10,72,70,79,60,40,70,56,60,68,64,50,75,73,73,71,74,59,50,62,71,68,61,63,214601,62,70,71,63,68,61,63,61,62,69,CB RB ,62,70,71,63,68,61,63,61,62,69,61
231376,Orlando BERRIO,M. BerrLiu o,20,https://cdn.sofifa.org/48/18/players/231376.png,Colombia,https://cdn.sofifa.org/flags/56.png,62,76,Atlético Huila,https://cdn.sofifa.org/24/18/teams/112528.png,€600K,€1K,1502,69,60,62,56,42,57,45,30,39,32,40,6,11,9,7,7,53,64,77,40,52,59,44,36,48,57,40,60,70,66,63,73,46,39,47,61,56,45,49,231376,47,58,61,49,56,45,48,46,47,57,CB ,47,58,61,49,56,45,48,46,47,57,46
