ID,Fullname,Name,Age,Photo,Nationality,Flag,Overall,Potential,Club,Club Logo,Value,Wage,Special,Acceleration,Aggression,Agility,Balance,Ball control,Composure,Crossing,Curve,Dribbling,Finishing,Free kick accuracy,GK diving,GK handling,GK kicking,GK positioning,GK reflexes,Heading accuracy,Interceptions,Jumping,Long passing,Long shots,Marking,Penalties,Positioning,Reactions,Short passing,Shot power,Sliding tackle,Sprint speed,Stamina,Standing tackle,Strength,Vision,Volleys,CAM,CB,CDM,CF,CM,ID,LAM,LB,LCB,LCM,LDM,LF,LM,LS,LW,LWB,Preferred Positions,RAM,RB,RCB,RCM,RDM,RF,RM,RS,RW,RWB,ST
175753,Christian BOLANOS,C. BolaMao os,33,https://cdn.sofifa.org/48/18/players/175753.png,Costa Rica,https://cdn.sofifa.org/flags/72.png,71,71,Vancouver Whitecaps FC,https://cdn.sofifa.org/24/18/teams/101112.png,€1.4M,€7K,1785,69,70,78,78,72,71,74,72,72,63,69,12,7,9,14,15,39,34,66,65,68,31,43,67,68,67,71,22,69,66,400,55,74,66,70,45,54,69,66,175753,70,51,45,66,54,69,70,64,70,55,RM LM ,70,51,45,66,54,69,70,64,70,55,64
193041,Keylor NAVAS,K. Navas,30,https://cdn.sofifa.org/48/18/players/193041.png,Costa Rica,https://cdn.sofifa.org/flags/72.png,85,85,Real Madrid CF,https://cdn.sofifa.org/24/18/teams/243.png,€24.5M,€165K,1301,54,32,60,61,19,49,11,11,16,15,15,87,82,72,80,85,11,20,74,37,13,12,25,16,82,30,21,14,53,39,14,75,54,11,,,,,,193041,,,,,,,,,,,GK ,,,,,,,,,,,
208379,Leonardo GONZALEZ,G. GonzMan lez,29,https://cdn.sofifa.org/48/18/players/208379.png,Costa Rica,https://cdn.sofifa.org/flags/72.png,75,75,Bologna,https://cdn.sofifa.org/24/18/teams/189.png,€5M,€44K,1708,73,79,58,61,60,68,33,45,59,40,22,9,10,10,15,12,72,77,73,60,41,78,35,37,73,60,68,76,69,69,78,73,45,38,55,74,69,56,59,208379,55,69,74,59,69,56,56,57,54,66,CB ,55,69,74,59,69,56,56,57,54,66,57
176949,Bryan RUIZ,B. RuLiu z,31,https://cdn.sofifa.org/48/18/players/176949.png,Costa Rica,https://cdn.sofifa.org/flags/72.png,77,77,Sporting CP,https://cdn.sofifa.org/24/18/teams/237.png,€8M,€19K,1920,64,33,74,71,84,80,78,81,85,65,74,9,7,12,7,6,75,49,56,73,75,36,73,74,72,78,77,48,66,56,38,67,78,79,77,53,60,76,73,176949,77,59,53,73,60,76,75,74,76,62,CF CAM ST LM ,77,59,53,73,60,76,75,74,76,62,74
208379,Giancarlo GONZALEZ,G. GonzMan lez,29,https://cdn.sofifa.org/48/18/players/208379.png,Costa Rica,https://cdn.sofifa.org/flags/72.png,75,75,Bologna,https://cdn.sofifa.org/24/18/teams/189.png,€5M,€44K,1708,73,79,58,61,60,68,33,45,59,40,22,9,10,10,15,12,72,77,73,60,41,78,35,37,73,60,68,76,69,69,78,73,45,38,55,74,69,56,59,208379,55,69,74,59,69,56,56,57,54,66,CB ,55,69,74,59,69,56,56,57,54,66,57
198040,Esteban ALVARADO,E. Alvarado,28,https://cdn.sofifa.org/48/18/players/198040.png,Costa Rica,https://cdn.sofifa.org/flags/72.png,67,67,Trabzonspor,https://cdn.sofifa.org/24/18/teams/436.png,€525K,€14K,1154,51,45,58,44,21,45,14,11,13,18,11,70,60,65,64,71,17,18,69,29,19,15,20,12,66,22,25,13,52,40,12,62,35,12,,,,,,198040,,,,,,,,,,,GK ,,,,,,,,,,,
236999,David GUZMAN,D. Guzman,27,https://cdn.sofifa.org/48/18/players/236999.png,Costa Rica,https://cdn.sofifa.org/flags/72.png,72,73,Portland Timbers,https://cdn.sofifa.org/24/18/teams/111140.png,€2.9M,€6K,1919,66,81,68,66,68,71,70,70,67,51,53,10,7,12,13,8,61,68,68,77,64,67,61,65,72,72,71,62,64,78,67,68,73,51,68,68,71,66,71,236999,68,68,68,71,71,66,68,64,66,69,CDM ,68,68,68,71,71,66,68,64,66,69,64
198335,Bryan OVIEDO,B. Oviedo,27,https://cdn.sofifa.org/48/18/players/198335.png,Costa Rica,https://cdn.sofifa.org/flags/72.png,72,72,Sunderland,https://cdn.sofifa.org/24/18/teams/106.png,€2.6M,€8K,1969,79,72,79,79,73,69,72,59,75,61,63,11,12,8,10,16,48,69,83,64,59,73,56,66,72,68,66,70,72,79,72,59,66,58,69,68,70,69,69,198335,69,71,68,69,70,69,71,65,70,72,LB ,69,71,68,69,70,69,71,65,70,72,65
176949,Yendrick RUIZ,B. RuLiu z,31,https://cdn.sofifa.org/48/18/players/176949.png,Costa Rica,https://cdn.sofifa.org/flags/72.png,77,77,Sporting CP,https://cdn.sofifa.org/24/18/teams/237.png,€8M,€19K,1920,64,33,74,71,84,80,78,81,85,65,74,9,7,12,7,6,75,49,56,73,75,36,73,74,72,78,77,48,66,56,38,67,78,79,77,53,60,76,73,176949,77,59,53,73,60,76,75,74,76,62,CF CAM ST LM ,77,59,53,73,60,76,75,74,76,62,74
204713,Joel CAMPBELL,J. Campbell,25,https://cdn.sofifa.org/48/18/players/204713.png,Costa Rica,https://cdn.sofifa.org/flags/72.png,77,80,Real Betis Balompié,https://cdn.sofifa.org/24/18/teams/449.png,€11M,€92K,2005,86,70,85,76,77,74,76,72,79,70,69,8,15,14,15,14,52,45,78,68,74,38,75,75,72,74,82,42,85,66,40,74,75,64,76,54,60,76,70,204713,76,60,54,70,60,76,76,73,77,63,CAM LM RM ,76,60,54,70,60,76,76,73,77,63,73
