ID,Fullname,Name,Age,Photo,Nationality,Flag,Overall,Potential,Club,Club Logo,Value,Wage,Special,Acceleration,Aggression,Agility,Balance,Ball control,Composure,Crossing,Curve,Dribbling,Finishing,Free kick accuracy,GK diving,GK handling,GK kicking,GK positioning,GK reflexes,Heading accuracy,Interceptions,Jumping,Long passing,Long shots,Marking,Penalties,Positioning,Reactions,Short passing,Shot power,Sliding tackle,Sprint speed,Stamina,Standing tackle,Strength,Vision,Volleys,CAM,CB,CDM,CF,CM,ID,LAM,LB,LCB,LCM,LDM,LF,LM,LS,LW,LWB,Preferred Positions,RAM,RB,RCB,RCM,RDM,RF,RM,RS,RW,RWB,ST
177003,Luka MODRIC,L. ModriFan ,31,https://cdn.sofifa.org/48/18/players/177003.png,Croatia,https://cdn.sofifa.org/flags/10.png,89,89,Real Madrid CF,https://cdn.sofifa.org/24/18/teams/243.png,€57M,€340K,2228,75,62,93,94,92,84,78,79,86,71,77,13,9,7,14,9,55,76,67,83,82,66,80,79,88,92,73,73,71,82,80,58,90,74,86,72,80,83,86,177003,86,78,72,86,80,83,84,76,83,80,CDM CM ,86,78,72,86,80,83,84,76,83,80,76
168651,Ivan RAKITIC,I. RakitiFan ,29,https://cdn.sofifa.org/48/18/players/168651.png,Croatia,https://cdn.sofifa.org/flags/10.png,87,87,FC Barcelona,https://cdn.sofifa.org/24/18/teams/241.png,€48.5M,€275K,2129,67,67,72,66,87,81,81,88,84,83,84,14,11,12,5,9,58,69,44,92,88,52,78,80,79,87,84,53,64,76,65,63,87,80,83,64,74,82,84,168651,83,69,64,84,74,82,82,78,81,72,CM ,83,69,64,84,74,82,82,78,81,72,78
181786,Vedran CORLUKA,V. Teng orluka,31,https://cdn.sofifa.org/48/18/players/181786.png,Croatia,https://cdn.sofifa.org/flags/10.png,82,82,Lokomotiv Moscow,https://cdn.sofifa.org/24/18/teams/100765.png,€15M,€54K,1922,49,81,57,46,73,78,68,69,65,47,60,15,9,12,14,6,83,77,86,72,53,83,49,45,77,70,64,82,65,80,83,84,60,38,63,80,77,62,69,181786,63,76,80,69,77,62,65,62,62,74,CB ,63,76,80,69,77,62,65,62,62,74,62
185431,Nikola KALINIC,N. KaliniFan ,29,https://cdn.sofifa.org/48/18/players/185431.png,Croatia,https://cdn.sofifa.org/flags/10.png,81,81,Milan,https://cdn.sofifa.org/24/18/teams/47.png,€18M,€84K,1892,69,70,69,58,79,78,60,64,74,85,54,9,11,9,11,7,80,42,68,48,68,22,70,90,85,72,78,28,77,79,32,78,66,80,75,52,56,78,68,185431,75,55,52,68,56,78,74,80,76,58,ST ,75,55,52,68,56,78,74,80,76,58,80
192593,Danijel SUBASIC,D. SubaNing iFan ,32,https://cdn.sofifa.org/48/18/players/192593.png,Croatia,https://cdn.sofifa.org/flags/10.png,85,85,AS Monaco,https://cdn.sofifa.org/24/18/teams/69.png,€22M,€46K,1305,51,31,42,37,19,65,11,24,11,10,66,84,79,79,85,87,13,20,75,26,14,15,23,15,82,24,24,13,54,32,14,80,52,13,,,,,,192593,,,,,,,,,,,GK ,,,,,,,,,,,
195086,Dejan LOVREN,D. Lovren,27,https://cdn.sofifa.org/48/18/players/195086.png,Croatia,https://cdn.sofifa.org/flags/10.png,81,83,Liverpool,https://cdn.sofifa.org/24/18/teams/9.png,€17.5M,€110K,1739,57,87,53,43,67,70,59,26,63,33,18,14,14,13,10,7,77,82,82,66,34,78,52,21,75,68,63,85,55,70,83,86,56,42,56,80,75,54,63,195086,56,73,80,63,75,54,58,54,55,72,CB ,56,73,80,63,75,54,58,54,55,72,54
239148,Franko ANDRIJASEVIC,F. AndrijaNing eviFan ,26,https://cdn.sofifa.org/48/18/players/239148.png,Croatia,https://cdn.sofifa.org/flags/10.png,74,76,KAA Gent,https://cdn.sofifa.org/24/18/teams/674.png,€7M,€21K,1937,68,71,53,48,73,71,52,69,71,78,61,11,14,11,9,11,79,46,74,71,72,38,72,80,72,76,72,57,72,77,62,74,74,69,73,62,64,74,72,239148,73,62,62,72,64,74,71,75,71,62,CAM ,73,62,62,72,64,74,71,75,71,62,75
216354,Andrej KRAMARIC,A. KramariFan ,26,https://cdn.sofifa.org/48/18/players/216354.png,Croatia,https://cdn.sofifa.org/flags/10.png,81,83,TSG 1899 Hoffenheim,https://cdn.sofifa.org/24/18/teams/10029.png,€22M,€50K,1949,78,73,79,77,84,77,70,68,86,82,71,8,14,14,7,15,69,21,69,53,78,20,84,84,81,79,82,26,69,76,20,68,66,78,78,45,52,80,70,216354,78,52,45,70,52,80,77,80,79,56,LW ST ,78,52,45,70,52,80,77,80,79,56,80
203890,Sime VRSALJKO,S. Vrsaljko,25,https://cdn.sofifa.org/48/18/players/203890.png,Croatia,https://cdn.sofifa.org/flags/10.png,79,83,Atlético Madrid,https://cdn.sofifa.org/24/18/teams/240.png,€13.5M,€54K,2044,80,70,67,72,75,67,82,70,72,44,57,15,11,10,10,12,69,79,84,70,58,77,52,65,77,74,75,75,81,89,78,73,68,53,70,76,76,69,73,203890,70,78,76,73,76,69,73,67,71,79,RB ,70,78,76,73,76,69,73,67,71,79,67
207410,Mateo KOVACIC,M. KovaXiang iFan ,23,https://cdn.sofifa.org/48/18/players/207410.png,Croatia,https://cdn.sofifa.org/flags/10.png,82,88,Real Madrid CF,https://cdn.sofifa.org/24/18/teams/243.png,€30M,€150K,2054,85,71,77,70,87,72,73,78,88,62,68,9,5,6,7,7,42,70,63,82,75,52,59,69,68,87,79,63,77,77,69,65,88,76,81,65,74,78,81,207410,81,71,65,81,74,78,80,71,79,74,CDM CM ,81,71,65,81,74,78,80,71,79,74,71
201139,Ivan STRINIC,I. StriniFan ,29,https://cdn.sofifa.org/48/18/players/201139.png,Croatia,https://cdn.sofifa.org/flags/10.png,75,75,Sampdoria,https://cdn.sofifa.org/24/18/teams/1837.png,€5M,€31K,1957,73,71,72,73,75,69,76,62,71,48,55,10,8,14,13,10,56,75,72,66,61,77,61,70,73,71,68,72,75,75,75,70,59,50,68,72,72,68,69,201139,68,74,72,69,72,68,70,65,69,74,LB ,68,74,72,69,72,68,70,65,69,74,65
201144,Milan BADELJ,M. Badelj,28,https://cdn.sofifa.org/48/18/players/201144.png,Croatia,https://cdn.sofifa.org/flags/10.png,78,78,Fiorentina,https://cdn.sofifa.org/24/18/teams/110374.png,€10.5M,€64K,2012,58,76,67,64,80,72,69,64,70,54,58,8,9,14,15,6,66,80,58,82,72,70,68,62,78,82,72,76,60,80,78,72,78,66,73,74,78,70,77,201144,73,74,74,77,78,70,72,67,70,75,CDM CM ,73,74,74,77,78,70,72,67,70,75,67
181458,Ivan PERISIC,I. PeriNing iFan ,28,https://cdn.sofifa.org/48/18/players/181458.png,Croatia,https://cdn.sofifa.org/flags/10.png,84,84,Inter,https://cdn.sofifa.org/24/18/teams/44.png,€31.5M,€110K,2078,81,59,78,67,83,80,84,73,83,79,76,6,7,10,9,6,78,42,82,72,80,26,76,84,80,78,83,45,87,86,45,75,78,80,80,56,62,81,76,181458,80,64,56,76,62,81,82,81,82,67,CAM LM ,80,64,56,76,62,81,82,81,82,67,81
191990,Antonio MILIC,H. MiliFan ,28,https://cdn.sofifa.org/48/18/players/191990.png,Croatia,https://cdn.sofifa.org/flags/10.png,74,74,Olympiakos CFP,https://cdn.sofifa.org/24/18/teams/280.png,€4.4M,€1K,1866,73,70,66,69,74,65,74,63,74,54,46,8,12,6,10,12,60,74,45,66,62,74,61,60,69,70,61,76,72,69,76,63,61,36,67,70,71,67,68,191990,67,73,70,68,71,67,69,63,68,73,LM LB ,67,73,70,68,71,67,69,63,68,73,63
237209,Matej MITROVIC,M. MitroviFan ,23,https://cdn.sofifa.org/48/18/players/237209.png,Croatia,https://cdn.sofifa.org/flags/10.png,71,77,Beşiktaş JK,https://cdn.sofifa.org/24/18/teams/327.png,€2.8M,€24K,1673,52,76,52,42,64,60,46,39,59,44,37,13,9,10,7,9,74,65,64,65,48,69,60,44,66,64,68,65,53,69,72,82,44,42,56,70,67,56,60,237209,56,64,70,60,67,56,56,58,54,62,CB ,56,64,70,60,67,56,56,58,54,62,58
