ID,Fullname,Name,Age,Photo,Nationality,Flag,Overall,Potential,Club,Club Logo,Value,Wage,Special,Acceleration,Aggression,Agility,Balance,Ball control,Composure,Crossing,Curve,Dribbling,Finishing,Free kick accuracy,GK diving,GK handling,GK kicking,GK positioning,GK reflexes,Heading accuracy,Interceptions,Jumping,Long passing,Long shots,Marking,Penalties,Positioning,Reactions,Short passing,Shot power,Sliding tackle,Sprint speed,Stamina,Standing tackle,Strength,Vision,Volleys,CAM,CB,CDM,CF,CM,ID,LAM,LB,LCB,LCM,LDM,LF,LM,LS,LW,LWB,Preferred Positions,RAM,RB,RCB,RCM,RDM,RF,RM,RS,RW,RWB,ST
132740,Jesper HANSEN,J. Hansen,32,https://cdn.sofifa.org/48/18/players/132740.png,Denmark,https://cdn.sofifa.org/flags/13.png,73,73,FC Midtjylland,https://cdn.sofifa.org/24/18/teams/1516.png,€2.3M,€20K,1250,41,31,48,64,25,56,18,16,12,13,12,72,70,76,72,74,13,27,70,49,13,15,20,12,72,44,12,15,42,44,14,68,65,11,,,,,,132740,,,,,,,,,,,GK ,,,,,,,,,,,
167706,Nicklas BENDTNER,N. Bendtner,29,https://cdn.sofifa.org/48/18/players/167706.png,Denmark,https://cdn.sofifa.org/flags/13.png,73,73,Rosenborg BK,https://cdn.sofifa.org/24/18/teams/298.png,€4M,€10K,1790,70,68,58,48,74,78,62,62,70,69,41,15,7,7,8,15,78,29,70,67,64,27,77,66,72,68,78,28,67,60,36,84,72,73,69,51,54,70,65,167706,69,51,51,65,54,70,69,72,69,53,ST ,69,51,51,65,54,70,69,72,69,53,72
163587,Kasper SCHMEICHEL,K. Schmeichel,30,https://cdn.sofifa.org/48/18/players/163587.png,Denmark,https://cdn.sofifa.org/flags/13.png,83,84,Leicester City,https://cdn.sofifa.org/24/18/teams/95.png,€19M,€65K,1355,62,33,62,47,40,52,18,13,12,12,15,83,82,82,80,86,16,20,60,46,14,14,26,14,80,44,36,13,60,35,14,62,59,15,,,,,,163587,,,,,,,,,,,GK ,,,,,,,,,,,
158676,William KVIST,W. Kvist,32,https://cdn.sofifa.org/48/18/players/158676.png,Denmark,https://cdn.sofifa.org/flags/13.png,70,70,FC København,https://cdn.sofifa.org/24/18/teams/819.png,€1.3M,€15K,1890,49,75,61,65,70,71,67,57,59,46,66,8,14,6,16,15,58,74,65,70,58,72,59,61,71,73,73,70,52,85,72,77,66,60,64,71,73,62,69,158676,64,69,71,69,73,62,64,61,62,70,CDM CM ,64,69,71,69,73,62,64,61,62,70,61
179645,Simon KJAER,S. KjMang r,28,https://cdn.sofifa.org/48/18/players/179645.png,Denmark,https://cdn.sofifa.org/flags/13.png,81,82,Sevilla FC,https://cdn.sofifa.org/24/18/teams/481.png,€16M,€23K,1869,60,80,48,58,67,72,54,52,42,55,73,6,10,13,10,15,82,81,70,74,41,80,61,31,76,75,78,80,68,78,82,83,49,37,57,79,76,57,65,179645,57,75,79,65,76,57,59,61,56,72,CB ,57,75,79,65,76,57,59,61,56,72,61
172143,Lasse SCHONE,L. SchMei ne,31,https://cdn.sofifa.org/48/18/players/172143.png,Denmark,https://cdn.sofifa.org/flags/13.png,77,77,Ajax,https://cdn.sofifa.org/24/18/teams/245.png,€7.5M,€15K,2051,45,65,72,79,82,68,81,85,74,70,86,16,16,9,12,11,60,81,70,77,82,50,77,67,70,82,83,51,55,66,55,55,83,84,75,62,70,73,76,172143,75,65,62,76,70,73,73,70,73,68,CDM CM ,75,65,62,76,70,73,73,70,73,68,70
172553,Jonas LOSSL,J. LMei ssl,28,https://cdn.sofifa.org/48/18/players/172553.png,Denmark,https://cdn.sofifa.org/flags/13.png,75,76,Huddersfield Town,https://cdn.sofifa.org/24/18/teams/1939.png,€5.5M,€21K,1070,29,17,32,30,19,30,14,14,15,12,13,74,77,67,71,77,17,20,51,34,15,12,12,10,72,30,22,15,34,25,13,67,49,11,,,,,,172553,,,,,,,,,,,GK ,,,,,,,,,,,
177373,Lasse NIELSEN,L. Nielsen,29,https://cdn.sofifa.org/48/18/players/177373.png,Denmark,https://cdn.sofifa.org/flags/13.png,71,71,Malmö FF,https://cdn.sofifa.org/24/18/teams/320.png,€1.8M,€5K,1705,62,82,61,56,58,64,54,49,45,25,41,11,6,14,12,14,67,66,80,64,31,68,38,38,68,62,61,68,76,63,74,77,56,58,53,70,66,51,58,177373,53,66,70,58,66,51,55,52,52,64,CB ,53,66,70,58,66,51,55,52,52,64,52
183781,Andreas BJELLAND,A. Bjelland,28,https://cdn.sofifa.org/48/18/players/183781.png,Denmark,https://cdn.sofifa.org/flags/13.png,73,73,Brentford,https://cdn.sofifa.org/24/18/teams/1925.png,€3.2M,€40K,1769,48,69,57,43,66,76,51,63,56,35,43,15,13,15,8,11,71,72,85,78,53,72,40,58,69,63,57,72,51,70,74,84,62,45,59,72,71,57,65,183781,59,66,72,65,71,57,59,57,56,65,LB CB ,59,66,72,65,71,57,59,57,56,65,57
190947,Mike JENSEN,D. Jensen,25,https://cdn.sofifa.org/48/18/players/190947.png,Denmark,https://cdn.sofifa.org/flags/13.png,75,78,FC Utrecht,https://cdn.sofifa.org/24/18/teams/1903.png,€6M,€9K,1173,48,36,38,57,22,55,12,15,14,13,15,74,72,79,72,75,18,19,58,26,17,15,11,15,73,22,12,18,34,37,14,79,50,13,,,,,,190947,,,,,,,,,,,GK ,,,,,,,,,,,
