ID,Fullname,Name,Age,Photo,Nationality,Flag,Overall,Potential,Club,Club Logo,Value,Wage,Special,Acceleration,Aggression,Agility,Balance,Ball control,Composure,Crossing,Curve,Dribbling,Finishing,Free kick accuracy,GK diving,GK handling,GK kicking,GK positioning,GK reflexes,Heading accuracy,Interceptions,Jumping,Long passing,Long shots,Marking,Penalties,Positioning,Reactions,Short passing,Shot power,Sliding tackle,Sprint speed,Stamina,Standing tackle,Strength,Vision,Volleys,CAM,CB,CDM,CF,CM,ID,LAM,LB,LCB,LCM,LDM,LF,LM,LS,LW,LWB,Preferred Positions,RAM,RB,RCB,RCM,RDM,RF,RM,RS,RW,RWB,ST
188033,ESSAM EL HADARY,E. El Hadary,44,https://cdn.sofifa.org/48/18/players/188033.png,Egypt,https://cdn.sofifa.org/flags/111.png,70,70,Al Taawoun,https://cdn.sofifa.org/24/18/teams/112393.png,€120K,€7K,1047,28,29,21,41,25,57,20,17,17,14,12,65,72,66,75,67,16,16,59,14,18,12,20,14,67,16,18,15,39,34,19,73,16,12,,,,,,188033,,,,,,,,,,,GK ,,,,,,,,,,,
139974,HOSSAM GHALY,H. Ghaly,35,https://cdn.sofifa.org/48/18/players/139974.png,Egypt,https://cdn.sofifa.org/flags/111.png,71,71,Al Nassr,https://cdn.sofifa.org/24/18/teams/112139.png,€1M,€19K,1954,70,82,67,69,74,67,64,67,73,61,59,7,16,13,14,10,70,53,68,69,68,54,65,63,72,74,73,57,72,73,69,77,71,60,70,66,68,70,70,139974,70,65,66,70,68,70,70,69,69,66,CDM CM ,70,65,66,70,68,70,70,69,69,66,69
169423,SHERIF EKRAMY,S. Ekramy,33,https://cdn.sofifa.org/48/18/players/169423.png,Egypt,https://cdn.sofifa.org/flags/111.png,69,69,,https://cdn.sofifa.org/flags/111.png,€ 0,€ 0,1148,60,36,42,55,24,55,14,14,12,13,13,65,69,77,64,79,14,15,68,31,13,12,15,10,57,26,23,14,55,23,12,64,44,15,,,,,,169423,,,,,,,,,,,GK ,,,,,,,,,,,
197300,Abdallah SAIED,A. El-Said,31,https://cdn.sofifa.org/48/18/players/197300.png,Egypt,https://cdn.sofifa.org/flags/111.png,68,68,,https://cdn.sofifa.org/flags/111.png,€ 0,€ 0,1775,76,43,79,71,74,64,63,62,58,68,76,8,9,15,10,11,64,42,53,64,69,40,69,64,70,70,78,27,71,64,37,54,59,57,67,48,54,68,64,197300,67,54,48,64,54,68,67,68,67,56,RW CAM ,67,54,48,64,54,68,67,68,67,56,68
203766,AHMED ELSHENAWY,A. El-Shenawy,26,https://cdn.sofifa.org/48/18/players/203766.png,Egypt,https://cdn.sofifa.org/flags/111.png,73,76,,https://cdn.sofifa.org/flags/111.png,€ 0,€ 0,1102,33,22,35,63,21,46,19,10,13,10,13,74,72,71,75,75,11,23,52,35,10,16,21,13,59,26,21,9,35,20,10,73,47,15,,,,,,203766,,,,,,,,,,,GK ,,,,,,,,,,,
191005,AHMED AL MUHAMADI,A. Elmohamady,29,https://cdn.sofifa.org/48/18/players/191005.png,Egypt,https://cdn.sofifa.org/flags/111.png,72,72,Aston Villa,https://cdn.sofifa.org/24/18/teams/2.png,€2.4M,€24K,2000,77,59,72,63,73,68,75,74,73,61,69,14,7,9,10,7,72,71,81,69,66,62,59,69,73,75,70,61,77,87,66,72,67,60,71,68,70,71,72,191005,71,71,68,72,70,71,73,70,72,72,RM RWB RB ,71,71,68,72,70,71,73,70,72,72,70
239652,AHMED FATHI,M. Fathi,23,https://cdn.sofifa.org/48/18/players/239652.png,Egypt,https://cdn.sofifa.org/flags/111.png,67,77,Al Taawoun,https://cdn.sofifa.org/24/18/teams/112393.png,€1.2M,€11K,1625,74,34,67,73,60,47,67,62,70,64,32,8,13,14,8,7,49,24,42,62,58,28,52,64,58,67,65,43,80,68,39,51,58,64,64,42,48,64,60,239652,64,52,42,60,48,64,66,63,66,54,LM CAM RM ,64,52,42,60,48,64,66,63,66,54,63
218430,SAADELDIN SAAD,S. Saad,28,https://cdn.sofifa.org/48/18/players/218430.png,Egypt,https://cdn.sofifa.org/flags/111.png,70,71,,https://cdn.sofifa.org/flags/111.png,€ 0,€ 0,1723,76,58,70,67,46,63,41,50,58,36,49,14,13,10,7,12,65,68,68,57,40,70,52,45,66,56,51,82,78,66,83,64,56,49,54,69,64,53,57,218430,54,68,69,57,64,53,55,53,54,65,CB ,54,68,69,57,64,53,55,53,54,65,53
213051,MOHAMED EL NENY,M. Elneny,24,https://cdn.sofifa.org/48/18/players/213051.png,Egypt,https://cdn.sofifa.org/flags/111.png,77,81,Arsenal,https://cdn.sofifa.org/24/18/teams/1.png,€10M,€76K,1959,58,74,67,62,76,77,67,69,68,57,61,7,15,15,12,6,57,76,70,73,67,70,62,63,75,79,71,72,61,92,75,73,70,39,70,72,76,68,74,213051,70,73,72,74,76,68,70,65,68,74,CM CDM ,70,73,72,74,76,68,70,65,68,74,65
212783,OMAR GABER,O. Gaber,25,https://cdn.sofifa.org/48/18/players/212783.png,Egypt,https://cdn.sofifa.org/flags/111.png,69,74,FC Basel,https://cdn.sofifa.org/24/18/teams/896.png,€1.2M,€18K,1839,77,76,72,81,70,69,63,46,62,52,46,8,10,13,12,6,63,62,57,72,62,67,46,39,67,72,70,63,76,74,67,74,58,56,64,67,68,62,65,212783,64,68,67,65,68,62,65,62,63,68,LB RM RB ,64,68,67,65,68,62,65,62,63,68,62
