ID,Fullname,Name,Age,Photo,Nationality,Flag,Overall,Potential,Club,Club Logo,Value,Wage,Special,Acceleration,Aggression,Agility,Balance,Ball control,Composure,Crossing,Curve,Dribbling,Finishing,Free kick accuracy,GK diving,GK handling,GK kicking,GK positioning,GK reflexes,Heading accuracy,Interceptions,Jumping,Long passing,Long shots,Marking,Penalties,Positioning,Reactions,Short passing,Shot power,Sliding tackle,Sprint speed,Stamina,Standing tackle,Strength,Vision,Volleys,CAM,CB,CDM,CF,CM,ID,LAM,LB,LCB,LCM,LDM,LF,LM,LS,LW,LWB,Preferred Positions,RAM,RB,RCB,RCM,RDM,RF,RM,RS,RW,RWB,ST
50542,Jermain DEFOE,J. Defoe,34,https://cdn.sofifa.org/48/18/players/50542.png,England,https://cdn.sofifa.org/flags/14.png,80,80,Bournemouth,https://cdn.sofifa.org/24/18/teams/1943.png,€8M,€87K,1880,77,63,83,88,77,84,54,63,78,87,68,7,14,8,10,13,66,19,75,43,80,24,74,87,81,68,88,11,72,72,20,61,67,82,75,42,48,78,65,50542,75,47,42,65,48,78,73,79,76,50,ST ,75,47,42,65,48,78,73,79,76,50,79
54050,Wayne ROONEY,W. Rooney,31,https://cdn.sofifa.org/48/18/players/54050.png,England,https://cdn.sofifa.org/flags/14.png,81,81,Everton,https://cdn.sofifa.org/24/18/teams/7.png,€15.5M,€120K,2127,67,81,71,77,80,88,78,84,73,80,81,10,11,13,8,7,75,54,76,82,79,48,83,79,83,81,86,37,68,78,51,83,80,83,78,63,68,78,77,54050,78,63,63,77,68,78,77,79,77,66,ST CAM ,78,63,63,77,68,78,77,79,77,66,79
164859,Theo WALCOTT,T. Walcott,28,https://cdn.sofifa.org/48/18/players/164859.png,England,https://cdn.sofifa.org/flags/14.png,80,80,Arsenal,https://cdn.sofifa.org/24/18/teams/1.png,€15M,€125K,1976,92,65,83,79,78,78,74,76,81,77,74,11,8,9,9,8,58,35,66,65,69,33,74,80,77,74,76,36,91,73,39,62,72,72,77,50,57,78,70,164859,77,59,50,70,57,78,78,76,79,62,ST LM RM ,77,59,50,70,57,78,78,76,79,62,76
186146,Danny WELBECK,D. Welbeck,26,https://cdn.sofifa.org/48/18/players/186146.png,England,https://cdn.sofifa.org/flags/14.png,80,81,Arsenal,https://cdn.sofifa.org/24/18/teams/1.png,€17.5M,€130K,1972,83,75,82,63,78,76,69,61,80,75,62,9,10,6,12,16,75,32,80,64,69,28,70,80,78,76,77,33,84,81,38,78,72,76,77,53,58,78,71,186146,77,58,53,71,58,78,77,78,77,60,ST ,77,58,53,71,58,78,77,78,77,60,78
169595,Danny ROSE,D. Rose,26,https://cdn.sofifa.org/48/18/players/169595.png,England,https://cdn.sofifa.org/flags/14.png,82,83,Tottenham Hotspur,https://cdn.sofifa.org/24/18/teams/18.png,€21M,€99K,2117,80,87,73,76,76,73,81,64,79,57,57,10,11,8,13,13,62,81,75,66,69,82,57,68,82,76,72,85,81,81,84,74,73,64,74,79,79,73,75,169595,74,81,79,75,79,73,76,70,75,81,LWB LB ,74,81,79,75,79,73,76,70,75,81,70
150724,Joe HART,J. Hart,30,https://cdn.sofifa.org/48/18/players/150724.png,England,https://cdn.sofifa.org/flags/14.png,82,82,West Ham United,https://cdn.sofifa.org/24/18/teams/19.png,€14M,€110K,1318,59,28,50,32,20,68,14,17,23,14,13,83,78,75,81,83,10,25,72,35,19,14,48,14,77,32,65,13,60,28,14,61,42,19,,,,,,150724,,,,,,,,,,,GK ,,,,,,,,,,,
53914,Phil JAGIELKA,P. Jagielka,34,https://cdn.sofifa.org/48/18/players/53914.png,England,https://cdn.sofifa.org/flags/14.png,80,80,Everton,https://cdn.sofifa.org/24/18/teams/7.png,€4.5M,€110K,1918,47,79,51,62,62,76,55,55,49,30,31,32,33,38,32,34,79,81,83,66,54,81,68,51,74,71,69,81,52,71,84,80,39,44,55,79,74,54,62,53914,55,72,79,62,74,54,56,57,53,70,CB ,55,72,79,62,74,54,56,57,53,70,57
164468,Gary CAHILL,G. Cahill,31,https://cdn.sofifa.org/48/18/players/164468.png,England,https://cdn.sofifa.org/flags/14.png,84,84,Chelsea,https://cdn.sofifa.org/24/18/teams/5.png,€21M,€160K,1839,62,84,62,51,63,75,28,48,58,56,27,5,12,9,5,12,86,83,82,61,66,84,53,45,85,65,63,84,63,69,85,80,56,47,61,82,75,61,65,164468,61,73,82,65,75,61,58,64,58,69,CB ,61,73,82,65,75,61,58,64,58,69,64
186132,Danny DRINKWATER,D. Drinkwater,27,https://cdn.sofifa.org/48/18/players/186132.png,England,https://cdn.sofifa.org/flags/14.png,79,80,Chelsea,https://cdn.sofifa.org/24/18/teams/5.png,€14M,€125K,2069,67,74,70,78,79,77,64,72,76,60,69,12,6,8,9,12,61,76,56,82,72,70,53,74,79,80,77,76,69,85,79,76,78,70,76,74,78,74,78,186132,76,75,74,78,78,74,75,71,73,75,CM ,76,75,74,78,78,74,75,71,73,75,71
186345,Kieran TRIPPIER,K. Trippier,26,https://cdn.sofifa.org/48/18/players/186345.png,England,https://cdn.sofifa.org/flags/14.png,78,79,Tottenham Hotspur,https://cdn.sofifa.org/24/18/teams/18.png,€10M,€76K,2054,78,70,77,76,75,71,87,80,75,45,68,11,14,8,11,10,70,74,74,76,66,77,39,60,72,73,77,78,77,87,76,71,78,44,71,74,75,69,74,186345,71,77,74,74,75,69,74,66,72,78,RWB RB ,71,77,74,74,75,69,74,66,72,78,66
