ID,Fullname,Name,Age,Photo,Nationality,Flag,Overall,Potential,Club,Club Logo,Value,Wage,Special,Acceleration,Aggression,Agility,Balance,Ball control,Composure,Crossing,Curve,Dribbling,Finishing,Free kick accuracy,GK diving,GK handling,GK kicking,GK positioning,GK reflexes,Heading accuracy,Interceptions,Jumping,Long passing,Long shots,Marking,Penalties,Positioning,Reactions,Short passing,Shot power,Sliding tackle,Sprint speed,Stamina,Standing tackle,Strength,Vision,Volleys,CAM,CB,CDM,CF,CM,ID,LAM,LB,LCB,LCM,LDM,LF,LM,LS,LW,LWB,Preferred Positions,RAM,RB,RCB,RCM,RDM,RF,RM,RS,RW,RWB,ST
52091,Patrice EVRA,P. Evra,36,https://cdn.sofifa.org/48/18/players/52091.png,France,https://cdn.sofifa.org/flags/18.png,80,80,Olympique de Marseille,https://cdn.sofifa.org/24/18/teams/219.png,€1.7M,€25K,2023,73,83,78,87,75,80,78,76,74,33,51,3,5,5,5,3,80,85,86,69,63,78,57,68,78,75,72,82,70,68,79,69,62,53,69,79,76,68,71,52091,69,78,79,71,76,68,70,65,69,77,LB ,69,78,79,71,76,68,70,65,69,77,65
163705,Steve MANDANDA,S. Mandanda,32,https://cdn.sofifa.org/48/18/players/163705.png,France,https://cdn.sofifa.org/flags/18.png,82,82,Olympique de Marseille,https://cdn.sofifa.org/24/18/teams/219.png,€12.5M,€31K,1217,53,37,52,36,17,63,14,13,15,13,12,86,78,77,77,85,13,23,74,28,11,10,11,11,79,37,24,13,43,31,15,61,55,13,,,,,,163705,,,,,,,,,,,GK ,,,,,,,,,,,
201512,Bacary SAGNA,P. Sagna,26,https://cdn.sofifa.org/48/18/players/201512.png,France,https://cdn.sofifa.org/flags/18.png,69,69,Moreirense FC,https://cdn.sofifa.org/24/18/teams/1900.png,€900K,€4K,1783,76,65,72,72,64,64,72,67,62,38,58,6,9,10,6,7,55,67,76,62,41,67,48,56,63,68,56,69,80,69,68,68,48,38,60,66,66,59,61,201512,60,68,66,61,66,59,64,57,62,69,RB ,60,68,66,61,66,59,64,57,62,69,57
191210,Sebastien CORCHIA,S. Corchia,26,https://cdn.sofifa.org/48/18/players/191210.png,France,https://cdn.sofifa.org/flags/18.png,79,80,Sevilla FC,https://cdn.sofifa.org/24/18/teams/481.png,€12M,€22K,2114,77,76,76,78,77,70,79,78,75,58,80,6,8,7,10,15,70,78,68,74,72,78,67,72,76,76,75,79,77,79,78,67,70,58,73,76,76,73,75,191210,73,78,76,75,76,73,75,71,74,78,RB ,73,78,76,75,76,73,75,71,74,78,71
167948,Hugo LLORIS,H. Lloris,30,https://cdn.sofifa.org/48/18/players/167948.png,France,https://cdn.sofifa.org/flags/18.png,88,88,Tottenham Hotspur,https://cdn.sofifa.org/24/18/teams/18.png,€38M,€165K,1318,65,31,55,54,34,61,13,11,10,10,10,88,86,68,82,90,10,27,74,50,14,12,40,10,85,50,23,18,63,41,10,43,30,11,,,,,,167948,,,,,,,,,,,GK ,,,,,,,,,,,
183280,Adil RAMI,A. Rami,31,https://cdn.sofifa.org/48/18/players/183280.png,France,https://cdn.sofifa.org/flags/18.png,81,81,Olympique de Marseille,https://cdn.sofifa.org/24/18/teams/219.png,€12M,€35K,1725,49,83,57,50,64,77,28,43,53,45,55,5,3,5,5,3,79,83,76,68,58,80,48,24,75,66,83,78,57,63,81,91,22,45,52,79,73,53,58,183280,52,68,79,58,73,53,51,59,50,66,CB ,52,68,79,58,73,53,51,59,50,66,59
153244,Andre Pierre GIGNAC,A. Gignac,31,https://cdn.sofifa.org/48/18/players/153244.png,France,https://cdn.sofifa.org/flags/18.png,81,81,Tigres U.A.N.L.,https://cdn.sofifa.org/24/18/teams/1970.png,€16M,€84K,2001,74,80,66,59,73,80,72,77,75,86,70,10,15,14,11,11,78,51,70,68,80,22,78,81,76,72,84,23,71,72,41,89,72,80,75,55,59,77,71,153244,75,56,55,71,59,77,74,79,75,59,ST ,75,56,55,71,59,77,74,79,75,59,79
183394,Moussa SISSOKO,M. Sissoko,27,https://cdn.sofifa.org/48/18/players/183394.png,France,https://cdn.sofifa.org/flags/18.png,77,77,Tottenham Hotspur,https://cdn.sofifa.org/24/18/teams/18.png,€9.5M,€84K,2140,75,78,70,59,76,73,76,75,78,72,74,14,8,11,10,8,70,76,80,74,71,69,68,76,77,79,85,71,78,87,72,88,68,67,75,75,76,76,76,183394,75,75,75,76,76,76,76,76,75,76,CAM RM ,75,75,75,76,76,76,76,76,75,76,76
204884,Benjamin MENDY,B. Mendy,22,https://cdn.sofifa.org/48/18/players/204884.png,France,https://cdn.sofifa.org/flags/18.png,78,86,Manchester City,https://cdn.sofifa.org/24/18/teams/10.png,€13M,€86K,1935,79,75,68,71,76,70,82,77,76,33,29,7,7,9,15,9,64,76,69,68,63,73,40,70,76,76,68,78,84,82,76,81,58,20,69,75,75,68,71,204884,69,77,75,71,75,68,73,65,71,78,LWB LB ,69,77,75,71,75,68,73,65,71,78,65
204311,Kurt ZOUMA,K. Zouma,22,https://cdn.sofifa.org/48/18/players/204311.png,France,https://cdn.sofifa.org/flags/18.png,79,86,Stoke City,https://cdn.sofifa.org/24/18/teams/1806.png,€15M,€96K,1861,63,83,45,52,66,71,54,59,48,47,60,14,14,7,9,15,77,76,87,56,49,78,61,53,74,62,56,78,71,72,83,88,57,47,58,78,72,58,62,204311,58,72,78,62,72,58,59,61,57,70,RB CB ,58,72,78,62,72,58,59,61,57,70,61
