ID,Fullname,Name,Age,Photo,Nationality,Flag,Overall,Potential,Club,Club Logo,Value,Wage,Special,Acceleration,Aggression,Agility,Balance,Ball control,Composure,Crossing,Curve,Dribbling,Finishing,Free kick accuracy,GK diving,GK handling,GK kicking,GK positioning,GK reflexes,Heading accuracy,Interceptions,Jumping,Long passing,Long shots,Marking,Penalties,Positioning,Reactions,Short passing,Shot power,Sliding tackle,Sprint speed,Stamina,Standing tackle,Strength,Vision,Volleys,CAM,CB,CDM,CF,CM,ID,LAM,LB,LCB,LCM,LDM,LF,LM,LS,LW,LWB,Preferred Positions,RAM,RB,RCB,RCM,RDM,RF,RM,RS,RW,RWB,ST
179846,Sami KHEDIRA,S. Khedira,30,https://cdn.sofifa.org/48/18/players/179846.png,Germany,https://cdn.sofifa.org/flags/21.png,84,84,Juventus,https://cdn.sofifa.org/24/18/teams/45.png,€29M,€160K,2157,60,82,59,52,81,84,72,68,78,69,68,11,9,5,15,8,76,86,68,81,78,76,69,80,86,85,82,78,68,78,82,89,82,76,79,81,82,78,82,179846,79,78,81,82,82,78,77,77,76,79,CDM CM ,79,78,81,82,82,78,77,77,76,79,77
150418,Mario GOMEZ,M. GMao mez,31,https://cdn.sofifa.org/48/18/players/150418.png,Germany,https://cdn.sofifa.org/flags/21.png,82,82,VfL Wolfsburg,https://cdn.sofifa.org/24/18/teams/175.png,€20M,€85K,1832,68,72,63,53,75,85,62,68,74,84,36,8,8,9,7,14,83,20,76,50,78,20,74,84,81,69,82,20,75,69,24,86,62,78,72,48,50,76,65,150418,72,49,48,65,50,76,72,80,74,52,ST ,72,49,48,65,50,76,72,80,74,52,80
167495,Manuel NEUER,M. Neuer,31,https://cdn.sofifa.org/48/18/players/167495.png,Germany,https://cdn.sofifa.org/flags/21.png,92,92,FC Bayern Munich,https://cdn.sofifa.org/24/18/teams/21.png,€61M,€230K,1493,58,29,52,35,48,70,15,14,30,13,11,91,90,95,91,89,25,30,78,59,16,10,47,12,85,55,25,11,61,44,10,83,70,11,,,,,,167495,,,,,,,,,,,GK ,,,,,,,,,,,
188943,Kevin TRAPP,K. Trapp,26,https://cdn.sofifa.org/48/18/players/188943.png,Germany,https://cdn.sofifa.org/flags/21.png,82,84,Paris Saint-Germain,https://cdn.sofifa.org/24/18/teams/73.png,€18.5M,€71K,1194,45,30,42,37,24,48,13,14,10,13,12,80,78,79,84,84,11,22,75,12,13,10,17,12,79,25,22,10,52,45,14,73,45,12,,,,,,188943,,,,,,,,,,,GK ,,,,,,,,,,,
182521,Toni KROOS,T. Kroos,27,https://cdn.sofifa.org/48/18/players/182521.png,Germany,https://cdn.sofifa.org/flags/21.png,90,90,Real Madrid CF,https://cdn.sofifa.org/24/18/teams/243.png,€79M,€340K,2165,60,60,71,69,89,85,85,85,79,76,84,10,11,13,7,10,54,85,32,93,90,63,73,79,86,90,87,69,52,77,82,74,88,82,83,72,82,81,87,182521,83,76,72,87,82,81,81,77,80,78,CDM CM ,83,76,72,87,82,81,81,77,80,78,77
189251,Sebastian RUDY,S. Rudy,27,https://cdn.sofifa.org/48/18/players/189251.png,Germany,https://cdn.sofifa.org/flags/21.png,81,82,FC Bayern Munich,https://cdn.sofifa.org/24/18/teams/21.png,€20M,€105K,2119,74,58,79,73,84,81,73,82,78,63,79,13,8,13,12,10,59,84,65,81,72,72,71,72,84,84,71,74,68,79,73,65,80,66,78,72,78,76,80,189251,78,76,72,80,78,76,77,72,76,78,RM RB CDM CM ,78,76,72,80,78,76,77,72,76,78,72
183907,Jerome BOATENG,J. Boateng,28,https://cdn.sofifa.org/48/18/players/183907.png,Germany,https://cdn.sofifa.org/flags/21.png,88,88,FC Bayern Munich,https://cdn.sofifa.org/24/18/teams/21.png,€48M,€215K,1989,72,82,58,53,71,86,69,56,67,34,31,7,12,15,6,5,85,83,75,80,58,88,46,47,82,75,79,90,78,74,91,91,76,53,67,85,82,66,73,183907,67,81,85,73,82,66,69,65,65,79,CB ,67,81,85,73,82,66,69,65,65,79,65
192563,Bernd LENO,B. Leno,25,https://cdn.sofifa.org/48/18/players/192563.png,Germany,https://cdn.sofifa.org/flags/21.png,85,88,Bayer 04 Leverkusen,https://cdn.sofifa.org/24/18/teams/32.png,€34M,€61K,1247,46,28,52,44,22,62,9,9,16,9,8,85,84,74,85,83,13,22,73,33,14,8,23,7,81,37,23,18,52,43,15,68,53,10,,,,,,192563,,,,,,,,,,,GK ,,,,,,,,,,,
192448,Marc-Andre TER STEGEN,M. ter Stegen,25,https://cdn.sofifa.org/48/18/players/192448.png,Germany,https://cdn.sofifa.org/flags/21.png,85,89,FC Barcelona,https://cdn.sofifa.org/24/18/teams/241.png,€35.5M,€155K,1274,38,43,37,43,18,62,15,18,17,14,12,84,83,87,81,86,11,22,79,38,10,10,25,11,82,30,22,10,50,35,13,79,57,14,,,,,,192448,,,,,,,,,,,GK ,,,,,,,,,,,
192227,Shkodran MUSTAFI,S. Mustafi,25,https://cdn.sofifa.org/48/18/players/192227.png,Germany,https://cdn.sofifa.org/flags/21.png,84,86,Arsenal,https://cdn.sofifa.org/24/18/teams/1.png,€31.5M,€145K,1942,64,79,66,69,70,74,50,55,53,58,47,11,9,15,10,6,81,85,84,69,52,82,54,50,82,77,66,85,69,74,83,81,55,51,64,82,78,63,68,192227,64,76,82,68,78,63,63,65,62,74,CB ,64,76,82,68,78,63,63,65,62,74,65
178603,Mats HUMMELS,M. Hummels,28,https://cdn.sofifa.org/48/18/players/178603.png,Germany,https://cdn.sofifa.org/flags/21.png,88,88,FC Bayern Munich,https://cdn.sofifa.org/24/18/teams/21.png,€48M,€215K,2038,62,66,64,58,77,91,64,65,68,55,53,15,6,10,5,6,89,89,68,85,51,85,68,56,85,80,71,90,65,66,92,85,79,60,71,85,83,69,77,178603,71,80,85,77,83,69,70,69,68,78,CB ,71,80,85,77,83,69,70,69,68,78,69
184069,Sandro WAGNER,S. Wagner,29,https://cdn.sofifa.org/48/18/players/184069.png,Germany,https://cdn.sofifa.org/flags/21.png,79,79,TSG 1899 Hoffenheim,https://cdn.sofifa.org/24/18/teams/10029.png,€12.5M,€52K,1730,53,88,53,50,74,72,49,55,65,83,54,6,15,8,7,12,88,19,61,42,72,15,64,83,79,54,85,12,65,68,39,90,47,75,65,49,48,71,58,184069,65,45,49,58,48,71,64,78,66,47,ST ,65,45,49,58,48,71,64,78,66,47,78
200610,Kevin VOLLAND,K. Volland,24,https://cdn.sofifa.org/48/18/players/200610.png,Germany,https://cdn.sofifa.org/flags/21.png,80,83,Bayer 04 Leverkusen,https://cdn.sofifa.org/24/18/teams/32.png,€19M,€59K,2065,78,75,73,84,81,80,78,79,79,80,76,8,7,9,7,12,67,44,77,67,81,17,72,80,81,81,85,33,77,88,50,82,81,76,80,55,63,80,76,200610,80,61,55,76,63,80,79,79,80,64,LW RW ST ,80,61,55,76,63,80,79,79,80,64,79
192448,Emre CAN,M. ter Stegen,25,https://cdn.sofifa.org/48/18/players/192448.png,Germany,https://cdn.sofifa.org/flags/21.png,85,89,FC Barcelona,https://cdn.sofifa.org/24/18/teams/241.png,€35.5M,€155K,1274,38,43,37,43,18,62,15,18,17,14,12,84,83,87,81,86,11,22,79,38,10,10,25,11,82,30,22,10,50,35,13,79,57,14,,,,,,192448,,,,,,,,,,,GK ,,,,,,,,,,,
186942,Ilkay GUNDOGAN,I. GMei ndoHuo an,26,https://cdn.sofifa.org/48/18/players/186942.png,Germany,https://cdn.sofifa.org/flags/21.png,85,87,Manchester City,https://cdn.sofifa.org/24/18/teams/10.png,€46M,€190K,2148,73,68,83,81,88,86,74,81,87,72,74,11,14,5,5,13,49,79,62,83,74,57,76,79,87,88,77,64,70,71,67,74,87,75,84,69,77,81,83,186942,84,73,69,83,77,81,81,76,81,75,CDM CM ,84,73,69,83,77,81,81,76,81,75,76
202166,Julian DRAXLER,J. Draxler,23,https://cdn.sofifa.org/48/18/players/202166.png,Germany,https://cdn.sofifa.org/flags/21.png,84,87,Paris Saint-Germain,https://cdn.sofifa.org/24/18/teams/73.png,€39.5M,€120K,2017,76,48,81,75,87,81,83,78,88,78,75,11,13,5,13,8,65,36,76,77,81,25,63,79,83,84,86,26,79,68,35,67,84,84,83,49,59,83,77,202166,83,57,49,77,59,83,82,80,83,62,LM CAM LW ,83,57,49,77,59,83,82,80,83,62,80
207862,Matthias GINTER,M. Ginter,23,https://cdn.sofifa.org/48/18/players/207862.png,Germany,https://cdn.sofifa.org/flags/21.png,78,82,Borussia Mönchengladbach,https://cdn.sofifa.org/24/18/teams/23.png,€11.5M,€30K,1923,54,68,56,49,72,68,73,58,61,51,51,12,10,6,8,10,83,78,65,74,56,76,67,55,76,74,78,77,72,72,79,81,68,53,66,77,75,65,70,207862,66,75,77,70,75,65,67,66,65,74,CDM RB CB ,66,75,77,70,75,65,67,66,65,74,66
209658,Leon GORETZKA,L. Goretzka,22,https://cdn.sofifa.org/48/18/players/209658.png,Germany,https://cdn.sofifa.org/flags/21.png,82,88,FC Schalke 04,https://cdn.sofifa.org/24/18/teams/34.png,€30M,€46K,2198,83,84,76,72,82,78,73,76,80,71,72,13,8,15,11,9,74,82,67,78,78,73,60,77,83,83,76,78,85,86,78,68,79,68,80,77,80,79,81,209658,80,80,77,81,80,79,80,77,79,80,CDM CAM CM ,80,80,77,81,80,79,80,77,79,80,77
212150,Maximilian MEYER,M. Meyer,21,https://cdn.sofifa.org/48/18/players/212150.png,Germany,https://cdn.sofifa.org/flags/21.png,79,86,FC Schalke 04,https://cdn.sofifa.org/24/18/teams/34.png,€18M,€38K,1853,79,61,91,90,82,78,74,74,84,68,66,8,12,13,11,14,37,41,59,72,61,32,60,74,78,81,45,27,67,78,36,37,81,60,78,45,59,75,74,212150,78,56,45,74,59,75,78,66,77,61,LW CF CAM ,78,56,45,74,59,75,78,66,77,61,66
212194,Julian BRANDT,J. Brandt,21,https://cdn.sofifa.org/48/18/players/212194.png,Germany,https://cdn.sofifa.org/flags/21.png,80,88,Bayer 04 Leverkusen,https://cdn.sofifa.org/24/18/teams/32.png,€22M,€49K,1847,79,42,81,75,83,59,74,69,87,74,52,11,16,11,8,9,42,29,63,68,73,25,54,77,78,81,77,24,83,68,20,65,83,66,80,42,54,79,73,212194,80,52,42,73,54,79,79,74,80,58,CAM RM LM ,80,52,42,73,54,79,79,74,80,58,74
212622,Joshua KIMMICH,J. Kimmich,22,https://cdn.sofifa.org/48/18/players/212622.png,Germany,https://cdn.sofifa.org/flags/21.png,81,87,FC Bayern Munich,https://cdn.sofifa.org/24/18/teams/21.png,€20.5M,€81K,2158,76,74,83,83,83,78,88,81,77,66,61,8,15,7,15,15,69,79,79,80,67,77,44,76,83,85,75,79,65,85,78,65,79,61,78,76,80,77,80,212622,78,80,76,80,80,77,79,74,78,81,CDM CB CM RB ,78,80,76,80,80,77,79,74,78,81,74
222028,Julian WEIGL,J. Weigl,21,https://cdn.sofifa.org/48/18/players/222028.png,Germany,https://cdn.sofifa.org/flags/21.png,81,87,Borussia Dortmund,https://cdn.sofifa.org/24/18/teams/22.png,€21M,€46K,1940,74,64,77,65,81,80,58,58,73,47,46,6,14,16,11,7,63,86,64,83,51,67,50,55,84,89,50,76,67,82,82,63,79,52,74,74,80,69,79,222028,74,77,74,79,80,69,73,63,70,77,CM CDM ,74,77,74,79,80,69,73,63,70,77,63
212245,Yannick GERHARDT,Y. Gerhardt,23,https://cdn.sofifa.org/48/18/players/212245.png,Germany,https://cdn.sofifa.org/flags/21.png,75,81,VfL Wolfsburg,https://cdn.sofifa.org/24/18/teams/175.png,€7.5M,€40K,2003,69,74,68,66,78,67,74,65,74,71,55,13,13,7,11,6,59,75,64,74,64,67,50,71,77,80,75,74,69,78,73,75,77,57,75,72,75,74,76,212245,75,74,72,76,75,74,75,72,74,75,CM LM LB ,75,74,72,76,75,74,75,72,74,75,72
206113,Serge GNABRY,S. Gnabry,21,https://cdn.sofifa.org/48/18/players/206113.png,Germany,https://cdn.sofifa.org/flags/21.png,79,87,TSG 1899 Hoffenheim,https://cdn.sofifa.org/24/18/teams/10029.png,€18.5M,€81K,1980,92,63,85,88,79,71,72,59,86,74,62,14,10,10,9,7,46,38,64,66,74,41,69,75,76,76,82,45,88,68,46,68,68,80,77,53,60,78,71,206113,77,61,53,71,60,78,78,75,79,64,RM LM ,77,61,53,71,60,78,78,75,79,64,75
