ID,Fullname,Name,Age,Photo,Nationality,Flag,Overall,Potential,Club,Club Logo,Value,Wage,Special,Acceleration,Aggression,Agility,Balance,Ball control,Composure,Crossing,Curve,Dribbling,Finishing,Free kick accuracy,GK diving,GK handling,GK kicking,GK positioning,GK reflexes,Heading accuracy,Interceptions,Jumping,Long passing,Long shots,Marking,Penalties,Positioning,Reactions,Short passing,Shot power,Sliding tackle,Sprint speed,Stamina,Standing tackle,Strength,Vision,Volleys,CAM,CB,CDM,CF,CM,ID,LAM,LB,LCB,LCM,LDM,LF,LM,LS,LW,LWB,Preferred Positions,RAM,RB,RCB,RCM,RDM,RF,RM,RS,RW,RWB,ST
160770,Olafur SKULASON,O. SkMei lason,34,https://cdn.sofifa.org/48/18/players/160770.png,Iceland,https://cdn.sofifa.org/flags/24.png,70,70,Kardemir Karabükspor,https://cdn.sofifa.org/24/18/teams/112122.png,€550K,€10K,1875,65,80,59,62,66,72,58,46,58,48,57,7,6,6,10,16,67,69,81,67,66,64,60,65,71,68,70,64,65,85,69,75,66,59,64,69,69,64,67,160770,64,68,69,67,69,64,64,63,62,67,CM CDM ,64,68,69,67,69,64,64,63,62,67,63
195586,Kjartan FINNBOGASON,A. Finnbogason,28,https://cdn.sofifa.org/48/18/players/195586.png,Iceland,https://cdn.sofifa.org/flags/24.png,76,76,FC Augsburg,https://cdn.sofifa.org/24/18/teams/100409.png,€8M,€33K,1853,67,64,67,71,72,83,37,56,75,80,51,6,15,16,15,11,62,20,66,67,77,28,85,85,80,71,76,34,68,73,32,75,72,79,74,47,54,75,69,195586,74,49,47,69,54,75,70,75,71,51,ST ,74,49,47,69,54,75,70,75,71,51,75
175789,Kari ARNASON,B. Bjarnason,29,https://cdn.sofifa.org/48/18/players/175789.png,Iceland,https://cdn.sofifa.org/flags/24.png,73,73,Aston Villa,https://cdn.sofifa.org/24/18/teams/2.png,€3.9M,€37K,1922,72,71,72,77,76,75,70,55,67,71,34,13,6,9,12,10,76,65,81,70,70,38,39,77,70,71,69,48,74,87,64,76,69,63,71,64,67,72,72,175789,71,66,64,72,67,72,72,72,72,67,RM CM CAM LM ,71,66,64,72,67,72,72,72,72,67,72
184484,Ragnar SIGURDSSON,G. SigurMou sson,27,https://cdn.sofifa.org/48/18/players/184484.png,Iceland,https://cdn.sofifa.org/flags/24.png,82,82,Everton,https://cdn.sofifa.org/24/18/teams/7.png,€23M,€130K,2096,65,57,72,61,84,81,86,87,79,81,89,13,8,10,15,12,60,37,70,78,84,55,80,80,78,84,82,55,66,86,56,67,84,75,80,59,67,79,78,184484,80,66,59,78,67,79,80,77,80,69,LM CAM ,80,66,59,78,67,79,80,77,80,69,77
183122,Birkir SAEVARSSON,B. SMang varsson,32,https://cdn.sofifa.org/48/18/players/183122.png,Iceland,https://cdn.sofifa.org/flags/24.png,66,66,Hammarby IF,https://cdn.sofifa.org/24/18/teams/708.png,€350K,€2K,1739,73,66,64,58,60,67,62,58,51,41,36,6,12,13,14,13,67,62,74,55,54,66,49,48,65,58,56,60,80,75,66,73,58,46,57,66,63,57,58,183122,57,65,66,58,63,57,59,57,58,64,CB RB ,57,65,66,58,63,57,59,57,58,64,57
133249,Emil HALLFREDSSON,E. HallfreMou sson,33,https://cdn.sofifa.org/48/18/players/133249.png,Iceland,https://cdn.sofifa.org/flags/24.png,75,75,Udinese,https://cdn.sofifa.org/24/18/teams/55.png,€3.9M,€26K,2032,67,76,63,69,77,75,72,74,74,51,72,7,8,13,8,14,66,75,69,77,76,66,69,68,70,79,80,68,67,70,72,77,74,64,72,72,74,71,74,133249,72,71,72,74,74,71,72,68,70,72,CDM CM ,72,71,72,74,74,71,72,68,70,72,68
175789,Elmar BJARNASON,B. Bjarnason,29,https://cdn.sofifa.org/48/18/players/175789.png,Iceland,https://cdn.sofifa.org/flags/24.png,73,73,Aston Villa,https://cdn.sofifa.org/24/18/teams/2.png,€3.9M,€37K,1922,72,71,72,77,76,75,70,55,67,71,34,13,6,9,12,10,76,65,81,70,70,38,39,77,70,71,69,48,74,87,64,76,69,63,71,64,67,72,72,175789,71,66,64,72,67,72,72,72,72,67,RM CM CAM LM ,71,66,64,72,67,72,72,72,72,67,72
191076,Johann GUDMUNDSSON,J. GuMou mundsson,26,https://cdn.sofifa.org/48/18/players/191076.png,Iceland,https://cdn.sofifa.org/flags/24.png,73,74,Burnley,https://cdn.sofifa.org/24/18/teams/1796.png,€4.7M,€48K,1964,80,63,76,77,75,71,74,77,77,68,76,7,6,14,10,8,56,49,79,59,74,45,61,67,69,67,84,49,77,78,50,72,70,70,71,57,60,72,68,191076,71,62,57,68,60,72,72,71,73,64,CAM RM ,71,62,57,68,60,72,72,71,73,64,71
160770,Ari SKULASON,O. SkMei lason,34,https://cdn.sofifa.org/48/18/players/160770.png,Iceland,https://cdn.sofifa.org/flags/24.png,70,70,Kardemir Karabükspor,https://cdn.sofifa.org/24/18/teams/112122.png,€550K,€10K,1875,65,80,59,62,66,72,58,46,58,48,57,7,6,6,10,16,67,69,81,67,66,64,60,65,71,68,70,64,65,85,69,75,66,59,64,69,69,64,67,160770,64,68,69,67,69,64,64,63,62,67,CM CDM ,64,68,69,67,69,64,64,63,62,67,63
175789,Birkir BJARNASON,B. Bjarnason,29,https://cdn.sofifa.org/48/18/players/175789.png,Iceland,https://cdn.sofifa.org/flags/24.png,73,73,Aston Villa,https://cdn.sofifa.org/24/18/teams/2.png,€3.9M,€37K,1922,72,71,72,77,76,75,70,55,67,71,34,13,6,9,12,10,76,65,81,70,70,38,39,77,70,71,69,48,74,87,64,76,69,63,71,64,67,72,72,175789,71,66,64,72,67,72,72,72,72,67,RM CM CAM LM ,71,66,64,72,67,72,72,72,72,67,72
184484,Gylfi SIGURDSSON,G. SigurMou sson,27,https://cdn.sofifa.org/48/18/players/184484.png,Iceland,https://cdn.sofifa.org/flags/24.png,82,82,Everton,https://cdn.sofifa.org/24/18/teams/7.png,€23M,€130K,2096,65,57,72,61,84,81,86,87,79,81,89,13,8,10,15,12,60,37,70,78,84,55,80,80,78,84,82,55,66,86,56,67,84,75,80,59,67,79,78,184484,80,66,59,78,67,79,80,77,80,69,LM CAM ,80,66,59,78,67,79,80,77,80,69,77
173667,Rurik GISLASON,R. GLiu slason,29,https://cdn.sofifa.org/48/18/players/173667.png,Iceland,https://cdn.sofifa.org/flags/24.png,68,68,1. FC Nürnberg,https://cdn.sofifa.org/24/18/teams/171.png,€875K,€9K,1788,75,75,67,64,62,70,66,65,68,66,59,10,7,14,14,6,56,40,71,59,71,35,52,69,66,67,72,26,78,71,40,76,58,63,66,51,54,67,62,173667,66,53,51,62,54,67,67,67,67,56,LM RM ,66,53,51,62,54,67,67,67,67,56,67
189167,Aron GUNNARSSON,A. Gunnarsson,28,https://cdn.sofifa.org/48/18/players/189167.png,Iceland,https://cdn.sofifa.org/flags/24.png,70,70,Cardiff City,https://cdn.sofifa.org/24/18/teams/1961.png,€1.8M,€21K,1938,64,83,76,74,72,65,64,56,66,57,59,11,6,16,10,9,68,72,75,68,66,58,52,62,71,71,70,69,65,78,69,75,65,61,67,70,70,66,69,189167,67,69,70,69,70,66,67,66,66,69,CDM CM ,67,69,70,69,70,66,67,66,66,69,66
189721,Arnor SMARASON,A. SmMan rason,28,https://cdn.sofifa.org/48/18/players/189721.png,Iceland,https://cdn.sofifa.org/flags/24.png,66,66,Hammarby IF,https://cdn.sofifa.org/24/18/teams/708.png,€650K,€2K,1861,62,68,66,72,66,62,62,65,62,63,62,16,14,7,6,15,55,55,75,61,68,51,68,64,67,64,74,49,68,83,53,76,61,63,64,59,61,65,64,189721,64,60,59,64,61,65,65,65,64,62,ST RM LM ,64,60,59,64,61,65,65,65,64,62,65
206379,Hannes HALLDORSSON,H. HalldMao rsson,33,https://cdn.sofifa.org/48/18/players/206379.png,Iceland,https://cdn.sofifa.org/flags/24.png,67,67,Randers FC,https://cdn.sofifa.org/24/18/teams/1786.png,€375K,€7K,1079,25,21,25,59,16,50,18,11,10,8,13,69,62,61,68,68,9,13,66,26,12,11,41,9,66,36,48,15,48,31,18,65,22,9,,,,,,206379,,,,,,,,,,,GK ,,,,,,,,,,,
190461,Bjorn SIGURDARSON,B. SigurMou arson,25,https://cdn.sofifa.org/48/18/players/190461.png,Iceland,https://cdn.sofifa.org/flags/24.png,73,76,Molde FK,https://cdn.sofifa.org/24/18/teams/417.png,€5M,€9K,1900,78,73,83,76,72,76,66,63,73,70,48,9,12,10,15,16,68,42,78,44,66,42,67,73,74,68,68,24,79,90,39,85,64,65,70,55,57,71,65,190461,70,57,55,65,57,71,71,72,72,60,RM ST ,70,57,55,65,57,71,71,72,72,60,72
195586,Alfred FINNBOGASON,A. Finnbogason,28,https://cdn.sofifa.org/48/18/players/195586.png,Iceland,https://cdn.sofifa.org/flags/24.png,76,76,FC Augsburg,https://cdn.sofifa.org/24/18/teams/100409.png,€8M,€33K,1853,67,64,67,71,72,83,37,56,75,80,51,6,15,16,15,11,62,20,66,67,77,28,85,85,80,71,76,34,68,73,32,75,72,79,74,47,54,75,69,195586,74,49,47,69,54,75,70,75,71,51,ST ,74,49,47,69,54,75,70,75,71,51,75
213106,Runar SIGURJONSSON,R. SigurjMao nsson,27,https://cdn.sofifa.org/48/18/players/213106.png,Iceland,https://cdn.sofifa.org/flags/24.png,67,69,Grasshopper Club Zürich,https://cdn.sofifa.org/24/18/teams/322.png,€750K,€11K,1900,65,86,60,80,67,64,67,72,64,62,57,10,8,15,9,11,59,62,63,69,67,53,51,65,67,68,74,55,67,91,55,76,66,59,66,63,66,66,67,213106,66,64,63,67,66,66,67,66,66,65,CM CAM CDM ,66,64,63,67,66,66,67,66,66,65,66
216633,Ogmundur KRISTINSSON,O. Kristinsson,28,https://cdn.sofifa.org/48/18/players/216633.png,Iceland,https://cdn.sofifa.org/flags/24.png,62,64,Excelsior,https://cdn.sofifa.org/24/18/teams/1971.png,€250K,€2K,1051,41,25,35,50,16,29,11,12,15,15,14,57,65,54,57,70,11,29,54,23,19,12,21,11,55,26,22,19,48,34,15,53,47,15,,,,,,216633,,,,,,,,,,,GK ,,,,,,,,,,,
226538,Haukur HAUKSSON,H. Hauksson,25,https://cdn.sofifa.org/48/18/players/226538.png,Iceland,https://cdn.sofifa.org/flags/24.png,65,68,AIK Solna,https://cdn.sofifa.org/24/18/teams/433.png,€550K,€3K,1697,68,72,66,57,60,57,64,62,61,35,42,12,12,7,13,7,60,64,63,60,42,61,37,46,60,57,60,60,77,81,62,78,47,44,55,64,63,55,57,226538,55,64,64,57,63,55,59,55,57,64,RWB ,55,64,64,57,63,55,59,55,57,64,55
221422,Sverrir INGASON,S. Ingason,23,https://cdn.sofifa.org/48/18/players/221422.png,Iceland,https://cdn.sofifa.org/flags/24.png,72,77,FC Rostov,https://cdn.sofifa.org/24/18/teams/110231.png,€3.5M,€18K,1716,63,73,58,58,60,66,45,48,47,43,46,13,9,10,9,9,66,74,80,57,60,71,50,54,68,56,61,73,59,68,72,77,49,30,55,71,66,55,58,221422,55,66,71,58,66,55,55,57,54,64,RB CB ,55,66,71,58,66,55,55,57,54,64,57
213106,Ingvar JONSSON,R. SigurjMao nsson,27,https://cdn.sofifa.org/48/18/players/213106.png,Iceland,https://cdn.sofifa.org/flags/24.png,67,69,Grasshopper Club Zürich,https://cdn.sofifa.org/24/18/teams/322.png,€750K,€11K,1900,65,86,60,80,67,64,67,72,64,62,57,10,8,15,9,11,59,62,63,69,67,53,51,65,67,68,74,55,67,91,55,76,66,59,66,63,66,66,67,213106,66,64,63,67,66,66,67,66,66,65,CM CAM CDM ,66,64,63,67,66,66,67,66,66,65,66
212992,Jon BODVARSSON,J. BMei Mou varsson,25,https://cdn.sofifa.org/48/18/players/212992.png,Iceland,https://cdn.sofifa.org/flags/24.png,69,71,Reading,https://cdn.sofifa.org/24/18/teams/1793.png,€1.3M,€21K,1764,74,54,62,60,70,60,59,63,69,66,56,13,12,7,6,14,66,22,70,61,65,37,62,65,66,64,67,34,79,86,30,80,62,63,66,48,52,67,62,212992,66,52,48,62,52,67,68,68,67,55,ST ,66,52,48,62,52,67,68,68,67,55,68
208522,Hordur MAGNUSSON,H. MagnMei sson,24,https://cdn.sofifa.org/48/18/players/208522.png,Iceland,https://cdn.sofifa.org/flags/24.png,68,73,Bristol City,https://cdn.sofifa.org/24/18/teams/1919.png,€1M,€19K,1621,58,64,54,55,57,66,47,62,50,25,60,10,5,5,10,10,66,67,70,55,65,71,39,19,55,54,65,69,67,69,71,76,38,33,48,67,62,47,52,208522,48,63,67,52,62,47,49,48,48,62,LB CB ,48,63,67,52,62,47,49,48,48,62,48
211177,Arnor TRAUSTASON,A. Traustason,24,https://cdn.sofifa.org/48/18/players/211177.png,Iceland,https://cdn.sofifa.org/flags/24.png,70,74,AEK Athens,https://cdn.sofifa.org/24/18/teams/278.png,€2.3M,€1K,1835,80,71,78,73,70,72,70,71,69,62,66,11,12,15,9,8,41,44,47,62,68,42,57,62,70,67,69,53,77,72,48,60,62,69,67,53,59,67,64,211177,67,60,53,64,59,67,69,64,69,62,RM LM ,67,60,53,64,59,67,69,64,69,62,64
221553,Vidar KJARTANSSON,V. Kjartansson,27,https://cdn.sofifa.org/48/18/players/221553.png,Iceland,https://cdn.sofifa.org/flags/24.png,71,72,,https://cdn.sofifa.org/flags/24.png,€ 0,€ 0,1662,68,51,62,73,63,72,35,56,62,76,56,10,10,6,9,16,70,25,67,35,63,14,72,79,76,55,69,16,73,79,29,70,51,66,63,42,44,67,56,221553,63,45,42,56,44,67,62,70,63,46,ST ,63,45,42,56,44,67,62,70,63,46,70
226509,Aron ELIS THRANDARSON,A. Liang rMan ndarson,22,https://cdn.sofifa.org/48/18/players/226509.png,Iceland,https://cdn.sofifa.org/flags/24.png,66,72,Aalesunds FK,https://cdn.sofifa.org/24/18/teams/1755.png,€875K,€2K,1799,74,56,73,77,67,62,58,57,69,58,51,15,10,7,15,10,65,55,74,56,57,52,62,60,60,63,65,52,72,72,49,71,63,54,64,58,59,64,62,226509,64,60,58,62,59,64,65,64,64,61,ST LM ,64,60,58,62,59,64,65,64,64,61,64
227509,Elias MAR OMARSSON,E. Tuo marsson,22,https://cdn.sofifa.org/48/18/players/227509.png,Iceland,https://cdn.sofifa.org/flags/24.png,64,74,IFK Göteborg,https://cdn.sofifa.org/24/18/teams/319.png,€725K,€2K,1617,86,73,75,62,64,51,56,45,64,66,32,9,9,14,8,16,53,24,64,47,54,22,50,64,55,57,62,24,83,79,38,52,56,54,62,42,47,63,56,227509,62,49,42,56,47,63,64,63,64,51,ST ,62,49,42,56,47,63,64,63,64,51,63
