ID,Fullname,Name,Age,Photo,Nationality,Flag,Overall,Potential,Club,Club Logo,Value,Wage,Special,Acceleration,Aggression,Agility,Balance,Ball control,Composure,Crossing,Curve,Dribbling,Finishing,Free kick accuracy,GK diving,GK handling,GK kicking,GK positioning,GK reflexes,Heading accuracy,Interceptions,Jumping,Long passing,Long shots,Marking,Penalties,Positioning,Reactions,Short passing,Shot power,Sliding tackle,Sprint speed,Stamina,Standing tackle,Strength,Vision,Volleys,CAM,CB,CDM,CF,CM,ID,LAM,LB,LCB,LCM,LDM,LF,LM,LS,LW,LWB,Preferred Positions,RAM,RB,RCB,RCM,RDM,RF,RM,RS,RW,RWB,ST
239675,Kaveh REZAEI,R. Rezaeian,27,https://cdn.sofifa.org/48/18/players/239675.png,Iran,https://cdn.sofifa.org/flags/161.png,70,71,KV Oostende,https://cdn.sofifa.org/24/18/teams/682.png,€1.6M,€11K,1938,72,72,59,56,67,68,76,75,68,52,71,8,11,11,9,7,58,67,65,71,70,66,68,66,68,69,75,67,73,70,68,73,67,63,67,67,68,67,68,239675,67,69,67,68,68,67,68,65,67,69,RM RB ,67,69,67,68,68,67,68,65,67,69,65
197136,Karim ANSARIFARD,K. Ansarifard,27,https://cdn.sofifa.org/48/18/players/197136.png,Iran,https://cdn.sofifa.org/flags/161.png,73,74,Olympiakos CFP,https://cdn.sofifa.org/24/18/teams/280.png,€4.7M,€1K,1832,78,66,69,69,75,81,59,63,74,74,53,8,14,9,15,12,72,54,73,50,67,29,61,68,74,59,78,38,80,72,40,55,52,72,67,52,55,71,62,197136,67,57,52,62,55,71,68,72,70,59,ST ,67,57,52,62,55,71,68,72,70,59,72
215871,Alireza JAHAN BAKHSH,A. Jahanbakhsh,23,https://cdn.sofifa.org/48/18/players/215871.png,Iran,https://cdn.sofifa.org/flags/161.png,75,79,AZ Alkmaar,https://cdn.sofifa.org/24/18/teams/1906.png,€8.5M,€11K,1928,85,68,82,74,76,74,71,64,77,67,46,13,11,9,7,7,62,42,87,54,77,35,58,72,72,69,84,40,86,85,37,65,74,72,73,53,57,75,68,215871,73,59,53,68,57,75,74,73,75,62,LW RW ,73,59,53,68,57,75,74,73,75,62,73
197136,Mohammad ANSARI,K. Ansarifard,27,https://cdn.sofifa.org/48/18/players/197136.png,Iran,https://cdn.sofifa.org/flags/161.png,73,74,Olympiakos CFP,https://cdn.sofifa.org/24/18/teams/280.png,€4.7M,€1K,1832,78,66,69,69,75,81,59,63,74,74,53,8,14,9,15,12,72,54,73,50,67,29,61,68,74,59,78,38,80,72,40,55,52,72,67,52,55,71,62,197136,67,57,52,62,55,71,68,72,70,59,ST ,67,57,52,62,55,71,68,72,70,59,72
197136,Sasan ANSARI,K. Ansarifard,27,https://cdn.sofifa.org/48/18/players/197136.png,Iran,https://cdn.sofifa.org/flags/161.png,73,74,Olympiakos CFP,https://cdn.sofifa.org/24/18/teams/280.png,€4.7M,€1K,1832,78,66,69,69,75,81,59,63,74,74,53,8,14,9,15,12,72,54,73,50,67,29,61,68,74,59,78,38,80,72,40,55,52,72,67,52,55,71,62,197136,67,57,52,62,55,71,68,72,70,59,ST ,67,57,52,62,55,71,68,72,70,59,72
191589,Alireza HAGHIGHI,A. Haghighi,29,https://cdn.sofifa.org/48/18/players/191589.png,Iran,https://cdn.sofifa.org/flags/161.png,71,71,AFC Eskilstuna,https://cdn.sofifa.org/24/18/teams/112171.png,€1.6M,€3K,1148,32,42,50,56,12,36,20,16,14,14,15,68,69,63,68,74,21,25,63,24,20,16,18,11,75,23,17,13,37,19,21,66,42,24,,,,,,191589,,,,,,,,,,,GK ,,,,,,,,,,,
233241,Saeid EZATOLAHI,S. Ezatolahi,20,https://cdn.sofifa.org/48/18/players/233241.png,Iran,https://cdn.sofifa.org/flags/161.png,66,79,Amkar Perm,https://cdn.sofifa.org/24/18/teams/110234.png,€1.2M,€7K,1693,67,75,52,56,64,62,44,42,60,56,40,14,10,15,7,14,58,66,57,66,59,54,46,59,67,73,59,61,60,59,60,67,67,39,64,63,65,63,65,233241,64,61,63,65,65,63,62,61,61,61,CM ,64,61,63,65,65,63,62,61,61,61,61
213955,Sardar AZMOUN,S. Azmoun,22,https://cdn.sofifa.org/48/18/players/213955.png,Iran,https://cdn.sofifa.org/flags/161.png,77,85,Rubin Kazan,https://cdn.sofifa.org/24/18/teams/110227.png,€13.5M,€46K,1906,83,67,77,77,75,73,64,66,74,78,50,6,10,14,9,15,84,34,90,64,76,39,55,75,74,69,75,32,82,58,33,72,60,69,72,53,55,74,65,213955,72,55,53,65,55,74,72,76,74,56,ST ,72,55,53,65,55,74,72,76,74,56,76
239675,Ramin REZAEIAN,R. Rezaeian,27,https://cdn.sofifa.org/48/18/players/239675.png,Iran,https://cdn.sofifa.org/flags/161.png,70,71,KV Oostende,https://cdn.sofifa.org/24/18/teams/682.png,€1.6M,€11K,1938,72,72,59,56,67,68,76,75,68,52,71,8,11,11,9,7,58,67,65,71,70,66,68,66,68,69,75,67,73,70,68,73,67,63,67,67,68,67,68,239675,67,69,67,68,68,67,68,65,67,69,RM RB ,67,69,67,68,68,67,68,65,67,69,65
233218,Milad MOHAMMADI,M. Mohammadi,23,https://cdn.sofifa.org/48/18/players/233218.png,Iran,https://cdn.sofifa.org/flags/161.png,73,80,Terek Grozny,https://cdn.sofifa.org/24/18/teams/110109.png,€4.7M,€25K,1902,87,65,80,74,72,62,72,59,74,48,50,12,10,13,6,13,55,70,53,57,60,66,61,60,71,63,57,69,90,78,70,67,65,55,67,67,67,67,66,233218,67,72,67,66,67,67,70,63,69,72,LWB LB ,67,72,67,66,67,67,70,63,69,72,63
