ID,Fullname,Name,Age,Photo,Nationality,Flag,Overall,Potential,Club,Club Logo,Value,Wage,Special,Acceleration,Aggression,Agility,Balance,Ball control,Composure,Crossing,Curve,Dribbling,Finishing,Free kick accuracy,GK diving,GK handling,GK kicking,GK positioning,GK reflexes,Heading accuracy,Interceptions,Jumping,Long passing,Long shots,Marking,Penalties,Positioning,Reactions,Short passing,Shot power,Sliding tackle,Sprint speed,Stamina,Standing tackle,Strength,Vision,Volleys,CAM,CB,CDM,CF,CM,ID,LAM,LB,LCB,LCM,LDM,LF,LM,LS,LW,LWB,Preferred Positions,RAM,RB,RCB,RCM,RDM,RF,RM,RS,RW,RWB,ST
193165,Jose CORONA,J. Corona,24,https://cdn.sofifa.org/48/18/players/193165.png,Mexico,https://cdn.sofifa.org/flags/83.png,81,85,FC Porto,https://cdn.sofifa.org/24/18/teams/236.png,€23M,€17K,1969,87,45,90,87,84,85,73,85,91,76,67,11,6,10,14,9,67,45,72,68,66,29,68,80,82,76,66,31,79,74,40,39,77,75,80,49,58,80,74,193165,80,59,49,74,58,80,80,75,81,63,RM ,80,59,49,74,58,80,80,75,81,63,75
156358,Moises MUNOZ,M. MuMao oz,37,https://cdn.sofifa.org/48/18/players/156358.png,Mexico,https://cdn.sofifa.org/flags/83.png,72,72,Puebla,https://cdn.sofifa.org/24/18/teams/110152.png,€210K,€17K,1118,32,32,49,44,23,69,12,16,14,14,15,71,70,66,72,70,23,23,65,28,14,12,15,11,71,28,23,14,33,36,13,61,36,12,,,,,,156358,,,,,,,,,,,GK ,,,,,,,,,,,
140233,Guillermo OCHOA,G. Ochoa,31,https://cdn.sofifa.org/48/18/players/140233.png,Mexico,https://cdn.sofifa.org/flags/83.png,79,79,Standard de Liège,https://cdn.sofifa.org/24/18/teams/232.png,€7.5M,€18K,1206,47,19,65,42,18,57,15,14,10,12,17,76,69,78,78,87,19,23,75,32,11,11,16,16,74,31,25,12,50,34,10,56,48,16,,,,,,140233,,,,,,,,,,,GK ,,,,,,,,,,,
158543,Oribe PERALTA,O. Peralta,33,https://cdn.sofifa.org/48/18/players/158543.png,Mexico,https://cdn.sofifa.org/flags/83.png,76,76,Club América,https://cdn.sofifa.org/24/18/teams/1879.png,€4.8M,€63K,1924,69,78,77,64,75,80,62,66,72,77,56,14,15,9,7,10,74,42,81,64,68,22,73,80,75,70,73,46,72,78,35,77,69,74,73,54,58,74,68,158543,73,57,54,68,58,74,72,75,72,59,ST ,73,57,54,68,58,74,72,75,72,59,75
167524,Jorge TORRES,J. Torres Nilo,29,https://cdn.sofifa.org/48/18/players/167524.png,Mexico,https://cdn.sofifa.org/flags/83.png,72,72,Tigres U.A.N.L.,https://cdn.sofifa.org/24/18/teams/1970.png,€2.4M,€37K,1904,74,85,72,62,65,69,66,71,64,34,51,9,16,10,10,13,68,70,75,61,50,71,63,54,72,65,62,72,75,82,74,83,50,55,60,73,70,60,63,167524,60,71,73,63,70,60,64,60,61,71,LB ,60,71,73,63,70,60,64,60,61,71,60
178224,Javier HERNANDEZ,J. HernMan ndez,29,https://cdn.sofifa.org/48/18/players/178224.png,Mexico,https://cdn.sofifa.org/flags/83.png,82,82,West Ham United,https://cdn.sofifa.org/24/18/teams/19.png,€22M,€135K,1917,84,59,81,83,79,81,62,67,76,87,52,14,12,9,12,11,82,26,82,55,69,22,76,87,83,70,76,25,75,68,29,53,72,79,76,46,51,79,68,178224,76,52,46,68,51,79,75,80,77,55,ST ,76,52,46,68,51,79,75,80,77,55,80
170370,Giovani DOS SANTOS,J. dos Santos,27,https://cdn.sofifa.org/48/18/players/170370.png,Mexico,https://cdn.sofifa.org/flags/83.png,80,81,LA Galaxy,https://cdn.sofifa.org/24/18/teams/697.png,€16.5M,€13K,2056,68,59,74,81,85,65,83,80,80,62,76,15,15,7,10,12,57,65,69,78,74,52,59,80,78,84,72,55,65,77,63,65,83,73,79,63,71,77,79,170370,79,69,63,79,71,77,78,72,77,71,RM CM ,79,69,63,79,71,77,78,72,77,71,72
169416,Carlos VELA,C. Vela,28,https://cdn.sofifa.org/48/18/players/169416.png,Mexico,https://cdn.sofifa.org/flags/83.png,82,82,Real Sociedad,https://cdn.sofifa.org/24/18/teams/457.png,€22.5M,€46K,1963,87,57,86,79,81,79,80,80,82,81,71,8,14,8,13,10,64,37,69,63,80,12,72,81,77,81,73,14,81,68,22,68,80,84,80,44,54,80,72,169416,80,53,44,72,54,80,80,78,81,57,ST RW ,80,53,44,72,54,80,80,78,81,57,78
173432,Hector MORENO,H. Moreno,29,https://cdn.sofifa.org/48/18/players/173432.png,Mexico,https://cdn.sofifa.org/flags/83.png,80,80,Roma,https://cdn.sofifa.org/24/18/teams/52.png,€11.5M,€71K,1882,66,78,66,62,68,76,64,48,56,43,28,12,15,14,9,10,84,76,74,68,44,83,63,46,78,75,64,82,66,71,80,75,59,55,62,79,75,60,66,173432,62,75,79,66,75,60,63,61,61,73,LB CB ,62,75,79,66,75,60,63,61,61,73,61
171897,Andres GUARDADO,A. Guardado,30,https://cdn.sofifa.org/48/18/players/171897.png,Mexico,https://cdn.sofifa.org/flags/83.png,80,80,Real Betis Balompié,https://cdn.sofifa.org/24/18/teams/449.png,€13.5M,€32K,2098,76,72,82,88,84,76,73,70,80,58,71,7,10,10,11,10,55,72,74,82,65,60,70,67,82,84,74,72,76,84,72,57,81,69,78,69,76,75,79,171897,78,74,69,79,76,75,78,70,76,76,CDM CM ,78,74,69,79,76,75,78,70,76,76,70
186098,Rodolfo COTA,R. Cota,29,https://cdn.sofifa.org/48/18/players/186098.png,Mexico,https://cdn.sofifa.org/flags/83.png,74,74,Guadalajara,https://cdn.sofifa.org/24/18/teams/1880.png,€3.8M,€23K,1229,59,29,52,60,25,43,12,15,15,12,12,74,70,67,77,75,14,14,69,31,16,11,25,11,69,26,24,12,56,36,13,80,55,13,,,,,,186098,,,,,,,,,,,GK ,,,,,,,,,,,
171378,Paul AGUILAR,P. Aguilar,31,https://cdn.sofifa.org/48/18/players/171378.png,Mexico,https://cdn.sofifa.org/flags/83.png,76,76,Club América,https://cdn.sofifa.org/24/18/teams/1879.png,€5M,€53K,2021,87,75,72,66,71,75,76,67,68,59,51,7,10,14,12,8,68,72,82,70,74,73,57,60,69,70,70,75,81,90,73,67,63,64,68,72,72,68,70,171378,68,75,72,70,72,68,71,67,70,75,RB ,68,75,72,70,72,68,71,67,70,75,67
229980,Luis MONTES,C. Montes,20,https://cdn.sofifa.org/48/18/players/229980.png,Mexico,https://cdn.sofifa.org/flags/83.png,74,82,Monterrey,https://cdn.sofifa.org/24/18/teams/1032.png,€7M,€34K,1752,68,73,71,57,62,74,41,62,52,32,37,9,10,5,5,13,76,71,77,70,35,73,48,59,69,64,50,76,67,75,75,78,61,31,59,73,70,57,63,229980,59,68,73,63,70,57,59,56,56,66,CB ,59,68,73,63,70,57,59,56,56,66,56
