ID,Fullname,Name,Age,Photo,Nationality,Flag,Overall,Potential,Club,Club Logo,Value,Wage,Special,Acceleration,Aggression,Agility,Balance,Ball control,Composure,Crossing,Curve,Dribbling,Finishing,Free kick accuracy,GK diving,GK handling,GK kicking,GK positioning,GK reflexes,Heading accuracy,Interceptions,Jumping,Long passing,Long shots,Marking,Penalties,Positioning,Reactions,Short passing,Shot power,Sliding tackle,Sprint speed,Stamina,Standing tackle,Strength,Vision,Volleys,CAM,CB,CDM,CF,CM,ID,LAM,LB,LCB,LCM,LDM,LF,LM,LS,LW,LWB,Preferred Positions,RAM,RB,RCB,RCM,RDM,RF,RM,RS,RW,RWB,ST
162329,Karim EL AHMADI,K. El Ahmadi,32,https://cdn.sofifa.org/48/18/players/162329.png,Morocco,https://cdn.sofifa.org/flags/129.png,80,80,Feyenoord,https://cdn.sofifa.org/24/18/teams/246.png,€11M,€23K,2045,66,84,74,72,82,84,60,68,73,54,50,12,16,11,14,8,60,76,67,82,66,66,69,64,81,83,74,73,65,83,78,74,75,65,74,74,78,72,78,162329,74,74,74,78,78,72,73,68,71,74,CM ,74,74,74,78,78,72,73,68,71,74,68
184089,Mehdi CARCELA,M. Carcela-GonzMan lez,28,https://cdn.sofifa.org/48/18/players/184089.png,Morocco,https://cdn.sofifa.org/flags/129.png,77,77,Olympiakos CFP,https://cdn.sofifa.org/24/18/teams/280.png,€9M,€1K,1877,86,38,87,80,82,76,71,80,86,72,71,8,15,14,7,12,35,39,66,69,72,25,65,73,72,73,69,30,80,70,38,53,69,70,76,44,55,76,70,184089,76,55,44,70,55,76,76,70,77,60,LM RM ,76,55,44,70,55,76,76,70,77,60,70
183108,Noureddine AMRABAT,N. Amrabat,30,https://cdn.sofifa.org/48/18/players/183108.png,Morocco,https://cdn.sofifa.org/flags/129.png,79,79,CD Leganés,https://cdn.sofifa.org/24/18/teams/100888.png,€12M,€69K,2070,83,67,88,76,79,69,80,77,83,74,68,11,14,7,6,13,68,54,56,67,72,47,77,73,74,78,81,55,80,69,65,77,78,73,78,63,67,77,74,183108,78,67,63,74,67,77,78,76,79,69,CAM RWB RM ,78,67,63,74,67,77,78,76,79,69,76
177525,Nabil DIRAR,N. Dirar,31,https://cdn.sofifa.org/48/18/players/177525.png,Morocco,https://cdn.sofifa.org/flags/129.png,76,76,Fenerbahçe SK,https://cdn.sofifa.org/24/18/teams/326.png,€7M,€66K,1942,76,70,77,65,79,76,78,75,82,65,62,6,8,8,15,13,47,53,74,67,68,49,52,75,73,77,70,50,79,67,55,76,69,62,75,60,65,74,71,177525,75,64,60,71,65,74,75,71,76,67,RB RM ,75,64,60,71,65,74,75,71,76,67,71
177533,MANUEL DA COSTA,Manuel da Costa,31,https://cdn.sofifa.org/48/18/players/177533.png,Morocco,https://cdn.sofifa.org/flags/129.png,72,72,İstanbul Başakşehir FK,https://cdn.sofifa.org/24/18/teams/101014.png,€2.1M,€16K,1609,53,84,51,43,60,52,33,34,50,28,36,9,7,9,15,8,72,69,80,58,69,69,44,30,57,52,77,69,61,66,73,84,38,21,49,71,64,50,54,177533,49,62,71,54,64,50,49,52,47,59,CB ,49,62,71,54,64,50,49,52,47,59,52
193738,Younes BELHANDA,Y. Belhanda,27,https://cdn.sofifa.org/48/18/players/193738.png,Morocco,https://cdn.sofifa.org/flags/129.png,81,81,Galatasaray SK,https://cdn.sofifa.org/24/18/teams/325.png,€18.5M,€71K,2133,77,75,87,77,83,72,79,78,86,75,78,15,16,11,6,16,67,66,74,79,81,49,80,73,79,79,78,52,73,79,54,63,79,69,80,63,70,79,78,193738,80,68,63,78,70,79,79,76,80,71,LW CAM ,80,68,63,78,70,79,79,76,80,71,76
209981,Yassine BOUNOU,Y. Bounou,26,https://cdn.sofifa.org/48/18/players/209981.png,Morocco,https://cdn.sofifa.org/flags/129.png,71,75,Girona CF,https://cdn.sofifa.org/24/18/teams/110062.png,€2.1M,€12K,1136,37,25,38,29,12,39,15,12,20,14,19,68,78,69,71,66,14,12,48,44,19,20,24,10,69,39,25,15,34,43,18,69,37,23,,,,,,209981,,,,,,,,,,,GK ,,,,,,,,,,,
232097,Amine HARIT,A. Harit,20,https://cdn.sofifa.org/48/18/players/232097.png,Morocco,https://cdn.sofifa.org/flags/129.png,71,83,FC Schalke 04,https://cdn.sofifa.org/24/18/teams/34.png,€4.2M,€19K,1689,83,42,82,81,75,69,64,70,86,53,54,15,13,10,13,6,46,29,57,74,51,29,52,63,55,75,66,29,69,49,36,31,68,63,71,40,51,68,65,232097,71,49,40,65,51,68,70,62,70,53,LW RW CAM RM ,71,49,40,65,51,68,70,62,70,53,62
230042,Youssef AIT BENNASSER,Y. Ait Bennasser,20,https://cdn.sofifa.org/48/18/players/230042.png,Morocco,https://cdn.sofifa.org/flags/129.png,72,82,SM Caen,https://cdn.sofifa.org/24/18/teams/210.png,€5M,€17K,1872,73,60,74,68,76,72,64,59,77,56,56,6,6,8,11,15,58,65,71,76,66,56,42,68,67,74,72,61,71,60,65,59,70,62,71,63,67,70,71,230042,71,65,63,71,67,70,71,67,70,66,CM ,71,65,63,71,67,70,71,67,70,66,67
205083,Faycal FAJR,F. Fajr,28,https://cdn.sofifa.org/48/18/players/205083.png,Morocco,https://cdn.sofifa.org/flags/129.png,75,75,Getafe CF,https://cdn.sofifa.org/24/18/teams/1860.png,€6.5M,€23K,1942,68,59,76,72,79,63,81,82,76,69,77,15,12,14,15,6,49,31,43,75,79,51,73,69,68,76,73,54,66,67,53,68,77,69,74,54,62,73,71,205083,74,60,54,71,62,73,74,69,74,63,CM RM CAM LM ,74,60,54,71,62,73,74,69,74,63,69
223875,Yacine BAMMOU,Y. Bammou,25,https://cdn.sofifa.org/48/18/players/223875.png,Morocco,https://cdn.sofifa.org/flags/129.png,72,75,FC Nantes,https://cdn.sofifa.org/24/18/teams/71.png,€4M,€17K,1868,65,83,70,51,75,73,68,69,72,71,59,10,15,11,7,10,74,45,74,69,69,28,67,67,65,72,75,42,64,66,53,72,64,66,69,57,60,70,67,223875,69,57,57,67,60,70,69,71,69,59,CAM ST ,69,57,57,67,60,70,69,71,69,59,71
189849,Moestafa EL KABIR,M. El Kabir,28,https://cdn.sofifa.org/48/18/players/189849.png,Morocco,https://cdn.sofifa.org/flags/129.png,72,72,Antalyaspor,https://cdn.sofifa.org/24/18/teams/741.png,€3.2M,€15K,1840,69,74,75,66,73,72,65,68,74,69,70,15,14,8,8,15,66,21,85,55,67,16,68,73,73,60,74,31,76,65,29,79,69,70,69,46,49,71,62,189849,69,49,46,62,49,71,69,71,70,52,LM ST ,69,49,46,62,49,71,69,71,70,52,71
208295,Romain SAISS,R. SaMao ss,27,https://cdn.sofifa.org/48/18/players/208295.png,Morocco,https://cdn.sofifa.org/flags/129.png,76,78,Wolverhampton Wanderers,https://cdn.sofifa.org/24/18/teams/110.png,€7.5M,€51K,1873,64,78,69,68,73,78,53,56,67,51,43,10,16,6,11,7,73,80,65,77,58,77,47,46,73,73,63,63,69,76,74,72,68,47,66,74,75,64,70,208295,66,71,74,70,75,64,66,63,64,70,CB CM CDM ,66,71,74,70,75,64,66,63,64,70,63
208045,Oussama TANNANE,O. Tannane,23,https://cdn.sofifa.org/48/18/players/208045.png,Morocco,https://cdn.sofifa.org/flags/129.png,74,79,UD Las Palmas,https://cdn.sofifa.org/24/18/teams/472.png,€7.5M,€28K,1913,80,77,82,73,76,66,63,81,80,75,72,9,6,7,11,10,48,33,63,67,78,36,70,76,69,71,83,37,76,66,32,71,62,73,73,49,56,74,67,208045,73,54,49,67,56,74,73,73,74,57,CAM LM RM ,73,54,49,67,56,74,73,73,74,57,73
238346,Hamza MENDYL,H. Mendyl,19,https://cdn.sofifa.org/48/18/players/238346.png,Morocco,https://cdn.sofifa.org/flags/129.png,63,75,LOSC Lille,https://cdn.sofifa.org/24/18/teams/65.png,€550K,€3K,1644,78,65,69,67,58,59,62,54,60,36,38,11,12,14,14,6,56,59,60,47,44,58,48,52,57,54,53,62,76,65,60,65,51,33,55,60,58,55,54,238346,55,62,60,54,58,55,58,54,57,61,LB ,55,62,60,54,58,55,58,54,57,61,54
206493,Yunis ABDELHAMID,Y. Abdelhamid,29,https://cdn.sofifa.org/48/18/players/206493.png,Morocco,https://cdn.sofifa.org/flags/129.png,70,70,Stade de Reims,https://cdn.sofifa.org/24/18/teams/379.png,€1.4M,€7K,1433,53,70,43,48,55,65,28,34,17,24,31,9,11,15,16,9,68,74,71,55,23,71,42,21,62,58,43,65,39,71,73,82,32,20,40,69,65,38,49,206493,40,61,69,49,65,38,41,42,37,58,CB ,40,61,69,49,65,38,41,42,37,58,42
210439,Khalid BOUTAIB,K. BoutaMao b,30,https://cdn.sofifa.org/48/18/players/210439.png,Morocco,https://cdn.sofifa.org/flags/129.png,71,71,Evkur Yeni Malatyaspor,https://cdn.sofifa.org/24/18/teams/113259.png,€2.3M,€12K,1684,67,62,61,57,74,68,44,46,65,77,32,13,12,10,10,7,73,27,67,56,69,32,66,72,57,59,77,35,53,62,34,79,57,72,65,49,50,67,60,210439,65,47,49,60,50,67,62,70,64,48,CAM ST ,65,47,49,60,50,67,62,70,64,48,70
235410,Youssef EN NESYRI,Y. En-Nesyri,20,https://cdn.sofifa.org/48/18/players/235410.png,Morocco,https://cdn.sofifa.org/flags/129.png,69,79,Málaga CF,https://cdn.sofifa.org/24/18/teams/573.png,€1.7M,€12K,1575,73,33,62,44,70,59,48,37,71,72,47,13,9,14,9,13,66,31,72,40,64,16,59,67,69,59,67,27,79,45,31,59,44,65,63,42,43,67,55,235410,63,46,42,55,43,67,63,68,66,48,ST ,63,46,42,55,43,67,63,68,66,48,68
205188,Rachid ALIOUI,R. Alioui,25,https://cdn.sofifa.org/48/18/players/205188.png,Morocco,https://cdn.sofifa.org/flags/129.png,71,75,Nîmes Olympique,https://cdn.sofifa.org/24/18/teams/224.png,€3.1M,€5K,1697,76,53,73,46,72,65,57,63,68,70,73,15,15,11,6,7,69,18,75,43,71,14,55,72,63,60,73,11,80,68,19,80,66,55,67,40,43,69,59,205188,67,44,40,59,43,69,67,70,68,47,ST ,67,44,40,59,43,69,67,70,68,47,70
211381,Sofiane BOUFAL,S. Boufal,23,https://cdn.sofifa.org/48/18/players/211381.png,Morocco,https://cdn.sofifa.org/flags/129.png,79,84,Southampton,https://cdn.sofifa.org/24/18/teams/17.png,€17M,€90K,1842,83,47,90,85,86,69,70,71,87,72,69,9,16,10,14,7,35,19,33,66,69,44,69,76,70,76,71,32,81,67,40,31,77,70,78,42,54,77,71,211381,78,55,42,71,54,77,78,70,79,59,CAM RW LW ,78,55,42,71,54,77,78,70,79,59,70
228348,Faycal RHERRAS,F. Rherras,24,https://cdn.sofifa.org/48/18/players/228348.png,Morocco,https://cdn.sofifa.org/flags/129.png,67,71,KV Mechelen,https://cdn.sofifa.org/24/18/teams/110724.png,€825K,€7K,1834,79,65,77,63,62,63,65,53,67,57,51,13,7,12,8,9,62,62,72,53,58,64,52,58,61,57,78,65,84,74,65,71,56,54,61,65,62,63,60,228348,61,66,65,60,62,63,64,64,64,66,LB RB ,61,66,65,60,62,63,64,64,64,66,64
235212,Achraf HAKIMI,A. Hakimi,18,https://cdn.sofifa.org/48/18/players/235212.png,Morocco,https://cdn.sofifa.org/flags/129.png,71,81,Real Madrid CF,https://cdn.sofifa.org/24/18/teams/243.png,€3M,€37K,1847,76,57,75,74,70,62,71,46,70,57,55,10,8,14,6,8,58,68,64,65,60,63,46,58,63,68,71,71,78,80,68,71,61,37,66,66,67,66,66,235212,66,70,66,66,67,66,68,64,67,70,LB RB ,66,70,66,66,67,66,68,64,67,70,64
225114,Mimoun MAHI,M. Mahi,23,https://cdn.sofifa.org/48/18/players/225114.png,Morocco,https://cdn.sofifa.org/flags/129.png,74,78,FC Groningen,https://cdn.sofifa.org/24/18/teams/1915.png,€7.5M,€12K,1886,79,56,77,70,77,76,56,73,80,77,69,8,14,6,14,10,56,44,67,59,78,33,77,64,73,68,80,34,81,69,30,66,66,75,72,49,55,74,66,225114,72,54,49,66,55,74,71,73,73,57,RM LM ST ,72,54,49,66,55,74,71,73,73,57,73
188305,Aziz BOUHADDOUZ,A. Bouhaddouz,30,https://cdn.sofifa.org/48/18/players/188305.png,Morocco,https://cdn.sofifa.org/flags/129.png,73,73,FC St. Pauli,https://cdn.sofifa.org/24/18/teams/110329.png,€3.9M,€21K,1722,63,78,59,59,69,72,49,70,63,76,55,8,6,15,11,6,72,33,77,53,69,13,73,72,69,65,75,14,68,66,13,86,44,73,64,44,47,67,58,188305,64,44,44,58,47,67,63,72,65,47,ST ,64,44,44,58,47,67,63,72,65,47,72
240526,Mohammed FOUZAIR,M. Fouzair,25,https://cdn.sofifa.org/48/18/players/240526.png,Morocco,https://cdn.sofifa.org/flags/129.png,70,72,Al Nassr,https://cdn.sofifa.org/24/18/teams/112139.png,€2.2M,€25K,1633,82,45,74,74,70,45,63,63,72,51,60,12,9,6,15,13,34,25,51,64,42,23,54,66,63,68,57,22,83,75,30,56,64,47,66,38,49,65,62,240526,66,49,38,62,49,65,69,60,67,53,LM RM ,66,49,38,62,49,65,69,60,67,53,60
205188,Rachid ALIOUI,R. Alioui,25,https://cdn.sofifa.org/48/18/players/205188.png,Morocco,https://cdn.sofifa.org/flags/129.png,71,75,Nîmes Olympique,https://cdn.sofifa.org/24/18/teams/224.png,€3.1M,€5K,1697,76,53,73,46,72,65,57,63,68,70,73,15,15,11,6,7,69,18,75,43,71,14,55,72,63,60,73,11,80,68,19,80,66,55,67,40,43,69,59,205188,67,44,40,59,43,69,67,70,68,47,ST ,67,44,40,59,43,69,67,70,68,47,70
210439,Khalid BOUTAÏB,K. BoutaMao b,30,https://cdn.sofifa.org/48/18/players/210439.png,Morocco,https://cdn.sofifa.org/flags/129.png,71,71,Evkur Yeni Malatyaspor,https://cdn.sofifa.org/24/18/teams/113259.png,€2.3M,€12K,1684,67,62,61,57,74,68,44,46,65,77,32,13,12,10,10,7,73,27,67,56,69,32,66,72,57,59,77,35,53,62,34,79,57,72,65,49,50,67,60,210439,65,47,49,60,50,67,62,70,64,48,CAM ST ,65,47,49,60,50,67,62,70,64,48,70
183108,Sofyan AMRABAT,N. Amrabat,30,https://cdn.sofifa.org/48/18/players/183108.png,Morocco,https://cdn.sofifa.org/flags/129.png,79,79,CD Leganés,https://cdn.sofifa.org/24/18/teams/100888.png,€12M,€69K,2070,83,67,88,76,79,69,80,77,83,74,68,11,14,7,6,13,68,54,56,67,72,47,77,73,74,78,81,55,80,69,65,77,78,73,78,63,67,77,74,183108,78,67,63,74,67,77,78,76,79,69,CAM RWB RM ,78,67,63,74,67,77,78,76,79,69,76
238346,Hamza MENDYL,H. Mendyl,19,https://cdn.sofifa.org/48/18/players/238346.png,Morocco,https://cdn.sofifa.org/flags/129.png,63,75,LOSC Lille,https://cdn.sofifa.org/24/18/teams/65.png,€550K,€3K,1644,78,65,69,67,58,59,62,54,60,36,38,11,12,14,14,6,56,59,60,47,44,58,48,52,57,54,53,62,76,65,60,65,51,33,55,60,58,55,54,238346,55,62,60,54,58,55,58,54,57,61,LB ,55,62,60,54,58,55,58,54,57,61,54
177509,Mehdi BENATIA,M. Benatia,30,https://cdn.sofifa.org/48/18/players/177509.png,Morocco,https://cdn.sofifa.org/flags/129.png,84,84,Juventus,https://cdn.sofifa.org/24/18/teams/45.png,€23M,€145K,1764,72,82,59,51,65,78,45,34,64,45,27,7,4,8,7,11,80,84,82,65,24,86,41,38,78,65,59,84,76,68,86,89,47,31,58,82,75,58,62,177509,58,75,82,62,75,58,60,60,58,72,CB ,58,75,82,62,75,58,60,60,58,72,60
205705,Zouhair FEDDAL,Z. Feddal,27,https://cdn.sofifa.org/48/18/players/205705.png,Morocco,https://cdn.sofifa.org/flags/129.png,77,78,Real Betis Balompié,https://cdn.sofifa.org/24/18/teams/449.png,€8.5M,€24K,1722,46,82,48,35,65,69,57,36,56,40,38,13,14,12,10,8,73,81,71,68,56,78,48,44,68,66,67,71,62,65,79,79,47,39,56,76,72,56,62,205705,56,69,76,62,72,56,57,57,55,68,LB CB ,56,69,76,62,72,56,57,57,55,68,57
218050,Mohamed ABARHOUN,M. Abarhoun,28,https://cdn.sofifa.org/48/18/players/218050.png,Morocco,https://cdn.sofifa.org/flags/129.png,65,65,Moreirense FC,https://cdn.sofifa.org/24/18/teams/1900.png,€450K,€2K,1348,51,73,47,55,56,57,21,24,31,23,22,15,14,8,13,12,66,57,65,27,22,62,36,23,61,53,34,63,53,61,68,78,28,26,40,64,56,40,44,218050,40,56,64,44,56,40,40,42,39,53,CB ,40,56,64,44,56,40,40,42,39,53,42
203377,Adnane TIGHADOUINI,A. Tighadouini,24,https://cdn.sofifa.org/48/18/players/203377.png,Morocco,https://cdn.sofifa.org/flags/129.png,71,76,FC Twente,https://cdn.sofifa.org/24/18/teams/1908.png,€3.2M,€14K,1818,74,54,72,76,76,64,67,79,77,74,63,11,6,11,12,8,45,26,74,64,75,30,74,69,72,67,79,24,70,45,37,70,67,70,71,45,51,72,65,203377,71,49,45,65,51,72,70,70,72,52,LM ,71,49,45,65,51,72,70,70,72,52,70
