ID,Fullname,Name,Age,Photo,Nationality,Flag,Overall,Potential,Club,Club Logo,Value,Wage,Special,Acceleration,Aggression,Agility,Balance,Ball control,Composure,Crossing,Curve,Dribbling,Finishing,Free kick accuracy,GK diving,GK handling,GK kicking,GK positioning,GK reflexes,Heading accuracy,Interceptions,Jumping,Long passing,Long shots,Marking,Penalties,Positioning,Reactions,Short passing,Shot power,Sliding tackle,Sprint speed,Stamina,Standing tackle,Strength,Vision,Volleys,CAM,CB,CDM,CF,CM,ID,LAM,LB,LCB,LCM,LDM,LF,LM,LS,LW,LWB,Preferred Positions,RAM,RB,RCB,RCM,RDM,RF,RM,RS,RW,RWB,ST
209984,John Obi MIKEL,M. Agu,24,https://cdn.sofifa.org/48/18/players/209984.png,Nigeria,https://cdn.sofifa.org/flags/133.png,75,80,Bursaspor,https://cdn.sofifa.org/24/18/teams/742.png,€7.5M,€11K,1802,67,86,68,61,70,60,47,44,64,41,35,14,14,9,14,14,65,76,82,70,40,71,46,33,71,74,56,75,70,86,78,76,47,38,60,75,74,58,65,209984,60,72,75,65,74,58,62,57,58,71,CDM ,60,72,75,65,74,58,62,57,58,71,57
185089,Uwa ECHIEJILE,E. EchiMao jilMao ,29,https://cdn.sofifa.org/48/18/players/185089.png,Nigeria,https://cdn.sofifa.org/flags/133.png,71,71,Medicana Sivasspor,https://cdn.sofifa.org/24/18/teams/101041.png,€1.8M,€11K,1912,72,80,70,67,66,49,64,65,64,49,50,16,16,9,14,13,70,69,73,58,69,72,31,59,68,64,80,72,73,80,74,77,59,49,63,72,69,64,64,185089,63,70,72,64,69,64,64,65,64,70,LWB LM LB ,63,70,72,64,69,64,64,65,64,70,65
241092,Rabiu IBRAHIM,I. Abdullahi,20,https://cdn.sofifa.org/48/18/players/241092.png,Nigeria,https://cdn.sofifa.org/flags/133.png,64,73,FK Austria Wien,https://cdn.sofifa.org/24/18/teams/256.png,€700K,€6K,1433,51,58,38,50,60,57,27,48,52,69,40,15,8,9,15,7,72,22,34,32,64,20,65,65,63,48,62,23,56,60,25,65,51,59,55,40,41,59,50,241092,55,39,40,50,41,59,52,63,54,40,ST ,55,39,40,50,41,59,52,63,54,40,63
172962,Victor MOSES,V. Moses,26,https://cdn.sofifa.org/48/18/players/172962.png,Nigeria,https://cdn.sofifa.org/flags/133.png,79,81,Chelsea,https://cdn.sofifa.org/24/18/teams/5.png,€12.5M,€115K,2103,84,45,80,83,80,75,75,75,84,70,61,9,7,8,16,16,69,72,66,70,68,68,71,76,76,73,75,70,83,87,72,80,71,63,76,70,72,77,75,172962,76,75,70,75,72,77,78,75,77,76,LM RM RWB ,76,75,70,75,72,77,78,75,77,76,75
207624,Kenneth OMERUO,K. Omeruo,23,https://cdn.sofifa.org/48/18/players/207624.png,Nigeria,https://cdn.sofifa.org/flags/133.png,72,79,Kasimpaşa SK,https://cdn.sofifa.org/24/18/teams/111339.png,€3.7M,€48K,1625,67,77,65,56,60,70,47,24,53,22,23,9,8,16,7,15,71,69,87,60,31,70,35,34,72,62,54,69,75,74,70,82,34,27,51,71,66,51,56,207624,51,67,71,56,66,51,55,51,51,65,CB ,51,67,71,56,66,51,55,51,51,65,51
202934,Ogenyi ONAZI,O. Onazi,24,https://cdn.sofifa.org/48/18/players/202934.png,Nigeria,https://cdn.sofifa.org/flags/133.png,74,77,Trabzonspor,https://cdn.sofifa.org/24/18/teams/436.png,€6M,€23K,2056,83,69,90,91,75,65,67,75,72,51,60,13,9,13,14,7,53,74,55,74,77,65,60,68,71,74,78,73,78,84,75,68,72,68,72,69,73,71,73,202934,72,73,69,73,73,71,72,67,71,74,CM CDM ,72,73,69,73,73,71,72,67,71,74,67
237207,Orji KALU,S. Kalu,19,https://cdn.sofifa.org/48/18/players/237207.png,Nigeria,https://cdn.sofifa.org/flags/133.png,70,82,KAA Gent,https://cdn.sofifa.org/24/18/teams/674.png,€3.1M,€9K,1606,84,57,80,74,71,74,73,63,74,61,43,11,13,6,10,12,33,22,43,48,51,17,52,61,62,66,62,24,81,70,31,34,69,48,67,36,46,67,60,237207,67,49,36,60,46,67,69,61,70,53,RM ,67,49,36,60,46,67,69,61,70,53,61
201818,Ahmed MUSA,A. Musa,24,https://cdn.sofifa.org/48/18/players/201818.png,Nigeria,https://cdn.sofifa.org/flags/133.png,76,81,Leicester City,https://cdn.sofifa.org/24/18/teams/95.png,€10.5M,€65K,1867,95,33,88,84,76,72,67,60,78,78,48,7,12,13,15,14,64,24,80,52,72,20,69,77,79,64,78,24,92,89,28,48,66,73,74,41,49,76,66,201818,74,54,41,66,49,76,76,75,77,57,LM ST ,74,54,41,66,49,76,76,75,77,57,75
192098,Nosa IGIEBOR,Nosa,26,https://cdn.sofifa.org/48/18/players/192098.png,Nigeria,https://cdn.sofifa.org/flags/133.png,74,74,Vancouver Whitecaps FC,https://cdn.sofifa.org/24/18/teams/101112.png,€6M,€9K,2028,79,69,85,76,74,65,58,48,75,61,64,14,11,13,13,14,68,69,77,67,74,61,52,82,73,74,82,63,72,83,72,77,70,58,74,69,71,74,73,192098,74,70,69,73,71,74,72,73,72,70,CAM CDM CM ,74,70,69,73,71,74,72,73,72,70,73
188182,John OGU,L. Balogun,29,https://cdn.sofifa.org/48/18/players/188182.png,Nigeria,https://cdn.sofifa.org/flags/133.png,75,76,1. FSV Mainz 05,https://cdn.sofifa.org/24/18/teams/169.png,€6M,€25K,1789,66,75,55,52,62,72,69,59,60,30,38,6,15,12,10,6,78,75,75,64,60,70,39,49,68,69,70,76,74,69,75,84,47,32,58,74,70,58,62,188182,58,71,74,62,70,58,61,59,59,70,RB CB ,58,71,74,62,70,58,61,59,59,70,59
236313,Kingsley MADU,K. Madu,21,https://cdn.sofifa.org/48/18/players/236313.png,Nigeria,https://cdn.sofifa.org/flags/133.png,67,75,SV Zulte-Waregem,https://cdn.sofifa.org/24/18/teams/15005.png,€975K,€7K,1841,78,68,73,76,64,65,67,58,71,46,29,6,9,14,9,11,61,63,75,65,65,61,39,62,62,67,70,62,76,70,65,74,64,61,65,65,65,64,65,236313,65,66,65,65,65,64,66,63,66,66,LB ,65,66,65,65,65,64,66,63,66,66,63
226289,Uche AGBO,U. Agbo,21,https://cdn.sofifa.org/48/18/players/226289.png,Nigeria,https://cdn.sofifa.org/flags/133.png,71,79,Standard de Liège,https://cdn.sofifa.org/24/18/teams/232.png,€3M,€24K,1777,58,61,59,57,69,62,48,47,65,48,49,10,8,8,10,13,66,67,65,74,59,65,39,53,71,76,67,70,56,77,70,74,70,48,66,68,70,63,70,226289,66,67,68,70,70,63,64,61,62,66,CB CM CDM ,66,67,68,70,70,63,64,61,62,66,61
216820,Moses SIMON,M. Simon,21,https://cdn.sofifa.org/48/18/players/216820.png,Nigeria,https://cdn.sofifa.org/flags/133.png,74,81,KAA Gent,https://cdn.sofifa.org/24/18/teams/674.png,€8M,€19K,1835,92,38,93,91,76,76,71,47,78,73,55,7,13,12,13,9,58,21,90,52,68,26,48,68,71,67,76,25,91,73,31,63,66,73,72,43,49,74,64,216820,72,53,43,64,49,74,74,72,75,56,LM ST CF ,72,53,43,64,49,74,74,72,75,56,72
226790,Onyinye NDIDI,O. Ndidi,20,https://cdn.sofifa.org/48/18/players/226790.png,Nigeria,https://cdn.sofifa.org/flags/133.png,77,86,Leicester City,https://cdn.sofifa.org/24/18/teams/95.png,€12M,€47K,1983,72,76,69,65,72,73,50,57,63,50,58,13,14,7,7,13,73,80,78,69,70,73,35,61,74,74,78,79,75,88,82,77,65,66,68,77,76,67,71,226790,68,75,77,71,76,67,67,67,65,74,CM CDM ,68,75,77,71,76,67,67,67,65,74,67
225719,Kelechi IHEANACHO,K. Iheanacho,20,https://cdn.sofifa.org/48/18/players/225719.png,Nigeria,https://cdn.sofifa.org/flags/133.png,75,86,Leicester City,https://cdn.sofifa.org/24/18/teams/95.png,€11.5M,€50K,1762,84,56,78,68,75,72,48,67,73,79,53,8,7,7,11,15,60,17,58,58,66,15,74,79,70,66,76,12,84,68,22,74,65,69,72,40,47,74,63,225719,72,45,40,63,47,74,70,74,72,48,ST ,72,45,40,63,47,74,70,74,72,48,74
234993,Dele ALAMPASU,D. Alampasu,20,https://cdn.sofifa.org/48/18/players/234993.png,Nigeria,https://cdn.sofifa.org/flags/133.png,60,69,CD Feirense,https://cdn.sofifa.org/24/18/teams/10019.png,€240K,€1K,829,21,17,33,25,14,27,12,14,9,9,11,62,58,58,60,59,14,10,30,29,6,7,14,8,52,23,17,14,21,23,11,61,21,6,,,,,,234993,,,,,,,,,,,GK ,,,,,,,,,,,
209984,Ndubisi AGU,M. Agu,24,https://cdn.sofifa.org/48/18/players/209984.png,Nigeria,https://cdn.sofifa.org/flags/133.png,75,80,Bursaspor,https://cdn.sofifa.org/24/18/teams/742.png,€7.5M,€11K,1802,67,86,68,61,70,60,47,44,64,41,35,14,14,9,14,14,65,76,82,70,40,71,46,33,71,74,56,75,70,86,78,76,47,38,60,75,74,58,65,209984,60,72,75,65,74,58,62,57,58,71,CDM ,60,72,75,65,74,58,62,57,58,71,57
200471,Emmanuel DANIEL,D. Chima Chukwu,26,https://cdn.sofifa.org/48/18/players/200471.png,Nigeria,https://cdn.sofifa.org/flags/133.png,63,65,Legia Warszawa,https://cdn.sofifa.org/24/18/teams/1871.png,€450K,€2K,1640,69,80,59,81,63,60,40,53,60,62,47,12,13,11,15,14,70,31,87,39,58,26,62,60,51,54,61,19,71,77,25,76,37,57,56,46,45,59,51,200471,56,44,46,51,45,59,57,62,57,46,ST ,56,44,46,51,45,59,57,62,57,46,62
213414,William EKONG,W. Troost-Ekong,23,https://cdn.sofifa.org/48/18/players/213414.png,Nigeria,https://cdn.sofifa.org/flags/133.png,71,76,Bursaspor,https://cdn.sofifa.org/24/18/teams/742.png,€2.7M,€10K,1453,65,70,34,59,48,49,30,25,24,23,26,6,15,10,9,7,76,71,70,51,23,70,40,30,66,50,36,67,74,63,71,85,33,26,41,70,62,41,47,213414,41,63,70,47,62,41,44,45,40,58,CB ,41,63,70,47,62,41,44,45,40,58,45
234457,Oghenekaro ETEBO,P. Etebo,21,https://cdn.sofifa.org/48/18/players/234457.png,Nigeria,https://cdn.sofifa.org/flags/133.png,73,82,CD Feirense,https://cdn.sofifa.org/24/18/teams/10019.png,€6M,€9K,1795,85,47,85,78,76,67,64,64,77,66,66,10,6,13,6,9,67,16,80,52,62,19,65,73,76,70,81,19,84,68,17,61,65,68,72,40,46,74,63,234457,72,48,40,63,46,74,72,73,73,52,CAM ST LM ,72,48,40,63,46,74,72,73,73,52,73
