ID,Fullname,Name,Age,Photo,Nationality,Flag,Overall,Potential,Club,Club Logo,Value,Wage,Special,Acceleration,Aggression,Agility,Balance,Ball control,Composure,Crossing,Curve,Dribbling,Finishing,Free kick accuracy,GK diving,GK handling,GK kicking,GK positioning,GK reflexes,Heading accuracy,Interceptions,Jumping,Long passing,Long shots,Marking,Penalties,Positioning,Reactions,Short passing,Shot power,Sliding tackle,Sprint speed,Stamina,Standing tackle,Strength,Vision,Volleys,CAM,CB,CDM,CF,CM,ID,LAM,LB,LCB,LCM,LDM,LF,LM,LS,LW,LWB,Preferred Positions,RAM,RB,RCB,RCM,RDM,RF,RM,RS,RW,RWB,ST
214506,Roman TORRES,R. Torres,31,https://cdn.sofifa.org/48/18/players/214506.png,Panama,https://cdn.sofifa.org/flags/87.png,70,70,Seattle Sounders FC,https://cdn.sofifa.org/24/18/teams/111144.png,€1.2M,€6K,1471,33,81,34,32,51,44,39,34,34,33,23,8,7,8,12,12,73,65,55,63,55,68,50,39,60,55,65,68,31,43,73,92,36,39,44,69,62,44,51,214506,44,57,69,51,62,44,43,50,42,54,CB ,44,57,69,51,62,44,43,50,42,54,50
214506,Gabriel TORRES,R. Torres,31,https://cdn.sofifa.org/48/18/players/214506.png,Panama,https://cdn.sofifa.org/flags/87.png,70,70,Seattle Sounders FC,https://cdn.sofifa.org/24/18/teams/111144.png,€1.2M,€6K,1471,33,81,34,32,51,44,39,34,34,33,23,8,7,8,12,12,73,65,55,63,55,68,50,39,60,55,65,68,31,43,73,92,36,39,44,69,62,44,51,214506,44,57,69,51,62,44,43,50,42,54,CB ,44,57,69,51,62,44,43,50,42,54,50
187259,Luis OVALLE,L. Ovalle,28,https://cdn.sofifa.org/48/18/players/187259.png,Panama,https://cdn.sofifa.org/flags/87.png,57,57,Deportes Tolima,https://cdn.sofifa.org/24/18/teams/111722.png,€80K,€1K,1448,71,61,60,64,51,37,52,37,49,36,17,14,14,16,7,15,29,57,63,46,38,56,44,38,41,50,53,60,68,65,62,56,24,34,45,54,53,45,46,187259,45,56,54,46,53,45,49,45,48,56,LB ,45,56,54,46,53,45,49,45,48,56,45
197154,Adolfo MACHADO,A. Machado,32,https://cdn.sofifa.org/48/18/players/197154.png,Panama,https://cdn.sofifa.org/flags/87.png,71,71,Houston Dynamo,https://cdn.sofifa.org/24/18/teams/698.png,€1.4M,€6K,1580,64,75,59,62,59,75,33,27,45,27,33,14,14,14,7,10,62,76,67,40,37,74,44,41,73,60,42,66,62,74,68,76,56,19,52,70,66,51,56,197154,52,65,70,56,66,51,52,49,50,63,CB ,52,65,70,56,66,51,52,49,50,63,49
217054,Harold CUMMINGS,H. Cummings,25,https://cdn.sofifa.org/48/18/players/217054.png,Panama,https://cdn.sofifa.org/flags/87.png,66,71,San Jose Earthquakes,https://cdn.sofifa.org/24/18/teams/111928.png,€725K,€2K,1497,69,68,54,53,55,42,40,28,49,21,35,8,15,12,13,13,63,64,68,54,31,69,38,39,63,55,41,61,47,54,62,83,44,28,48,65,60,47,52,217054,48,58,65,52,60,47,49,47,47,57,CB ,48,58,65,52,60,47,49,47,47,57,47
217050,Roderick MILLER,R. Miller,25,https://cdn.sofifa.org/48/18/players/217050.png,Panama,https://cdn.sofifa.org/flags/87.png,63,69,Atletico Nacional Medellin,https://cdn.sofifa.org/24/18/teams/101100.png,€425K,€1K,1412,46,55,35,40,45,62,37,29,40,30,40,15,15,9,9,11,66,66,37,60,41,62,37,37,57,43,59,59,53,66,67,85,39,22,43,62,58,43,49,217050,43,56,62,49,58,43,44,47,42,54,CB ,43,56,62,49,58,43,44,47,42,54,47
174732,Martin GOMEZ,G. GMao mez,33,https://cdn.sofifa.org/48/18/players/174732.png,Panama,https://cdn.sofifa.org/flags/87.png,70,70,Atlético Bucaramanga,https://cdn.sofifa.org/24/18/teams/112992.png,€725K,€2K,1932,64,80,81,62,68,72,72,70,64,50,69,9,11,16,6,13,63,69,66,70,61,63,69,55,72,68,74,60,66,74,66,77,66,58,65,68,69,64,67,174732,65,67,68,67,69,64,66,63,65,68,CM CDM ,65,67,68,67,69,64,66,63,65,68,63
240196,Fidel ESCOBAR,F. Escobar,22,https://cdn.sofifa.org/48/18/players/240196.png,Panama,https://cdn.sofifa.org/flags/87.png,65,71,New York Red Bulls,https://cdn.sofifa.org/24/18/teams/689.png,€625K,€2K,1557,75,77,57,68,36,59,39,26,35,28,32,10,14,15,9,11,64,66,71,45,42,65,51,38,64,40,50,63,78,79,64,75,34,36,42,64,57,44,45,240196,42,61,64,45,57,44,46,47,44,58,CB ,42,61,64,45,57,44,46,47,44,58,47
237841,Amir MURILLO,M. Murillo,21,https://cdn.sofifa.org/48/18/players/237841.png,Panama,https://cdn.sofifa.org/flags/87.png,64,69,New York Red Bulls,https://cdn.sofifa.org/24/18/teams/689.png,€500K,€2K,1749,77,75,65,64,58,52,59,57,55,32,49,5,15,12,11,14,59,59,87,51,58,63,65,49,56,54,63,62,79,78,63,71,50,34,54,64,60,55,55,237841,54,63,64,55,60,55,57,54,56,63,CDM CB RB ,54,63,64,55,60,55,57,54,56,63,54
234154,Cristian MARTINEZ,C. Martinez,20,https://cdn.sofifa.org/48/18/players/234154.png,Panama,https://cdn.sofifa.org/flags/87.png,63,71,Columbus Crew SC,https://cdn.sofifa.org/24/18/teams/687.png,€550K,€1K,1636,76,55,79,76,64,63,54,60,69,51,57,12,10,7,7,9,57,20,60,60,49,37,57,56,57,64,57,42,75,59,35,58,54,53,61,45,49,61,57,234154,61,50,45,57,49,61,62,59,62,51,LM RM ,61,50,45,57,49,61,62,59,62,51,59
