ID,Fullname,Name,Age,Photo,Nationality,Flag,Overall,Potential,Club,Club Logo,Value,Wage,Special,Acceleration,Aggression,Agility,Balance,Ball control,Composure,Crossing,Curve,Dribbling,Finishing,Free kick accuracy,GK diving,GK handling,GK kicking,GK positioning,GK reflexes,Heading accuracy,Interceptions,Jumping,Long passing,Long shots,Marking,Penalties,Positioning,Reactions,Short passing,Shot power,Sliding tackle,Sprint speed,Stamina,Standing tackle,Strength,Vision,Volleys,CAM,CB,CDM,CF,CM,ID,LAM,LB,LCB,LCM,LDM,LF,LM,LS,LW,LWB,Preferred Positions,RAM,RB,RCB,RCM,RDM,RF,RM,RS,RW,RWB,ST
158133,Jefferson FARFAN,J. FarfMan n,32,https://cdn.sofifa.org/48/18/players/158133.png,Peru,https://cdn.sofifa.org/flags/59.png,78,78,Lokomotiv Moscow,https://cdn.sofifa.org/24/18/teams/100765.png,€8M,€45K,1995,82,73,75,66,79,80,80,80,78,75,75,15,12,5,12,15,58,39,76,73,75,17,79,74,75,77,81,29,83,69,43,78,78,69,77,51,59,77,72,158133,77,57,51,72,59,77,77,75,78,60,ST RM ,77,57,51,72,59,77,77,75,78,60,75
168580,Alberto RODRIGUEZ,A. RodrLiu guez,33,https://cdn.sofifa.org/48/18/players/168580.png,Peru,https://cdn.sofifa.org/flags/59.png,73,73,,https://cdn.sofifa.org/flags/59.png,€ 0,€ 0,1633,60,75,61,67,51,74,40,44,57,43,25,11,16,11,10,11,75,74,85,50,42,77,30,42,71,55,22,62,63,45,76,76,54,52,53,72,64,52,55,168580,53,63,72,55,64,52,53,52,53,60,CB ,53,63,72,55,64,52,53,52,53,60,52
196435,Christian RAMOS,C. Ramos,28,https://cdn.sofifa.org/48/18/players/196435.png,Peru,https://cdn.sofifa.org/flags/59.png,67,68,,https://cdn.sofifa.org/flags/59.png,€ 0,€ 0,1584,62,73,59,59,54,29,43,37,44,34,35,13,13,13,10,11,68,61,68,51,59,64,31,35,57,58,62,69,67,62,72,71,40,29,49,66,61,49,52,196435,49,62,66,52,61,49,50,51,49,59,CB ,49,62,66,52,61,49,50,51,49,59,51
186655,Jose CARVALLO,J. Carvallo,31,https://cdn.sofifa.org/48/18/players/186655.png,Peru,https://cdn.sofifa.org/flags/59.png,68,68,,https://cdn.sofifa.org/flags/59.png,€ 0,€ 0,1100,52,43,46,55,19,50,13,13,20,10,20,73,67,69,68,61,12,22,52,24,16,16,13,13,64,24,24,13,54,30,12,45,23,14,,,,,,186655,,,,,,,,,,,GK ,,,,,,,,,,,
225701,Pedro GALLESE,P. Gallese,27,https://cdn.sofifa.org/48/18/players/225701.png,Peru,https://cdn.sofifa.org/flags/59.png,74,76,,https://cdn.sofifa.org/flags/59.png,€ 0,€ 0,1192,45,22,34,57,22,25,21,12,19,20,17,77,69,68,72,72,18,25,58,24,12,12,22,18,76,31,24,19,49,30,19,49,59,20,,,,,,225701,,,,,,,,,,,GK ,,,,,,,,,,,
196688,Aldo CORZO,A. Corzo,28,https://cdn.sofifa.org/48/18/players/196688.png,Peru,https://cdn.sofifa.org/flags/59.png,65,65,,https://cdn.sofifa.org/flags/59.png,€ 0,€ 0,1579,69,53,72,73,62,40,65,46,53,18,50,15,12,8,13,6,51,64,43,53,49,58,43,39,57,59,59,75,69,67,64,55,28,31,50,60,59,49,53,196688,50,64,60,53,59,49,54,48,52,64,RWB RB ,50,64,60,53,59,49,54,48,52,64,48
211124,Paolo HURTADO,P. Hurtado,26,https://cdn.sofifa.org/48/18/players/211124.png,Peru,https://cdn.sofifa.org/flags/59.png,76,76,Vitória Guimarães,https://cdn.sofifa.org/24/18/teams/1887.png,€8.5M,€14K,1930,81,48,79,73,78,74,68,68,77,72,72,7,12,16,11,9,70,45,80,73,71,55,69,73,72,75,78,28,83,55,34,59,74,65,75,53,58,75,70,211124,75,57,53,70,58,75,74,74,75,60,RM CAM ,75,57,53,70,58,75,74,74,75,60,74
203299,Andre CARRILLO,A. Carrillo,26,https://cdn.sofifa.org/48/18/players/203299.png,Peru,https://cdn.sofifa.org/flags/59.png,77,78,Watford,https://cdn.sofifa.org/24/18/teams/1795.png,€10.5M,€15K,1917,86,53,80,77,79,73,76,78,79,71,55,11,14,13,12,7,70,34,74,60,75,19,68,76,75,73,76,25,83,65,32,72,75,74,76,47,53,77,69,203299,76,54,47,69,53,77,76,75,77,58,LM RM ,76,54,47,69,53,77,76,75,77,58,75
204539,Luis ADVINCULA,L. AdvLiu ncula,27,https://cdn.sofifa.org/48/18/players/204539.png,Peru,https://cdn.sofifa.org/flags/59.png,72,73,Lobos de la BUAP,https://cdn.sofifa.org/24/18/teams/111035.png,€2.9M,€35K,2034,89,70,79,79,73,60,72,77,76,58,69,11,12,13,15,11,59,62,72,65,68,61,64,65,68,67,76,70,92,80,68,74,60,59,69,67,67,70,68,204539,69,71,67,68,67,70,72,69,72,72,RM RB ,69,71,67,68,67,70,72,69,72,72,69
204542,Yoshimar YOTUN,Y. YotMei n,27,https://cdn.sofifa.org/48/18/players/204542.png,Peru,https://cdn.sofifa.org/flags/59.png,71,72,Orlando City Soccer Club,https://cdn.sofifa.org/24/18/teams/112606.png,€2.7M,€7K,1937,71,79,85,79,72,74,73,67,66,470,69,7,8,16,11,7,53,62,77,74,64,59,51,580,66,73,75,66,66,84,62,52,77,61,69,63,68,66,70,204542,69,67,63,70,68,66,69,61,67,69,LB LM CM ,69,67,63,70,68,66,69,61,67,69,61
204538,Raul RUIDIAZ,R. RuidLiu az,26,https://cdn.sofifa.org/48/18/players/204538.png,Peru,https://cdn.sofifa.org/flags/59.png,76,77,Monarcas Morelia,https://cdn.sofifa.org/24/18/teams/1028.png,€9M,€16K,1857,79,62,82,79,74,75,67,66,76,80,69,12,9,9,11,12,74,28,74,53,73,24,67,80,68,66,76,23,85,75,22,46,65,71,72,43,49,75,64,204538,72,51,43,64,49,75,73,75,74,54,ST ,72,51,43,64,49,75,73,75,74,54,75
214000,Yordy REYNA,Y. Reyna,23,https://cdn.sofifa.org/48/18/players/214000.png,Peru,https://cdn.sofifa.org/flags/59.png,70,75,Vancouver Whitecaps FC,https://cdn.sofifa.org/24/18/teams/101112.png,€2.4M,€6K,1761,86,60,84,79,74,64,52,69,74,65,60,12,14,9,8,11,53,29,68,57,59,13,62,65,67,69,65,21,87,69,33,56,660,65,70,42,50,70,63,214000,70,49,42,63,50,70,69,67,70,52,CAM CF ,70,49,42,63,50,70,69,67,70,52,67
226002,Miguel ARAUJO,M. Araujo,22,https://cdn.sofifa.org/48/18/players/226002.png,Peru,https://cdn.sofifa.org/flags/59.png,67,72,,https://cdn.sofifa.org/flags/59.png,€ 0,€ 0,1546,66,76,60,70,53,54,41,23,46,27,41,13,15,9,16,8,69,58,70,59,32,71,51,22,54,61,52,69,65,56,70,59,27,37,45,66,60,45,49,226002,45,61,66,49,60,45,48,46,46,59,CB ,45,61,66,49,60,45,48,46,46,59,46
220673,Renato TAPIA,R. Tapia,21,https://cdn.sofifa.org/48/18/players/220673.png,Peru,https://cdn.sofifa.org/flags/59.png,72,78,Feyenoord,https://cdn.sofifa.org/24/18/teams/246.png,€4.2M,€9K,1961,68,80,70,67,77,65,60,65,77,44,64,16,14,7,15,8,74,68,81,68,70,58,61,60,70,72,69,64,57,77,70,77,70,63,69,70,70,67,71,220673,69,67,70,71,70,67,68,65,67,68,CDM CM ,69,67,70,71,70,67,68,65,67,68,65
210951,Edison FLORES,E. Flores,23,https://cdn.sofifa.org/48/18/players/210951.png,Peru,https://cdn.sofifa.org/flags/59.png,63,71,Aalborg BK,https://cdn.sofifa.org/24/18/teams/820.png,€550K,€3K,1613,70,16,91,87,70,54,57,65,74,67,59,12,10,12,13,13,34,32,85,42,65,23,64,60,52,57,44,25,64,70,37,29,50,64,62,36,43,62,56,210951,62,46,36,56,43,62,62,58,65,50,LM ,62,46,36,56,43,62,62,58,65,50,58
