ID,Fullname,Name,Age,Photo,Nationality,Flag,Overall,Potential,Club,Club Logo,Value,Wage,Special,Acceleration,Aggression,Agility,Balance,Ball control,Composure,Crossing,Curve,Dribbling,Finishing,Free kick accuracy,GK diving,GK handling,GK kicking,GK positioning,GK reflexes,Heading accuracy,Interceptions,Jumping,Long passing,Long shots,Marking,Penalties,Positioning,Reactions,Short passing,Shot power,Sliding tackle,Sprint speed,Stamina,Standing tackle,Strength,Vision,Volleys,CAM,CB,CDM,CF,CM,ID,LAM,LB,LCB,LCM,LDM,LF,LM,LS,LW,LWB,Preferred Positions,RAM,RB,RCB,RCM,RDM,RF,RM,RS,RW,RWB,ST
105846,Artur BORUC,A. Boruc,37,https://cdn.sofifa.org/48/18/players/105846.png,Poland,https://cdn.sofifa.org/flags/37.png,77,77,Bournemouth,https://cdn.sofifa.org/24/18/teams/1943.png,€600K,€32K,1172,37,38,40,40,18,65,12,13,14,11,19,77,73,62,77,82,11,25,73,34,15,13,21,17,72,25,21,20,39,31,20,69,40,13,,,,,,105846,,,,,,,,,,,GK ,,,,,,,,,,,
164835,Lukasz FABIANSKI,L. FabiaYu ski,32,https://cdn.sofifa.org/48/18/players/164835.png,Poland,https://cdn.sofifa.org/flags/37.png,80,80,Swansea City,https://cdn.sofifa.org/24/18/teams/1960.png,€8.5M,€60K,1206,50,43,52,44,22,63,14,18,14,13,12,77,84,70,78,84,11,16,68,32,20,11,22,15,71,20,14,13,47,25,12,65,52,17,,,,,,164835,,,,,,,,,,,GK ,,,,,,,,,,,
164994,Jakub BLASZCZYKOWSKI,J. BFeng aszczykowski,31,https://cdn.sofifa.org/48/18/players/164994.png,Poland,https://cdn.sofifa.org/flags/37.png,76,76,VfL Wolfsburg,https://cdn.sofifa.org/24/18/teams/175.png,€7M,€60K,2027,76,62,77,80,77,82,76,75,77,67,67,14,8,9,13,15,48,60,64,68,68,58,70,74,77,77,76,61,76,75,59,72,75,76,75,63,68,74,73,164994,75,68,63,73,68,74,75,71,75,70,RB RM ,75,68,63,73,68,74,75,71,75,70,71
148564,Slawomir PESZKO,S. Peszko,32,https://cdn.sofifa.org/48/18/players/148564.png,Poland,https://cdn.sofifa.org/flags/37.png,69,69,Lechia Gdańsk,https://cdn.sofifa.org/24/18/teams/111091.png,€825K,€6K,1830,60,86,73,80,71,63,71,68,71,63,62,14,11,13,7,16,36,42,72,67,68,38,55,68,68,70,70,39,72,64,43,59,68,65,69,51,58,68,66,148564,69,55,51,66,58,68,68,64,69,58,RM LM ,69,55,51,66,58,68,68,64,69,58,64
173771,Lukasz PISZCZEK,L. Piszczek,32,https://cdn.sofifa.org/48/18/players/173771.png,Poland,https://cdn.sofifa.org/flags/37.png,83,83,Borussia Dortmund,https://cdn.sofifa.org/24/18/teams/22.png,€14.5M,€66K,2143,73,83,66,66,76,82,86,80,74,65,47,14,11,14,6,12,74,81,76,69,68,79,65,73,82,78,77,83,84,79,84,79,72,67,74,80,79,74,75,173771,74,81,80,75,79,74,76,74,75,81,CB RB ,74,81,80,75,79,74,76,74,75,81,74
190547,Kamil GLIK,K. Glik,29,https://cdn.sofifa.org/48/18/players/190547.png,Poland,https://cdn.sofifa.org/flags/37.png,85,85,AS Monaco,https://cdn.sofifa.org/24/18/teams/69.png,€30M,€60K,1612,53,86,34,55,59,79,29,35,51,27,26,10,14,5,8,10,85,87,82,59,20,85,39,24,79,63,57,83,58,72,87,90,23,17,47,83,74,48,55,190547,47,72,83,55,74,48,50,52,45,68,CB ,47,72,83,55,74,48,50,52,45,68,52
177922,Kamil GROSICKI,K. Grosicki,29,https://cdn.sofifa.org/48/18/players/177922.png,Poland,https://cdn.sofifa.org/flags/37.png,76,76,Hull City,https://cdn.sofifa.org/24/18/teams/1952.png,€7.5M,€16K,1883,89,43,80,70,74,68,73,68,78,72,64,16,10,15,14,11,69,48,62,71,71,21,69,75,70,74,74,20,81,66,29,66,71,69,74,46,54,75,69,177922,74,54,46,69,54,75,75,74,76,58,LW RM LM ,74,54,46,69,54,75,75,74,76,58,74
197242,Grzegorz KRYCHOWIAK,G. Krychowiak,27,https://cdn.sofifa.org/48/18/players/197242.png,Poland,https://cdn.sofifa.org/flags/37.png,81,83,West Bromwich Albion,https://cdn.sofifa.org/24/18/teams/109.png,€17.5M,€81K,1992,62,87,59,52,75,83,59,46,63,42,62,15,14,8,6,7,83,81,75,83,70,75,78,52,77,79,81,72,68,77,82,91,71,40,68,80,79,66,74,197242,68,74,80,74,79,66,67,66,65,73,CDM ,68,74,80,74,79,66,67,66,65,73,66
186153,Wojciech SZCZESNY,W. SzczTun sny,27,https://cdn.sofifa.org/48/18/players/186153.png,Poland,https://cdn.sofifa.org/flags/37.png,82,84,Juventus,https://cdn.sofifa.org/24/18/teams/45.png,€18M,€90K,1250,51,40,55,51,22,65,12,16,11,12,14,83,77,74,78,87,16,15,71,36,14,11,18,14,81,32,15,12,47,45,13,65,48,14,,,,,,186153,,,,,,,,,,,GK ,,,,,,,,,,,
177790,Artur JEDRZEJCZYK,A. JTun drzejczyk,29,https://cdn.sofifa.org/48/18/players/177790.png,Poland,https://cdn.sofifa.org/flags/37.png,73,73,Legia Warszawa,https://cdn.sofifa.org/24/18/teams/1871.png,€3M,€11K,1823,74,83,64,62,68,65,70,47,63,48,34,7,8,12,16,11,72,73,72,67,39,73,34,53,65,69,71,73,72,80,73,76,42,52,60,73,71,60,63,177790,60,72,73,63,71,60,64,62,62,71,RB ,60,72,73,63,71,60,64,62,62,71,62
