ID,Fullname,Name,Age,Photo,Nationality,Flag,Overall,Potential,Club,Club Logo,Value,Wage,Special,Acceleration,Aggression,Agility,Balance,Ball control,Composure,Crossing,Curve,Dribbling,Finishing,Free kick accuracy,GK diving,GK handling,GK kicking,GK positioning,GK reflexes,Heading accuracy,Interceptions,Jumping,Long passing,Long shots,Marking,Penalties,Positioning,Reactions,Short passing,Shot power,Sliding tackle,Sprint speed,Stamina,Standing tackle,Strength,Vision,Volleys,CAM,CB,CDM,CF,CM,ID,LAM,LB,LCB,LCM,LDM,LF,LM,LS,LW,LWB,Preferred Positions,RAM,RB,RCB,RCM,RDM,RF,RM,RS,RW,RWB,ST
20775,RICARDO QUARESMA,Quaresma,33,https://cdn.sofifa.org/48/18/players/20775.png,Portugal,https://cdn.sofifa.org/flags/38.png,83,83,Beşiktaş JK,https://cdn.sofifa.org/24/18/teams/327.png,€15.5M,€67K,1962,85,62,91,84,87,79,88,92,89,70,78,12,14,10,5,15,41,24,63,75,83,10,74,75,78,79,83,13,82,69,17,54,80,80,81,37,52,80,74,20775,81,50,37,74,52,80,81,74,82,57,LM RM ,81,50,37,74,52,80,81,74,82,57,74
162347,JOAO MOUTINHO,JoMang o Moutinho,30,https://cdn.sofifa.org/48/18/players/162347.png,Portugal,https://cdn.sofifa.org/flags/38.png,82,82,AS Monaco,https://cdn.sofifa.org/24/18/teams/69.png,€20.5M,€48K,2192,73,74,79,84,82,86,77,82,81,74,79,13,15,15,13,13,70,72,79,82,80,68,70,73,75,84,76,68,65,84,72,64,80,76,79,71,76,77,80,162347,79,74,71,80,76,77,78,75,78,75,CAM CDM CM ,79,74,71,80,76,77,78,75,78,75,75
20801,CRISTIANO RONALDO,Cristiano Ronaldo,32,https://cdn.sofifa.org/48/18/players/20801.png,Portugal,https://cdn.sofifa.org/flags/38.png,94,94,Real Madrid CF,https://cdn.sofifa.org/24/18/teams/243.png,€95.5M,€565K,2228,89,63,89,63,93,95,85,81,91,94,76,7,11,15,14,11,88,29,95,77,92,22,85,95,96,83,94,23,91,92,31,80,85,88,89,53,62,91,82,20801,89,61,53,82,62,91,89,92,91,66,ST LW ,89,61,53,82,62,91,89,92,91,66,92
201118,BRUNO ALVES,CMao dric,25,https://cdn.sofifa.org/48/18/players/201118.png,Portugal,https://cdn.sofifa.org/flags/38.png,79,82,Southampton,https://cdn.sofifa.org/24/18/teams/17.png,€13M,€82K,2118,84,75,76,83,76,69,81,66,76,57,64,11,14,12,12,11,65,76,73,69,78,76,60,71,76,75,80,79,80,88,78,63,65,68,73,74,75,73,74,201118,73,78,74,74,75,73,75,71,74,79,RB ,73,78,74,74,75,73,75,71,74,79,71
2492,ELISEU,Eliseu,33,https://cdn.sofifa.org/48/18/players/2492.png,Portugal,https://cdn.sofifa.org/flags/38.png,78,78,SL Benfica,https://cdn.sofifa.org/24/18/teams/234.png,€4M,€13K,2143,75,86,75,75,75,75,79,66,73,59,69,12,15,15,15,15,72,75,73,67,88,74,64,70,74,74,89,80,77,79,78,79,59,67,71,77,75,72,72,2492,71,77,77,72,75,72,72,73,73,76,LB ,71,77,77,72,75,72,72,73,73,76,73
212911,NANI,HernMang ni,25,https://cdn.sofifa.org/48/18/players/212911.png,Portugal,https://cdn.sofifa.org/flags/38.png,78,79,FC Porto,https://cdn.sofifa.org/24/18/teams/236.png,€12.5M,€15K,1816,92,42,86,69,79,78,75,75,81,68,59,8,11,7,8,6,55,21,62,65,67,14,68,79,79,73,70,23,91,73,19,59,64,68,75,39,49,76,67,212911,75,52,39,67,49,76,77,73,78,56,LM RM ,75,52,39,67,49,76,77,73,78,56,73
178424,ANTUNES,Antunes,30,https://cdn.sofifa.org/48/18/players/178424.png,Portugal,https://cdn.sofifa.org/flags/38.png,79,79,Getafe CF,https://cdn.sofifa.org/24/18/teams/1860.png,€9M,€29K,2139,78,75,78,76,77,70,81,82,74,56,80,10,7,10,9,14,57,80,63,76,84,74,61,70,75,73,87,81,82,86,79,69,66,69,73,74,76,73,75,178424,73,78,74,75,76,73,75,71,74,79,LB ,73,78,74,75,76,73,75,71,74,79,71
178005,RUI PATRICIO,Rui PatrLiu cio,29,https://cdn.sofifa.org/48/18/players/178005.png,Portugal,https://cdn.sofifa.org/flags/38.png,83,83,Sporting CP,https://cdn.sofifa.org/24/18/teams/237.png,€17.5M,€19K,1350,53,39,61,54,23,53,12,10,20,12,16,85,81,80,79,82,11,22,79,30,11,13,32,13,80,31,38,11,57,45,13,77,63,17,,,,,,178005,,,,,,,,,,,GK ,,,,,,,,,,,
200798,FABIO COENTRAO,Marafona,30,https://cdn.sofifa.org/48/18/players/200798.png,Portugal,https://cdn.sofifa.org/flags/38.png,78,78,SC Braga,https://cdn.sofifa.org/24/18/teams/1896.png,€6.5M,€11K,1198,36,41,49,35,13,41,13,19,22,18,17,80,73,66,77,81,13,21,53,38,16,12,23,13,73,32,38,13,37,29,12,60,56,19,,,,,,200798,,,,,,,,,,,GK ,,,,,,,,,,,
212814,EDUARDO,JoMang o MMan rio,24,https://cdn.sofifa.org/48/18/players/212814.png,Portugal,https://cdn.sofifa.org/flags/38.png,83,88,Inter,https://cdn.sofifa.org/24/18/teams/44.png,€34M,€70K,2098,71,61,81,70,85,85,77,74,84,66,67,6,15,8,8,8,55,78,63,78,73,67,66,80,82,83,77,61,75,84,75,69,82,69,80,70,77,79,81,212814,80,74,70,81,77,79,80,74,79,77,CAM CM ,80,74,70,81,77,79,80,74,79,77,74
