ID,Fullname,Name,Age,Photo,Nationality,Flag,Overall,Potential,Club,Club Logo,Value,Wage,Special,Acceleration,Aggression,Agility,Balance,Ball control,Composure,Crossing,Curve,Dribbling,Finishing,Free kick accuracy,GK diving,GK handling,GK kicking,GK positioning,GK reflexes,Heading accuracy,Interceptions,Jumping,Long passing,Long shots,Marking,Penalties,Positioning,Reactions,Short passing,Shot power,Sliding tackle,Sprint speed,Stamina,Standing tackle,Strength,Vision,Volleys,CAM,CB,CDM,CF,CM,ID,LAM,LB,LCB,LCM,LDM,LF,LM,LS,LW,LWB,Preferred Positions,RAM,RB,RCB,RCM,RDM,RF,RM,RS,RW,RWB,ST
208968,ASSAF AL QARNI,F. Al Qarni,25,https://cdn.sofifa.org/48/18/players/208968.png,Saudi Arabia,https://cdn.sofifa.org/flags/183.png,67,70,Al Ittihad,https://cdn.sofifa.org/24/18/teams/607.png,€675K,€15K,1081,42,24,50,52,17,35,11,20,13,16,14,67,63,66,66,70,14,18,58,39,12,14,23,16,62,29,15,13,46,31,14,52,21,13,,,,,,208968,,,,,,,,,,,GK ,,,,,,,,,,,
197496,YASSER AL MOSAILEM,Y. Al Mosailem,33,https://cdn.sofifa.org/48/18/players/197496.png,Saudi Arabia,https://cdn.sofifa.org/flags/183.png,71,71,Al Ahli,https://cdn.sofifa.org/24/18/teams/112387.png,€1.2M,€19K,1136,32,22,49,55,17,33,18,20,16,14,14,69,71,66,72,70,13,13,64,21,19,15,20,12,64,22,22,12,46,37,19,68,52,12,,,,,,197496,,,,,,,,,,,GK ,,,,,,,,,,,
191834,NASSER AL SHAMRANI,N. Al Shamrani,33,https://cdn.sofifa.org/48/18/players/191834.png,Saudi Arabia,https://cdn.sofifa.org/flags/183.png,70,70,Al Shabab,https://cdn.sofifa.org/24/18/teams/111674.png,€1.1M,€25K,1828,77,77,78,68,50,74,55,61,58,78,46,15,13,14,15,7,69,43,90,54,69,25,79,74,70,58,68,30,76,92,23,74,52,70,62,48,50,65,58,191834,62,51,48,58,50,65,63,69,64,53,ST ,62,51,48,58,50,65,63,69,64,53,69
210926,WALEED ABDULLAH,A. Ateef,24,https://cdn.sofifa.org/48/18/players/210926.png,Saudi Arabia,https://cdn.sofifa.org/flags/183.png,71,77,Al Hilal,https://cdn.sofifa.org/24/18/teams/605.png,€2.8M,€20K,1741,55,58,62,55,73,76,45,49,58,55,53,11,12,6,7,11,47,69,70,78,54,62,58,74,68,75,53,60,51,64,73,63,78,34,68,64,70,65,71,210926,68,63,64,71,70,65,64,60,63,63,CM CDM ,68,63,64,71,70,65,64,60,63,63,60
191409,NAIF HAZAZI,N. Hazazi,28,https://cdn.sofifa.org/48/18/players/191409.png,Saudi Arabia,https://cdn.sofifa.org/flags/183.png,69,69,Al Taawoun,https://cdn.sofifa.org/24/18/teams/112393.png,€1.1M,€15K,1720,73,69,72,55,67,66,59,60,63,68,56,13,15,6,11,7,69,28,74,49,61,17,73,67,67,66,70,23,75,71,15,78,57,66,65,43,47,66,58,191409,65,47,43,58,47,66,65,68,66,50,ST ,65,47,43,58,47,66,65,68,66,50,68
208977,FAHAD AL MUWALLAD,F. Al Muwallad,22,https://cdn.sofifa.org/48/18/players/208977.png,Saudi Arabia,https://cdn.sofifa.org/flags/183.png,74,82,Al Ittihad,https://cdn.sofifa.org/24/18/teams/607.png,€8.5M,€32K,1867,93,69,79,63,70,69,67,56,76,71,48,12,13,13,7,11,58,45,82,55,70,30,69,66,69,67,80,28,93,84,30,59,65,69,71,48,54,72,65,208977,71,56,48,65,54,72,73,71,73,60,CAM ST LM RM ,71,56,48,65,54,72,73,71,73,60,71
210925,ABDULLAH OTAYF,S. Otayf,26,https://cdn.sofifa.org/48/18/players/210925.png,Saudi Arabia,https://cdn.sofifa.org/flags/183.png,58,59,Al Raed,https://cdn.sofifa.org/24/18/teams/112392.png,€150K,€3K,1480,63,52,63,70,59,60,51,42,63,58,31,7,10,11,11,9,45,40,59,54,60,11,63,59,62,56,52,13,59,56,17,63,55,56,59,37,43,59,55,210925,59,41,37,55,43,59,58,57,59,44,ST ,59,41,37,55,43,59,58,57,59,44,57
191256,MOTAZ HAWSAWI,O. Hawsawi,33,https://cdn.sofifa.org/48/18/players/191256.png,Saudi Arabia,https://cdn.sofifa.org/flags/183.png,75,75,Al Hilal,https://cdn.sofifa.org/24/18/teams/605.png,€2.7M,€33K,1817,73,67,65,69,53,74,44,50,54,57,42,16,9,6,8,11,73,71,78,57,48,74,64,57,71,68,65,71,69,78,77,90,34,48,56,74,68,58,59,191256,56,69,74,59,68,58,58,63,57,67,CB ,56,69,74,59,68,58,58,63,57,67,63
212037,MUSTAFA AL BASSAS,M. Al Bassas,24,https://cdn.sofifa.org/48/18/players/212037.png,Saudi Arabia,https://cdn.sofifa.org/flags/183.png,70,74,Al Ahli,https://cdn.sofifa.org/24/18/teams/112387.png,€2.3M,€23K,1859,85,60,79,78,69,58,65,66,71,67,65,15,10,14,13,14,43,49,70,64,60,46,58,61,60,63,65,49,82,90,51,63,58,56,66,54,59,66,64,212037,66,61,54,64,59,66,69,64,68,63,LM CAM RM ,66,61,54,64,59,66,69,64,68,63,64
210602,SALEM AL DAWSARI,S. Al Dawsari,25,https://cdn.sofifa.org/48/18/players/210602.png,Saudi Arabia,https://cdn.sofifa.org/flags/183.png,72,72,Al Hilal,https://cdn.sofifa.org/24/18/teams/605.png,€3.4M,€25K,1848,86,77,83,75,71,65,64,69,76,63,60,7,12,13,14,10,56,22,49,60,65,31,62,68,65,65,74,49,85,83,28,68,69,69,70,47,53,70,64,210602,70,55,47,64,53,70,71,68,71,57,LM CM RM ,70,55,47,64,53,70,71,68,71,57,68
