ID,Fullname,Name,Age,Photo,Nationality,Flag,Overall,Potential,Club,Club Logo,Value,Wage,Special,Acceleration,Aggression,Agility,Balance,Ball control,Composure,Crossing,Curve,Dribbling,Finishing,Free kick accuracy,GK diving,GK handling,GK kicking,GK positioning,GK reflexes,Heading accuracy,Interceptions,Jumping,Long passing,Long shots,Marking,Penalties,Positioning,Reactions,Short passing,Shot power,Sliding tackle,Sprint speed,Stamina,Standing tackle,Strength,Vision,Volleys,CAM,CB,CDM,CF,CM,ID,LAM,LB,LCB,LCM,LDM,LF,LM,LS,LW,LWB,Preferred Positions,RAM,RB,RCB,RCM,RDM,RF,RM,RS,RW,RWB,ST
221000,Alfred NDIAYE,Badou Ndiaye,26,https://cdn.sofifa.org/48/18/players/221000.png,Senegal,https://cdn.sofifa.org/flags/136.png,77,80,Galatasaray SK,https://cdn.sofifa.org/24/18/teams/325.png,€11M,€59K,2069,86,69,79,77,78,69,71,78,79,74,65,7,12,11,7,10,59,60,72,71,73,60,65,78,74,76,78,61,85,80,65,75,69,65,76,66,69,77,74,221000,76,70,66,74,69,77,77,75,77,71,CDM CM CAM ,76,70,66,74,69,77,77,75,77,71,75
183256,Henri SAIVET,H. Saivet,26,https://cdn.sofifa.org/48/18/players/183256.png,Senegal,https://cdn.sofifa.org/flags/136.png,77,80,Newcastle United,https://cdn.sofifa.org/24/18/teams/13.png,€11M,€68K,2102,75,59,82,76,78,70,78,73,79,73,76,10,8,13,15,11,77,64,90,77,65,60,66,75,76,78,75,62,74,75,66,69,78,69,77,68,70,76,76,183256,77,70,68,76,70,76,77,75,76,72,CDM CAM CM ,77,70,68,76,70,76,77,75,76,72,75
184271,Younousse SANKHARE,Y. SankharMao ,27,https://cdn.sofifa.org/48/18/players/184271.png,Senegal,https://cdn.sofifa.org/flags/136.png,77,77,Girondins de Bordeaux,https://cdn.sofifa.org/24/18/teams/59.png,€9M,€45K,2043,65,82,68,54,75,77,68,63,75,68,50,14,10,10,12,8,77,77,69,74,68,73,59,74,77,78,76,71,67,83,76,79,75,68,74,76,76,73,76,184271,74,74,76,76,76,73,73,73,72,74,CM ,74,74,76,76,76,73,73,73,72,74,73
189944,Lamine GASSAMA,L. Gassama,27,https://cdn.sofifa.org/48/18/players/189944.png,Senegal,https://cdn.sofifa.org/flags/136.png,68,69,Alanyaspor,https://cdn.sofifa.org/24/18/teams/113142.png,€825K,€8K,1739,71,79,76,68,64,60,69,54,62,35,43,15,6,7,13,6,58,64,66,60,36,67,59,48,64,66,47,63,74,77,68,70,52,32,58,66,66,56,60,189944,58,67,66,60,66,56,62,54,60,67,RB ,58,67,66,60,66,56,62,54,60,67,54
193474,Idrissa GUEYE,I. Gueye,27,https://cdn.sofifa.org/48/18/players/193474.png,Senegal,https://cdn.sofifa.org/flags/136.png,83,84,Everton,https://cdn.sofifa.org/24/18/teams/7.png,€24.5M,€115K,2045,78,84,75,82,79,80,60,33,75,50,43,8,6,8,12,13,69,87,85,74,67,80,54,67,79,82,80,85,75,88,87,76,72,32,74,81,82,73,77,193474,74,80,81,77,82,73,74,70,72,80,CM CDM ,74,80,81,77,82,73,74,70,72,80,70
194196,Fallou DIAGNE,F. Diagne,27,https://cdn.sofifa.org/48/18/players/194196.png,Senegal,https://cdn.sofifa.org/flags/136.png,71,71,FC Metz,https://cdn.sofifa.org/24/18/teams/68.png,€2M,€17K,1800,67,79,69,67,68,66,53,44,65,34,45,11,15,6,12,11,73,73,89,65,41,71,56,43,70,67,59,72,67,64,73,75,56,40,60,73,70,58,63,194196,60,68,73,63,70,58,61,57,59,67,CB CDM ,60,68,73,63,70,58,61,57,59,67,57
240952,Mbaye NIANG,S. Niang,22,https://cdn.sofifa.org/48/18/players/240952.png,Senegal,https://cdn.sofifa.org/flags/136.png,53,60,La Berrichonne de Châteauroux,https://cdn.sofifa.org/24/18/teams/212.png,€80K,€1K,1435,62,59,55,76,45,41,42,39,50,32,37,15,7,13,6,5,53,39,58,55,37,33,45,54,47,68,59,47,62,56,42,53,50,34,52,47,49,50,52,240952,52,48,47,52,49,50,52,49,50,49,CM ,52,48,47,52,49,50,52,49,50,49,49
201024,Kalidou KOULIBALY,K. Koulibaly,26,https://cdn.sofifa.org/48/18/players/201024.png,Senegal,https://cdn.sofifa.org/flags/136.png,84,87,Napoli,https://cdn.sofifa.org/24/18/teams/48.png,€32.5M,€96K,1610,69,87,50,40,59,78,30,28,54,19,28,7,11,7,13,5,79,86,77,48,15,85,33,24,80,59,55,85,76,73,87,93,34,14,48,83,73,49,55,201024,48,74,83,55,73,49,52,51,48,70,CB ,48,74,83,55,73,49,52,51,48,70,51
221000,Papa Alioune NDIAYE,Badou Ndiaye,26,https://cdn.sofifa.org/48/18/players/221000.png,Senegal,https://cdn.sofifa.org/flags/136.png,77,80,Galatasaray SK,https://cdn.sofifa.org/24/18/teams/325.png,€11M,€59K,2069,86,69,79,77,78,69,71,78,79,74,65,7,12,11,7,10,59,60,72,71,73,60,65,78,74,76,78,61,85,80,65,75,69,65,76,66,69,77,74,221000,76,70,66,74,69,77,77,75,77,71,CDM CM CAM ,76,70,66,74,69,77,77,75,77,71,75
201956,Ludovic SANE,S. SanMao ,26,https://cdn.sofifa.org/48/18/players/201956.png,Senegal,https://cdn.sofifa.org/flags/136.png,79,81,Hannover 96,https://cdn.sofifa.org/24/18/teams/485.png,€12.5M,€47K,1813,62,84,60,37,68,74,57,33,67,36,58,14,7,10,13,16,88,80,51,65,53,72,43,48,76,70,76,73,68,75,80,86,61,26,62,78,74,62,67,201956,62,73,78,67,74,62,63,62,61,71,CDM CB ,62,73,78,67,74,62,63,62,61,71,62
