ID,Fullname,Name,Age,Photo,Nationality,Flag,Overall,Potential,Club,Club Logo,Value,Wage,Special,Acceleration,Aggression,Agility,Balance,Ball control,Composure,Crossing,Curve,Dribbling,Finishing,Free kick accuracy,GK diving,GK handling,GK kicking,GK positioning,GK reflexes,Heading accuracy,Interceptions,Jumping,Long passing,Long shots,Marking,Penalties,Positioning,Reactions,Short passing,Shot power,Sliding tackle,Sprint speed,Stamina,Standing tackle,Strength,Vision,Volleys,CAM,CB,CDM,CF,CM,ID,LAM,LB,LCB,LCM,LDM,LF,LM,LS,LW,LWB,Preferred Positions,RAM,RB,RCB,RCM,RDM,RF,RM,RS,RW,RWB,ST
176377,Dusko TOSIC,D. ToNing iFan ,32,https://cdn.sofifa.org/48/18/players/176377.png,Serbia,https://cdn.sofifa.org/flags/51.png,74,74,Beşiktaş JK,https://cdn.sofifa.org/24/18/teams/327.png,€3.2M,€40K,1731,36,82,33,41,66,65,66,53,66,31,46,11,6,10,12,16,67,72,71,62,58,74,43,62,66,70,74,77,38,75,76,82,57,32,59,73,71,58,65,176377,59,68,73,65,71,58,60,58,57,68,LB CB ,59,68,73,65,71,58,60,58,57,68,58
178372,Branislav IVANOVIC,B. IvanoviFan ,33,https://cdn.sofifa.org/48/18/players/178372.png,Serbia,https://cdn.sofifa.org/flags/51.png,82,82,Zenit St. Petersburg,https://cdn.sofifa.org/24/18/teams/100769.png,€9M,€73K,1984,63,86,57,47,66,81,72,70,58,57,48,15,9,13,11,13,85,79,83,74,62,84,58,61,76,71,73,82,61,78,82,85,57,48,64,81,76,64,68,178372,64,76,81,68,76,64,66,67,64,74,RB CB ,64,76,81,68,76,64,66,67,64,74,67
185103,Aleksandar KOLAROV,A. Kolarov,31,https://cdn.sofifa.org/48/18/players/185103.png,Serbia,https://cdn.sofifa.org/flags/51.png,79,79,Roma,https://cdn.sofifa.org/24/18/teams/52.png,€8M,€68K,2173,64,85,63,58,75,85,89,85,78,55,81,16,15,8,16,6,80,80,81,77,80,74,74,69,81,73,91,80,67,75,81,76,76,64,73,79,78,73,76,185103,73,78,79,76,78,73,74,72,73,78,CB LB ,73,78,79,76,78,73,74,72,73,78,72
183606,Slobodan RAJKOVIC,S. RajkoviFan ,28,https://cdn.sofifa.org/48/18/players/183606.png,Serbia,https://cdn.sofifa.org/flags/51.png,75,76,Palermo,https://cdn.sofifa.org/24/18/teams/1843.png,€6M,€5K,1538,62,87,34,42,50,63,39,36,42,20,28,9,7,9,10,12,75,67,55,59,18,73,41,29,68,57,71,73,75,72,78,91,34,15,45,74,66,46,52,183606,45,66,74,52,66,46,49,50,44,63,CB ,45,66,74,52,66,46,49,50,44,63,50
181816,Antonio RUKAVINA,A. Rukavina,33,https://cdn.sofifa.org/48/18/players/181816.png,Serbia,https://cdn.sofifa.org/flags/51.png,77,77,Villarreal CF,https://cdn.sofifa.org/24/18/teams/483.png,€3.4M,€32K,1918,71,78,67,75,71,67,79,68,65,36,38,6,6,15,8,7,63,80,78,70,58,76,42,66,81,73,63,78,76,70,77,69,59,49,66,75,74,65,69,181816,66,76,75,69,74,65,69,62,67,76,RM LB RB ,66,76,75,69,74,65,69,62,67,76,62
176377,Zoran TOSIC,D. ToNing iFan ,32,https://cdn.sofifa.org/48/18/players/176377.png,Serbia,https://cdn.sofifa.org/flags/51.png,74,74,Beşiktaş JK,https://cdn.sofifa.org/24/18/teams/327.png,€3.2M,€40K,1731,36,82,33,41,66,65,66,53,66,31,46,11,6,10,12,16,67,72,71,62,58,74,43,62,66,70,74,77,38,75,76,82,57,32,59,73,71,58,65,176377,59,68,73,65,71,58,60,58,57,68,LB CB ,59,68,73,65,71,58,60,58,57,68,58
189757,Aleksandar PRIJOVIC,A. PrijoviFan ,27,https://cdn.sofifa.org/48/18/players/189757.png,Serbia,https://cdn.sofifa.org/flags/51.png,74,75,PAOK Thessaloniki,https://cdn.sofifa.org/24/18/teams/393.png,€6.5M,€1K,1732,74,63,54,51,75,75,45,52,70,77,43,7,16,15,8,6,80,31,66,55,63,32,66,75,70,61,67,29,72,75,33,84,55,62,67,51,52,70,62,189757,67,51,51,62,52,70,67,73,68,52,CF ST ,67,51,51,62,52,70,67,73,68,52,73
183376,Ljubomir FEJSA,L. Fejsa,28,https://cdn.sofifa.org/48/18/players/183376.png,Serbia,https://cdn.sofifa.org/flags/51.png,82,82,SL Benfica,https://cdn.sofifa.org/24/18/teams/234.png,€18M,€18K,1942,52,91,56,56,71,75,50,43,68,49,57,14,12,13,11,14,73,87,73,74,62,79,56,50,78,78,73,77,54,88,84,83,63,53,66,80,80,64,72,183376,66,74,80,72,80,64,65,64,62,74,CM CDM ,66,74,80,72,80,64,65,64,62,74,64
191198,Ivan OBRADOVIC,I. ObradoviFan ,28,https://cdn.sofifa.org/48/18/players/191198.png,Serbia,https://cdn.sofifa.org/flags/51.png,74,74,RSC Anderlecht,https://cdn.sofifa.org/24/18/teams/229.png,€4.4M,€21K,1949,71,67,72,64,73,70,80,69,71,51,63,6,13,6,10,15,56,72,68,68,67,68,50,57,76,71,72,73,73,76,72,72,69,58,68,70,71,67,70,191198,68,73,70,70,71,67,70,65,69,73,LWB LB ,68,73,70,70,71,67,70,65,69,73,65
199434,Dusan TADIC,D. TadiFan ,28,https://cdn.sofifa.org/48/18/players/199434.png,Serbia,https://cdn.sofifa.org/flags/51.png,80,80,Southampton,https://cdn.sofifa.org/24/18/teams/17.png,€15M,€98K,1954,70,56,81,80,85,77,79,83,83,65,76,11,11,14,9,16,63,31,64,77,66,40,75,73,78,81,69,26,70,69,34,62,84,73,79,49,59,76,74,199434,79,56,49,74,59,76,78,72,77,60,RM LM CAM ,79,56,49,74,59,76,78,72,77,60,72
191202,Nemanja MATIC,N. MatiFan ,28,https://cdn.sofifa.org/48/18/players/191202.png,Serbia,https://cdn.sofifa.org/flags/51.png,83,83,Manchester United,https://cdn.sofifa.org/24/18/teams/11.png,€21M,€140K,2120,62,83,56,53,78,84,68,68,72,64,67,7,15,12,14,9,77,85,71,78,75,75,69,68,82,83,78,75,66,89,83,89,75,74,74,80,81,73,79,191202,74,78,80,79,81,73,74,73,72,78,CM CDM ,74,78,80,79,81,73,74,73,72,78,73
193714,Nemanja PEJCINOVIC,N. PejXiang inoviFan ,29,https://cdn.sofifa.org/48/18/players/193714.png,Serbia,https://cdn.sofifa.org/flags/51.png,77,77,Lokomotiv Moscow,https://cdn.sofifa.org/24/18/teams/100765.png,€7M,€43K,1736,43,82,58,60,63,71,67,47,45,30,31,10,14,7,14,10,80,77,90,61,44,76,37,30,72,67,59,76,62,71,75,78,56,44,54,76,71,52,60,193714,54,70,76,60,71,52,56,53,52,69,RB CB ,54,70,76,60,71,52,56,53,52,69,53
190544,Adem LJAJIC,A. LjajiFan ,25,https://cdn.sofifa.org/48/18/players/190544.png,Serbia,https://cdn.sofifa.org/flags/51.png,79,82,Torino,https://cdn.sofifa.org/24/18/teams/54.png,€16M,€58K,1940,82,44,81,79,86,75,72,80,87,72,83,6,14,7,6,12,48,32,63,71,78,23,75,75,75,78,76,35,79,69,35,65,78,74,79,46,56,79,73,190544,79,55,46,73,56,79,79,74,79,60,CAM LW ,79,55,46,73,56,79,79,74,79,60,74
