ID,Fullname,Name,Age,Photo,Nationality,Flag,Overall,Potential,Club,Club Logo,Value,Wage,Special,Acceleration,Aggression,Agility,Balance,Ball control,Composure,Crossing,Curve,Dribbling,Finishing,Free kick accuracy,GK diving,GK handling,GK kicking,GK positioning,GK reflexes,Heading accuracy,Interceptions,Jumping,Long passing,Long shots,Marking,Penalties,Positioning,Reactions,Short passing,Shot power,Sliding tackle,Sprint speed,Stamina,Standing tackle,Strength,Vision,Volleys,CAM,CB,CDM,CF,CM,ID,LAM,LB,LCB,LCM,LDM,LF,LM,LS,LW,LWB,Preferred Positions,RAM,RB,RCB,RCM,RDM,RF,RM,RS,RW,RWB,ST
24630,Pepe REINA,JosMao  Reina,34,https://cdn.sofifa.org/48/18/players/24630.png,Spain,https://cdn.sofifa.org/flags/45.png,83,83,Napoli,https://cdn.sofifa.org/24/18/teams/48.png,€10.5M,€59K,1291,50,32,50,60,23,60,11,11,10,14,11,80,83,82,82,82,13,22,73,22,15,12,24,13,82,19,24,24,63,34,22,72,65,11,,,,,,24630,,,,,,,,,,,GK ,,,,,,,,,,,
41,Andres INIESTA,Iniesta,33,https://cdn.sofifa.org/48/18/players/41.png,Spain,https://cdn.sofifa.org/flags/45.png,87,87,FC Barcelona,https://cdn.sofifa.org/24/18/teams/241.png,€29.5M,€260K,2073,72,58,79,84,94,89,77,80,90,70,70,6,13,6,13,7,54,66,52,86,71,57,71,84,88,92,65,56,71,58,57,58,94,74,87,63,74,83,84,41,87,69,63,84,74,83,84,76,84,72,LM CM ,87,69,63,84,74,83,84,76,84,72,76
168542,David SILVA,David Silva,31,https://cdn.sofifa.org/48/18/players/168542.png,Spain,https://cdn.sofifa.org/flags/45.png,87,87,Manchester City,https://cdn.sofifa.org/24/18/teams/10.png,€44M,€220K,1977,72,51,92,89,90,92,83,82,84,71,75,1,1,1,1,1,54,43,66,79,73,25,73,81,84,91,71,29,65,78,44,56,92,79,84,50,64,81,81,168542,84,59,50,81,64,81,82,75,82,65,LM CM CAM ,84,59,50,81,64,81,82,75,82,65,75
155862,Sergio RAMOS,Sergio Ramos,31,https://cdn.sofifa.org/48/18/players/155862.png,Spain,https://cdn.sofifa.org/flags/45.png,90,90,Real Madrid CF,https://cdn.sofifa.org/24/18/teams/243.png,€52M,€310K,2153,75,84,79,60,84,80,66,73,61,60,67,11,8,9,7,11,91,88,93,72,55,86,68,52,85,78,79,91,77,84,89,81,63,66,70,87,83,70,74,155862,70,84,87,74,83,70,71,72,69,81,CB ,70,84,87,74,83,70,71,72,69,81,72
152729,Gerard PIQUE,PiquMao ,30,https://cdn.sofifa.org/48/18/players/152729.png,Spain,https://cdn.sofifa.org/flags/45.png,87,87,FC Barcelona,https://cdn.sofifa.org/24/18/teams/241.png,€37.5M,€240K,1974,55,72,58,42,78,86,57,58,59,64,43,10,11,14,15,8,83,88,74,80,51,86,69,58,84,81,62,86,73,66,87,83,62,57,68,84,81,68,74,152729,68,78,84,74,81,68,68,69,66,76,CB ,68,78,84,74,81,68,68,69,66,76,69
113422,David VILLA,David Villa,35,https://cdn.sofifa.org/48/18/players/113422.png,Spain,https://cdn.sofifa.org/flags/45.png,82,82,New York City Football Club,https://cdn.sofifa.org/24/18/teams/112828.png,€10M,€12K,1997,72,67,75,75,85,83,71,83,83,86,80,8,9,9,11,9,67,29,67,67,79,22,88,86,83,76,81,38,67,76,28,66,75,79,80,48,57,81,73,113422,80,55,48,73,57,81,78,80,80,59,ST ,80,55,48,73,57,81,78,80,80,59,80
178088,Juan MATA,Juan Mata,29,https://cdn.sofifa.org/48/18/players/178088.png,Spain,https://cdn.sofifa.org/flags/45.png,84,84,Manchester United,https://cdn.sofifa.org/24/18/teams/11.png,€30.5M,€195K,1982,71,52,85,89,87,85,84,84,82,79,84,9,10,14,5,8,59,39,72,77,70,25,81,83,84,86,75,21,63,75,28,43,87,71,82,45,59,81,78,178088,82,55,45,78,59,81,81,76,81,61,RM CAM ,82,55,45,78,59,81,81,76,81,61,76
193080,David DE GEA,De Gea,26,https://cdn.sofifa.org/48/18/players/193080.png,Spain,https://cdn.sofifa.org/flags/45.png,90,92,Manchester United,https://cdn.sofifa.org/24/18/teams/11.png,€64.5M,€215K,1458,57,38,60,43,42,64,17,21,18,13,19,90,85,87,86,90,21,30,67,51,12,13,40,12,88,50,31,13,58,40,21,64,68,13,,,,,,193080,,,,,,,,,,,GK ,,,,,,,,,,,
190584,Asier ILLARRAMENDI,Illarramendi,27,https://cdn.sofifa.org/48/18/players/190584.png,Spain,https://cdn.sofifa.org/flags/45.png,81,81,Real Sociedad,https://cdn.sofifa.org/24/18/teams/457.png,€18M,€37K,2043,65,77,70,73,81,71,65,78,79,64,68,15,7,11,14,12,51,82,48,81,69,76,50,79,81,82,69,79,55,78,82,66,78,58,77,74,80,75,80,190584,77,75,74,80,80,75,75,70,74,76,CM ,77,75,74,80,80,75,75,70,74,76,70
177610,Javi MARTINEZ,Javi MartLiu nez,28,https://cdn.sofifa.org/48/18/players/177610.png,Spain,https://cdn.sofifa.org/flags/45.png,86,86,FC Bayern Munich,https://cdn.sofifa.org/24/18/teams/21.png,€36M,€165K,1973,49,91,54,58,71,83,60,54,62,53,45,5,12,9,11,8,90,86,83,74,63,84,52,57,84,75,76,87,50,64,87,84,74,61,67,84,80,66,72,177610,67,76,84,72,80,66,65,67,63,74,CDM CB ,67,76,84,72,80,66,65,67,63,74,67
