ID,Fullname,Name,Age,Photo,Nationality,Flag,Overall,Potential,Club,Club Logo,Value,Wage,Special,Acceleration,Aggression,Agility,Balance,Ball control,Composure,Crossing,Curve,Dribbling,Finishing,Free kick accuracy,GK diving,GK handling,GK kicking,GK positioning,GK reflexes,Heading accuracy,Interceptions,Jumping,Long passing,Long shots,Marking,Penalties,Positioning,Reactions,Short passing,Shot power,Sliding tackle,Sprint speed,Stamina,Standing tackle,Strength,Vision,Volleys,CAM,CB,CDM,CF,CM,ID,LAM,LB,LCB,LCM,LDM,LF,LM,LS,LW,LWB,Preferred Positions,RAM,RB,RCB,RCM,RDM,RF,RM,RS,RW,RWB,ST
108080,Stephan LICHTSTEINER,S. Lichtsteiner,33,https://cdn.sofifa.org/48/18/players/108080.png,Switzerland,https://cdn.sofifa.org/flags/47.png,82,82,Juventus,https://cdn.sofifa.org/24/18/teams/45.png,€8.5M,€115K,2072,76,82,77,79,75,80,82,68,76,45,66,4,3,2,3,2,72,82,75,71,70,78,64,66,82,77,74,82,78,83,82,72,62,62,71,79,78,70,74,108080,71,80,79,74,78,70,74,68,72,80,RM RB ,71,80,79,74,78,70,74,68,72,80,68
161805,Valon BEHRAMI,V. Behrami,32,https://cdn.sofifa.org/48/18/players/161805.png,Switzerland,https://cdn.sofifa.org/flags/47.png,77,77,Udinese,https://cdn.sofifa.org/24/18/teams/55.png,€5M,€28K,2054,63,90,70,67,74,76,69,70,69,56,69,12,11,7,15,11,68,75,70,72,69,69,72,63,77,75,76,78,63,77,78,77,73,69,70,75,76,69,73,161805,70,73,75,73,76,69,70,68,68,73,CM CDM ,70,73,75,73,76,69,70,68,68,73,68
162893,Johan DJOUROU,J. Djourou,30,https://cdn.sofifa.org/48/18/players/162893.png,Switzerland,https://cdn.sofifa.org/flags/47.png,73,73,Antalyaspor,https://cdn.sofifa.org/24/18/teams/741.png,€3M,€17K,1593,65,74,53,37,43,69,44,42,29,35,39,16,15,13,7,14,77,75,66,68,28,73,48,44,73,29,42,75,72,54,76,87,46,34,43,72,62,45,49,162893,43,64,72,49,62,45,46,50,44,59,CB ,43,64,72,49,62,45,46,50,44,59,50
138699,Blerim DZEMAILI,B. DPa emaili,31,https://cdn.sofifa.org/48/18/players/138699.png,Switzerland,https://cdn.sofifa.org/flags/47.png,78,78,Montreal Impact,https://cdn.sofifa.org/24/18/teams/111139.png,€9M,€54K,2091,68,78,68,68,78,79,75,79,76,70,70,13,7,11,6,14,62,69,59,74,81,64,68,78,80,78,86,69,65,84,70,71,77,75,76,70,74,76,77,138699,76,72,70,77,74,76,76,74,75,73,CAM CM ,76,72,70,77,74,76,76,74,75,73,74
158438,Gelson FERNANDES,Gelson Fernandes,30,https://cdn.sofifa.org/48/18/players/158438.png,Switzerland,https://cdn.sofifa.org/flags/47.png,76,76,Eintracht Frankfurt,https://cdn.sofifa.org/24/18/teams/1824.png,€5.5M,€29K,1943,68,87,67,67,69,71,59,57,68,51,55,14,6,13,10,13,63,79,70,70,55,74,50,61,72,75,67,70,66,92,77,75,68,55,67,74,75,66,71,158438,67,73,74,71,75,66,68,64,65,73,CM CDM ,67,73,74,71,75,66,68,64,65,73,64
179972,Eren DERDIYOK,E. Derdiyok,29,https://cdn.sofifa.org/48/18/players/179972.png,Switzerland,https://cdn.sofifa.org/flags/47.png,75,75,Galatasaray SK,https://cdn.sofifa.org/24/18/teams/325.png,€6.5M,€56K,1705,38,46,52,46,73,70,60,60,68,77,64,6,14,9,7,12,83,26,70,61,71,12,67,80,70,71,78,18,44,54,29,90,70,79,69,45,49,70,65,179972,69,43,45,65,49,70,65,74,67,46,ST ,69,43,45,65,49,70,65,74,67,46,74
183187,Valentin STOCKER,V. Stocker,28,https://cdn.sofifa.org/48/18/players/183187.png,Switzerland,https://cdn.sofifa.org/flags/47.png,76,76,Hertha BSC Berlin,https://cdn.sofifa.org/24/18/teams/166.png,€8M,€33K,1895,69,70,78,75,80,73,72,76,78,74,73,7,8,7,10,7,54,42,72,67,69,29,67,73,75,76,65,35,66,68,40,62,76,75,75,51,59,74,71,183187,75,56,51,71,59,74,74,71,75,59,LM CAM ,75,56,51,71,59,74,74,71,75,59,71
193408,Haris SEFEROVIC,H. SeferoviFan ,25,https://cdn.sofifa.org/48/18/players/193408.png,Switzerland,https://cdn.sofifa.org/flags/47.png,74,78,SL Benfica,https://cdn.sofifa.org/24/18/teams/234.png,€7.5M,€13K,1878,65,80,64,59,72,69,67,60,71,71,62,9,13,9,9,16,76,35,75,59,71,25,66,74,72,69,77,40,73,76,42,83,65,73,69,54,56,71,66,193408,69,56,54,66,56,71,70,73,70,58,ST ,69,56,54,66,56,71,70,73,70,58,73
199503,Granit XHAKA,G. Xhaka,24,https://cdn.sofifa.org/48/18/players/199503.png,Switzerland,https://cdn.sofifa.org/flags/47.png,82,85,Arsenal,https://cdn.sofifa.org/24/18/teams/1.png,€27.5M,€110K,1993,48,92,53,61,80,74,66,68,70,49,70,7,8,11,7,13,62,77,39,86,85,71,59,77,83,85,88,68,51,78,73,76,82,50,75,73,79,73,80,199503,75,71,73,80,79,73,72,69,70,73,CDM CM ,75,71,73,80,79,73,72,69,70,73,69
193352,Ricardo RODRIGUEZ,R. RodrLiu guez,24,https://cdn.sofifa.org/48/18/players/193352.png,Switzerland,https://cdn.sofifa.org/flags/47.png,81,84,Milan,https://cdn.sofifa.org/24/18/teams/47.png,€18.5M,€83K,2179,73,75,73,72,78,81,87,82,76,59,84,14,13,14,14,11,64,81,73,79,72,76,83,68,82,78,78,81,74,75,79,70,74,67,75,76,78,73,77,193352,75,79,76,77,78,73,76,71,75,79,CB LB ,75,79,76,77,78,73,76,71,75,79,71
