ID,Fullname,Name,Age,Photo,Nationality,Flag,Overall,Potential,Club,Club Logo,Value,Wage,Special,Acceleration,Aggression,Agility,Balance,Ball control,Composure,Crossing,Curve,Dribbling,Finishing,Free kick accuracy,GK diving,GK handling,GK kicking,GK positioning,GK reflexes,Heading accuracy,Interceptions,Jumping,Long passing,Long shots,Marking,Penalties,Positioning,Reactions,Short passing,Shot power,Sliding tackle,Sprint speed,Stamina,Standing tackle,Strength,Vision,Volleys,CAM,CB,CDM,CF,CM,ID,LAM,LB,LCB,LCM,LDM,LF,LM,LS,LW,LWB,Preferred Positions,RAM,RB,RCB,RCM,RDM,RF,RM,RS,RW,RWB,ST
186444,Hamdi HARBAOUI,H. Harbaoui,32,https://cdn.sofifa.org/48/18/players/186444.png,Tunisia,https://cdn.sofifa.org/flags/145.png,72,72,RSC Anderlecht,https://cdn.sofifa.org/24/18/teams/229.png,€2.5M,€17K,1672,60,74,58,56,70,74,61,47,66,75,46,7,7,7,12,16,78,28,64,48,64,13,63,76,67,66,72,22,62,62,24,78,58,65,66,45,48,68,60,186444,66,46,45,60,48,68,65,71,67,48,ST ,66,46,45,60,48,68,65,71,67,48,71
198076,Aymen ABDENNOUR,A. Abdennour,27,https://cdn.sofifa.org/48/18/players/198076.png,Tunisia,https://cdn.sofifa.org/flags/145.png,77,79,Olympique de Marseille,https://cdn.sofifa.org/24/18/teams/219.png,€8.5M,€31K,1810,61,83,65,67,51,75,56,48,48,48,39,12,8,7,8,15,75,75,80,62,60,78,51,53,67,58,74,80,64,67,77,88,53,32,55,76,69,56,59,198076,55,69,76,59,69,56,56,60,55,66,LB CB ,55,69,76,59,69,56,56,60,55,66,60
218216,Farouk BEN MUSTAPHA,F. Ben Mustapha,28,https://cdn.sofifa.org/48/18/players/218216.png,Tunisia,https://cdn.sofifa.org/flags/145.png,63,63,Al Shabab,https://cdn.sofifa.org/24/18/teams/111674.png,€260K,€5K,1061,47,24,33,45,21,23,13,11,14,13,11,63,67,59,68,54,16,21,56,18,13,13,21,14,59,23,18,15,47,40,14,64,53,13,,,,,,218216,,,,,,,,,,,GK ,,,,,,,,,,,
205234,Ahmed AKAICHI,A. Akaichi,28,https://cdn.sofifa.org/48/18/players/205234.png,Tunisia,https://cdn.sofifa.org/flags/145.png,71,71,Al Ittihad,https://cdn.sofifa.org/24/18/teams/607.png,€2.4M,€29K,1676,71,52,72,55,69,68,43,70,72,71,49,10,7,9,13,12,67,22,68,52,64,18,61,67,64,66,73,19,74,78,20,80,46,62,65,42,46,67,59,205234,65,45,42,59,46,67,65,70,65,48,ST ,65,45,42,59,46,67,65,70,65,48,70
207788,Syam BEN YOUSSEF,S. Ben Youssef,28,https://cdn.sofifa.org/48/18/players/207788.png,Tunisia,https://cdn.sofifa.org/flags/145.png,72,73,Kasimpaşa SK,https://cdn.sofifa.org/24/18/teams/111339.png,€2.8M,€11K,1606,62,75,32,45,53,64,40,34,50,38,36,12,15,8,15,10,67,68,82,49,40,74,36,42,61,52,60,71,65,73,72,86,53,30,50,71,64,51,54,207788,50,64,71,54,64,51,52,53,50,62,CB ,50,64,71,54,64,51,52,53,50,62,53
220811,Mohamed Ali YAKOUBI,M. Ali Yakoubi,26,https://cdn.sofifa.org/48/18/players/220811.png,Tunisia,https://cdn.sofifa.org/flags/145.png,65,67,Al Fateh,https://cdn.sofifa.org/24/18/teams/112390.png,€550K,€8K,1502,60,55,50,64,64,57,45,29,60,33,24,9,7,6,8,10,66,67,41,67,43,60,33,33,54,68,42,62,60,74,65,76,36,31,53,64,64,51,58,220811,53,62,64,58,64,51,55,50,52,62,CB ,53,62,64,58,64,51,55,50,52,62,50
211212,Abdelkader OUESLATI,A. Oueslati,25,https://cdn.sofifa.org/48/18/players/211212.png,Tunisia,https://cdn.sofifa.org/flags/145.png,65,68,Al Fateh,https://cdn.sofifa.org/24/18/teams/112390.png,€675K,€8K,1754,68,62,71,59,73,56,67,59,66,53,43,8,11,9,11,6,50,67,62,61,53,63,47,61,73,65,51,63,68,68,59,70,59,48,64,63,65,64,65,211212,64,66,63,65,65,64,66,61,65,67,RB CAM ,64,66,63,65,65,64,66,61,65,67,61
207788,Fakhreddine BEN YOUSSEF,S. Ben Youssef,28,https://cdn.sofifa.org/48/18/players/207788.png,Tunisia,https://cdn.sofifa.org/flags/145.png,72,73,Kasimpaşa SK,https://cdn.sofifa.org/24/18/teams/111339.png,€2.8M,€11K,1606,62,75,32,45,53,64,40,34,50,38,36,12,15,8,15,10,67,68,82,49,40,74,36,42,61,52,60,71,65,73,72,86,53,30,50,71,64,51,54,207788,50,64,71,54,64,51,52,53,50,62,CB ,50,64,71,54,64,51,52,53,50,62,53
203889,Yoann TOUZGHAR,Y. Touzghar,30,https://cdn.sofifa.org/48/18/players/203889.png,Tunisia,https://cdn.sofifa.org/flags/145.png,70,70,FC Sochaux-Montbéliard,https://cdn.sofifa.org/24/18/teams/226.png,€1.7M,€8K,1697,72,55,77,74,69,60,51,40,67,68,55,14,14,7,15,12,69,18,80,57,65,17,62,74,68,62,70,21,76,70,20,65,44,69,64,41,45,67,58,203889,64,45,41,58,45,67,65,69,66,48,ST ,64,45,41,58,45,67,65,69,66,48,69
206310,Larry AZOUNI,L. Azouni,23,https://cdn.sofifa.org/48/18/players/206310.png,Tunisia,https://cdn.sofifa.org/flags/145.png,67,74,KV Kortrijk,https://cdn.sofifa.org/24/18/teams/100081.png,€1.1M,€8K,1804,67,72,74,69,67,58,55,50,62,45,50,15,8,13,8,14,53,65,60,65,69,50,58,55,63,66,73,68,69,80,70,70,69,32,64,64,66,62,66,206310,64,65,64,66,66,62,63,60,62,65,CDM CM ,64,65,64,66,66,62,63,60,62,65,60
237548,Oussama HADDADI,O. Haddadi,25,https://cdn.sofifa.org/48/18/players/237548.png,Tunisia,https://cdn.sofifa.org/flags/145.png,66,71,Dijon FCO,https://cdn.sofifa.org/24/18/teams/110569.png,€700K,€5K,1630,67,69,55,58,58,65,58,55,64,34,34,6,6,14,9,14,62,60,65,53,34,68,41,55,60,67,42,74,54,68,75,67,51,33,56,67,64,55,58,237548,56,65,67,58,64,55,59,53,56,64,LWB LB ,56,65,67,58,64,55,59,53,56,64,53
234139,Issam BEN KHEMIS,I. Ben Khemis,21,https://cdn.sofifa.org/48/18/players/234139.png,Tunisia,https://cdn.sofifa.org/flags/145.png,60,70,Doncaster Rovers,https://cdn.sofifa.org/24/18/teams/142.png,€325K,€1K,1639,72,63,69,80,66,53,65,51,67,51,53,11,12,8,11,13,36,40,57,61,49,42,48,42,51,62,52,50,71,62,57,54,62,51,60,51,55,58,59,234139,60,55,51,59,55,58,62,54,61,57,CM ,60,55,51,59,55,58,62,54,61,57,54
