ID,Fullname,Name,Age,Photo,Nationality,Flag,Overall,Potential,Club,Club Logo,Value,Wage,Special,Acceleration,Aggression,Agility,Balance,Ball control,Composure,Crossing,Curve,Dribbling,Finishing,Free kick accuracy,GK diving,GK handling,GK kicking,GK positioning,GK reflexes,Heading accuracy,Interceptions,Jumping,Long passing,Long shots,Marking,Penalties,Positioning,Reactions,Short passing,Shot power,Sliding tackle,Sprint speed,Stamina,Standing tackle,Strength,Vision,Volleys,CAM,CB,CDM,CF,CM,ID,LAM,LB,LCB,LCM,LDM,LF,LM,LS,LW,LWB,Preferred Positions,RAM,RB,RCB,RCM,RDM,RF,RM,RS,RW,RWB,ST
218868,Martin SILVA,A. Silva,27,https://cdn.sofifa.org/48/18/players/218868.png,Uruguay,https://cdn.sofifa.org/flags/60.png,73,73,Club Atlético Lanús,https://cdn.sofifa.org/24/18/teams/110395.png,€4.2M,€19K,2004,74,71,78,72,74,72,75,66,75,64,63,12,15,14,13,11,65,71,64,66,73,67,61,72,74,72,71,65,77,82,67,57,71,52,72,67,70,72,72,218868,72,71,67,72,70,72,73,70,73,73,RM RB RW ,72,71,67,72,70,72,73,70,73,73,70
170664,Cristian RODRIGUEZ,C. RodrLiu guez,31,https://cdn.sofifa.org/48/18/players/170664.png,Uruguay,https://cdn.sofifa.org/flags/60.png,75,75,,https://cdn.sofifa.org/flags/60.png,€ 0,€ 0,1991,70,69,67,72,79,81,72,73,80,64,73,7,13,16,13,14,62,59,70,72,72,50,66,72,72,76,80,55,71,69,55,71,72,65,74,62,66,74,72,170664,74,64,62,72,66,74,74,72,73,67,LM CAM ,74,64,62,72,66,74,74,72,73,67,72
182494,Fernando MUSLERA,F. Muslera,31,https://cdn.sofifa.org/48/18/players/182494.png,Uruguay,https://cdn.sofifa.org/flags/60.png,82,82,Galatasaray SK,https://cdn.sofifa.org/24/18/teams/325.png,€13.5M,€57K,1370,60,32,68,62,23,63,15,14,25,10,10,81,75,75,83,85,12,23,84,47,10,17,24,13,78,44,25,16,62,45,16,68,58,10,,,,,,182494,,,,,,,,,,,GK ,,,,,,,,,,,
186537,Cristhian STUANI,C. Stuani,30,https://cdn.sofifa.org/48/18/players/186537.png,Uruguay,https://cdn.sofifa.org/flags/60.png,77,77,Girona CF,https://cdn.sofifa.org/24/18/teams/110062.png,€8.5M,€30K,1964,70,77,66,63,72,77,68,66,71,76,57,16,14,9,16,8,79,36,83,59,69,39,80,80,81,69,79,42,68,83,49,77,69,73,72,58,60,74,68,186537,72,59,58,68,60,74,72,76,72,61,RM ST ,72,59,58,68,60,74,72,76,72,61,76
182495,Martin CACERES,M. CMan ceres,30,https://cdn.sofifa.org/48/18/players/182495.png,Uruguay,https://cdn.sofifa.org/flags/60.png,77,77,Hellas Verona,https://cdn.sofifa.org/24/18/teams/206.png,€6.5M,€28K,1910,74,76,79,74,64,76,68,68,60,37,41,2,3,4,2,4,76,80,91,65,59,80,50,50,70,65,70,77,74,72,78,74,58,65,61,76,72,60,64,182495,61,74,76,64,72,60,63,61,61,72,RB CB ,61,74,76,64,72,60,63,61,61,72,61
179813,Edinson CAVANI,E. Cavani,30,https://cdn.sofifa.org/48/18/players/179813.png,Uruguay,https://cdn.sofifa.org/flags/60.png,87,87,Paris Saint-Germain,https://cdn.sofifa.org/24/18/teams/73.png,€48.5M,€160K,2097,75,84,81,59,80,83,70,75,80,83,74,12,5,13,13,10,88,48,88,50,78,24,84,92,91,78,85,27,78,92,45,74,77,84,80,58,62,82,74,179813,80,61,58,74,62,82,79,84,80,64,ST ,80,61,58,74,62,82,79,84,80,64,84
176580,Luis SUAREZ,L. SuMan rez,30,https://cdn.sofifa.org/48/18/players/176580.png,Uruguay,https://cdn.sofifa.org/flags/60.png,92,92,FC Barcelona,https://cdn.sofifa.org/24/18/teams/241.png,€97M,€510K,2291,88,78,86,60,91,83,77,86,86,94,84,27,25,31,33,37,77,41,69,64,86,30,85,92,93,83,87,38,77,89,45,80,84,88,87,58,65,88,80,176580,87,64,58,80,65,88,85,88,87,68,ST ,87,64,58,80,65,88,85,88,87,68,88
182103,Egidio AREVALO,E. ArMao valo RLiu os,35,https://cdn.sofifa.org/48/18/players/182103.png,Uruguay,https://cdn.sofifa.org/flags/60.png,71,71,Racing Club de Avellaneda,https://cdn.sofifa.org/24/18/teams/101085.png,€550K,€9K,1896,65,90,72,71,66,75,60,61,60,51,56,8,10,12,8,16,45,77,82,65,55,69,64,61,69,65,63,73,66,78,69,73,57,59,62,70,70,61,65,182103,62,69,70,65,70,61,63,60,62,69,CM CDM ,62,69,70,65,70,61,63,60,62,69,60
186355,Esteban CONDE,E. Conde,34,https://cdn.sofifa.org/48/18/players/186355.png,Uruguay,https://cdn.sofifa.org/flags/60.png,71,71,,https://cdn.sofifa.org/flags/60.png,€ 0,€ 0,987,36,33,29,31,21,28,20,19,13,12,23,71,72,62,71,70,12,26,33,25,13,11,17,12,68,19,12,11,26,28,11,26,42,12,,,,,,186355,,,,,,,,,,,GK ,,,,,,,,,,,
236020,Alvaro GONZALEZ,C. GonzMan lez,20,https://cdn.sofifa.org/48/18/players/236020.png,Uruguay,https://cdn.sofifa.org/flags/60.png,69,82,Sevilla Atlético,https://cdn.sofifa.org/24/18/teams/110714.png,€1.8M,€3K,1640,67,77,61,56,64,67,58,52,51,29,34,6,10,8,13,10,64,66,76,61,26,67,49,44,59,59,55,71,72,64,72,69,41,29,52,68,64,52,56,236020,52,66,68,56,64,52,56,52,53,64,RB CB ,52,66,68,56,64,52,56,52,53,64,52
